,Date,Open,High,Low,Close,Volume
0,1-Nov-17,70.85,71.38,69.84,70.59,9883635
1,31-Oct-17,69.5,70.27,68.96,70.12,10680460
2,30-Oct-17,68.04,68.96,67.94,68.86,7764554
3,27-Oct-17,66.6,67.73,65.87,67.52,7607822
4,26-Oct-17,65.5,66.01,65.07,65.57,4967301
5,25-Oct-17,66.66,67.04,65.19,65.4,4550598
6,24-Oct-17,66.69,67.2,66.4,66.61,3667001
7,23-Oct-17,67.63,68.0,66.4,66.51,3959123
8,20-Oct-17,67.65,68.36,67.45,67.51,7149442
9,19-Oct-17,66.97,67.54,66.65,67.45,4271282
10,18-Oct-17,67.2,68.04,66.98,67.79,5361842
11,17-Oct-17,68.0,68.1,66.63,66.78,4264365
12,16-Oct-17,67.91,68.13,67.36,68.04,4523200
13,13-Oct-17,68.17,68.18,67.38,67.52,3380943
14,12-Oct-17,69.0,69.23,67.8,67.91,4110988
15,11-Oct-17,68.75,69.38,68.71,69.22,4251750
16,10-Oct-17,68.51,69.51,68.51,68.93,5689191
17,9-Oct-17,67.85,69.06,67.75,68.74,2763916
18,6-Oct-17,67.49,68.08,67.32,67.85,1939061
19,5-Oct-17,67.75,68.1,66.96,67.72,3451654
20,4-Oct-17,67.79,68.22,67.48,67.66,4289737
21,3-Oct-17,67.19,67.93,66.96,67.81,5709615
22,2-Oct-17,66.6,66.98,66.29,66.51,20424040
23,29-Sep-17,65.64,66.61,65.64,66.24,5452375
24,28-Sep-17,65.9,66.19,65.54,65.58,7214806
25,27-Sep-17,65.13,66.27,65.01,65.8,7289458
26,26-Sep-17,65.08,65.82,64.24,64.45,6654370
27,25-Sep-17,67.0,67.0,64.21,64.96,18001335
28,22-Sep-17,66.45,67.39,66.23,67.34,8523288
29,21-Sep-17,67.0,67.22,66.06,66.59,4123943
30,20-Sep-17,67.37,67.59,66.4,66.92,11434011
31,19-Sep-17,67.3,67.61,67.07,67.43,4478702
32,18-Sep-17,67.0,67.28,66.56,67.11,5323750
33,15-Sep-17,66.39,66.66,66.02,66.41,8589611
34,14-Sep-17,66.26,66.9,65.72,66.08,11463558
35,13-Sep-17,65.4,66.71,65.4,66.52,10760848
36,12-Sep-17,65.3,65.63,65.06,65.36,6672110
37,11-Sep-17,64.69,65.26,64.4,65.14,5464293
38,8-Sep-17,63.72,64.34,63.5,63.58,3298320
39,7-Sep-17,63.56,64.18,63.17,64.02,3944152
40,6-Sep-17,63.71,64.28,62.9,63.32,4875988
41,5-Sep-17,63.53,64.3,63.28,63.86,3277825
42,1-Sep-17,64.17,64.38,63.86,64.05,2191331
43,31-Aug-17,64.5,64.76,63.84,64.08,3676518
44,30-Aug-17,63.65,64.58,63.63,64.16,5288699
45,29-Aug-17,62.3,63.72,62.1,63.17,3590107
46,28-Aug-17,64.43,64.43,63.13,63.53,5567391
47,25-Aug-17,65.41,65.56,64.26,64.51,5941278
48,24-Aug-17,66.06,66.2,65.34,65.5,4055765
49,23-Aug-17,65.01,66.0,64.64,65.82,4131526
50,22-Aug-17,63.76,65.52,63.76,65.42,5627242
51,21-Aug-17,63.15,64.0,62.9,63.6,4594092
52,18-Aug-17,62.36,63.7,62.06,63.07,13009004
53,17-Aug-17,63.05,63.46,62.09,62.2,11943624
54,16-Aug-17,60.43,60.85,60.21,60.65,7640557
55,15-Aug-17,59.28,60.14,58.79,59.99,7863461
56,14-Aug-17,58.7,59.02,58.5,58.87,7409532
57,11-Aug-17,57.78,58.23,56.84,57.92,5552460
58,10-Aug-17,59.17,59.51,57.87,58.03,4420250
59,9-Aug-17,59.23,59.95,59.07,59.77,3071198
60,8-Aug-17,59.77,60.44,59.62,59.86,4207240
61,7-Aug-17,58.85,60.16,58.76,60.03,5540180
62,4-Aug-17,58.43,58.57,58.01,58.51,7330487
63,3-Aug-17,57.87,58.33,57.13,58.15,4726578
64,2-Aug-17,58.95,59.25,56.9,57.66,5846199
65,1-Aug-17,58.6,58.8,58.11,58.5,4164450
66,31-Jul-17,59.7,59.89,58.07,58.4,6738130
67,28-Jul-17,58.11,59.64,57.98,59.2,5871045
68,27-Jul-17,59.61,60.22,57.56,58.43,8395031
69,26-Jul-17,57.95,59.03,57.93,58.9,5443708
70,25-Jul-17,57.98,58.36,57.86,58.07,3264422
71,24-Jul-17,58.28,58.5,58.02,58.15,3671434
72,21-Jul-17,58.19,58.4,57.76,58.16,8832362
73,20-Jul-17,58.46,58.58,58.02,58.45,8756962
74,19-Jul-17,59.27,59.33,58.19,58.36,8682713
75,18-Jul-17,57.13,58.74,56.73,58.48,7126711
76,17-Jul-17,57.68,57.88,57.13,57.51,6905806
77,14-Jul-17,56.54,57.41,56.53,57.23,4420255
78,13-Jul-17,56.44,56.68,56.06,56.46,3806322
79,12-Jul-17,55.66,56.57,55.66,56.34,5836111
80,11-Jul-17,54.76,55.35,54.59,55.25,10200759
81,10-Jul-17,54.28,54.98,54.27,54.8,4164390
82,7-Jul-17,54.65,54.91,54.31,54.55,2776117
83,6-Jul-17,55.05,55.2,54.41,54.53,5978306
84,5-Jul-17,54.5,55.84,54.23,55.62,8817551
85,3-Jul-17,55.08,55.25,54.04,54.45,4559540
86,30-Jun-17,54.33,54.73,54.08,54.48,8826060
87,29-Jun-17,54.49,54.92,53.13,54.3,11962959
88,28-Jun-17,54.09,55.1,53.76,54.95,14675936
89,27-Jun-17,54.44,54.73,53.53,53.64,17023615
90,26-Jun-17,55.38,55.6,53.97,54.31,22718129
91,23-Jun-17,54.49,54.99,54.45,54.73,13065566
92,22-Jun-17,54.75,55.45,54.42,54.56,17258904
93,21-Jun-17,53.94,55.17,53.89,55.09,28731684
94,20-Jun-17,54.54,54.9,53.79,53.81,47512882
95,19-Jun-17,54.0,55.03,53.8,54.46,39430343
96,16-Jun-17,52.79,53.3,51.9,52.58,269377149
97,15-Jun-17,52.17,52.76,51.64,52.58,72688419
98,14-Jun-17,52.42,54.26,52.16,52.63,72068964
99,13-Jun-17,53.65,54.08,52.0,52.0,157375730
100,12-Jun-17,53.79,54.55,52.6,53.12,57753270
101,9-Jun-17,56.16,57.39,53.66,54.02,74186692
102,8-Jun-17,55.35,55.94,53.49,55.71,75397854
103,7-Jun-17,50.47,50.72,50.28,50.55,25993519
104,6-Jun-17,50.42,50.76,50.3,50.5,27315854
105,5-Jun-17,50.52,50.88,50.4,50.6,16600752
106,2-Jun-17,50.53,50.75,50.31,50.6,9857195
107,1-Jun-17,50.49,50.7,50.07,50.65,7776690
108,31-May-17,50.6,50.65,49.96,50.32,8750770
109,30-May-17,50.67,50.94,50.5,50.56,8400168
110,26-May-17,50.5,50.74,50.32,50.67,6049533
111,25-May-17,50.48,50.75,50.05,50.6,11961672
112,24-May-17,50.18,50.59,49.9,50.32,12238852
113,23-May-17,50.44,50.9,50.26,50.31,7342030
114,22-May-17,50.51,51.08,50.22,50.65,9696647
115,19-May-17,50.03,51.23,50.01,50.18,11181962
116,18-May-17,48.68,50.03,47.74,49.63,13737509
117,17-May-17,50.7,50.7,49.44,49.65,20954125
118,16-May-17,50.05,51.12,50.03,50.96,19423578
119,15-May-17,49.71,49.94,49.48,49.86,9129285
