,Date,Open,High,Low,Close,Volume
0,1-Nov-17,1105.4,1108.97,1096.74,1103.68,3755511
1,31-Oct-17,1109.0,1110.54,1101.12,1105.28,3476967
2,30-Oct-17,1095.01,1122.79,1093.56,1110.85,6613064
3,27-Oct-17,1058.14,1105.58,1050.55,1100.95,16565021
4,26-Oct-17,980.33,982.9,968.55,972.43,5618675
5,25-Oct-17,978.0,984.44,966.24,972.91,3033113
6,24-Oct-17,969.0,979.85,965.0,975.9,2723935
7,23-Oct-17,986.73,986.78,962.5,966.3,3494100
8,20-Oct-17,993.53,994.62,982.0,982.91,2365122
9,19-Oct-17,990.0,991.05,980.24,986.61,3108197
10,18-Oct-17,1009.27,1022.31,996.55,997.0,2499681
11,17-Oct-17,1005.59,1011.47,1004.38,1009.13,2319742
12,16-Oct-17,1008.44,1009.57,1001.04,1006.34,2008908
13,13-Oct-17,1007.0,1007.77,1001.03,1002.94,2431462
14,12-Oct-17,996.81,1008.44,992.4,1000.93,4067317
15,11-Oct-17,991.27,995.5,986.7,995.0,2337113
16,10-Oct-17,996.67,997.95,980.1,987.2,3084921
17,9-Oct-17,993.24,998.5,987.5,990.99,2938586
18,6-Oct-17,975.64,995.75,975.64,989.58,3782067
19,5-Oct-17,970.0,981.51,969.64,980.85,3229224
20,4-Oct-17,954.21,967.79,954.05,965.45,2527352
21,3-Oct-17,958.0,963.69,950.37,957.1,2666574
22,2-Oct-17,964.0,967.3,952.12,959.19,2442937
23,29-Sep-17,960.11,964.83,958.38,961.35,2543759
24,28-Sep-17,951.86,959.7,950.1,956.4,2522567
25,27-Sep-17,948.0,955.3,943.3,950.87,3124726
26,26-Sep-17,945.49,948.63,931.75,938.6,3564848
27,25-Sep-17,949.31,949.42,932.89,939.79,5123997
28,22-Sep-17,961.01,965.61,954.42,955.1,2641787
29,21-Sep-17,971.31,971.7,962.02,964.65,2337576
30,20-Sep-17,971.79,974.81,962.16,973.21,2888795
31,19-Sep-17,977.25,978.24,967.46,969.86,2671054
32,18-Sep-17,990.4,992.79,968.17,974.19,3411324
33,15-Sep-17,993.01,996.25,984.03,986.79,3760183
34,14-Sep-17,996.8,998.56,987.74,992.21,3913263
35,13-Sep-17,983.97,1000.0,979.42,999.6,3374650
36,12-Sep-17,983.27,984.67,975.52,982.58,2481066
37,11-Sep-17,974.46,981.94,974.22,977.96,2186666
38,8-Sep-17,979.1,979.88,963.47,965.9,2605322
39,7-Sep-17,974.0,980.59,972.55,979.47,2566794
40,6-Sep-17,968.32,971.84,960.6,967.8,2129861
41,5-Sep-17,975.4,976.77,960.37,965.27,2998649
42,1-Sep-17,984.2,984.5,976.88,978.25,2535917
43,31-Aug-17,974.7,981.0,972.76,980.6,3331488
