,Date,Open,High,Low,Close,Volume
0,1-Nov-17,96.29,96.56,95.44,95.79,2319973
1,31-Oct-17,94.98,95.61,94.52,95.52,3146438
2,30-Oct-17,95.73,96.12,94.84,95.07,3096515
3,27-Oct-17,95.45,96.02,95.03,95.79,3212221
4,26-Oct-17,93.99,95.73,93.98,95.69,4136780
5,25-Oct-17,94.00,94.24,93.27,93.53,4266092
6,24-Oct-17,92.60,93.93,92.33,93.86,4481510
7,23-Oct-17,92.22,93.09,92.22,92.38,2963132
8,20-Oct-17,92.84,93.28,91.97,92.09,4442193
9,19-Oct-17,90.40,92.95,90.04,91.9,6512126
10,18-Oct-17,91.80,92.27,91.68,92.08,4720217
11,17-Oct-17,91.94,92.1,91.58,91.69,2939556
12,16-Oct-17,93.04,93.35,90.81,91.96,4293977
13,13-Oct-17,91.50,92.92,91.26,92.86,3224158
14,12-Oct-17,91.63,92.23,91.42,91.61,3279018
15,11-Oct-17,91.86,92.62,91.86,92.44,283559
16,10-Oct-17,91.88,92.34,91.78,91.89,2247195
17,9-Oct-17,91.59,91.96,91.50,91.69,1653721
18,6-Oct-17,91.25,91.58,91.09,91.55,1891848
19,5-Oct-17,90.96,91.62,90.77,91.16,2990958
20,4-Oct-17,91.60,91.61,90.90,91.01,3091679
21,3-Oct-17,90.59,91.64,90.59,91.43,2912299
22,2-Oct-17,90.44,91.17,90.10,90.54,4466395
23,29-Sep-17,90.04,90.77,89.93,90.46,2996260
24,28-Sep-17,89.23,90.31,89.23,90.14,2458773
25,27-Sep-17,89.68,89.74,89.03,89.49,2868330
26,26-Sep-17,88.47,88.77,88.20,88.69,2197846
27,25-Sep-17,88.28,88.64,87.84,88.21,2863068
28,22-Sep-17,88.30,88.71,88.10,88.4,2770085
29,21-Sep-17,88.45,88.8,88.04,88.42,2877759
30,20-Sep-17,89.25,89.38,88.27,88.43,4251024
31,19-Sep-17,87.97,89.23,87.88,89.0,4043778
32,18-Sep-17,87.08,87.87,86.95,87.87,3395073
33,15-Sep-17,86.52,86.99,86.07,86.99,7791555
34,14-Sep-17,86.54,86.8,86.16,86.19,2764916
35,13-Sep-17,86.42,86.77,86.39,86.64,2396472
36,12-Sep-17,85.97,86.6,85.81,86.55,3333342
37,11-Sep-17,84.97,86.12,84.97,85.69,3397496
38,8-Sep-17,84.18,85.0,84.02,84.25,3462112
39,7-Sep-17,85.27,85.52,84.08,84.41,2905386
40,6-Sep-17,85.57,85.84,85.00,85.23,2823281
41,5-Sep-17,85.72,85.91,84.68,85.31,3328200
42,1-Sep-17,86.31,86.54,86.05,86.14,2262735
43,31-Aug-17,86.00,86.28,85.70,86.1,3792290
44,30-Aug-17,85.38,85.74,85.22,85.69,2131663
45,29-Aug-17,84.75,85.5,84.40,85.42,2779385
46,28-Aug-17,85.66,85.69,85.21,85.41,2105519
47,25-Aug-17,85.50,85.96,85.42,85.47,2302086
48,24-Aug-17,85.49,85.53,85.04,85.36,2057905
49,23-Aug-17,84.71,85.51,84.70,85.28,1960380
50,22-Aug-17,85.47,85.73,84.91,85.3,2155320
51,21-Aug-17,85.45,85.64,84.95,85.3,2505115
52,18-Aug-17,85.99,86.13,85.20,85.38,4271186
