,Date,Open,High,Low,Close,Volume
0,1-Nov-17,258.29,259.41,256.24,258.5,2929490
1,31-Oct-17,259.34,259.93,257.47,257.98,2742775
2,30-Oct-17,255.45,260.41,255.33,259.25,3025919
3,27-Oct-17,258.26,259.50,255.80,256.46,2899168
4,26-Oct-17,259.72,261.44,257.31,259.27,3419137
5,25-Oct-17,264.78,266.00,254.50,258.42,7895318
6,24-Oct-17,263.24,267.21,263.24,266.0,4401597
7,23-Oct-17,265.13,265.98,262.14,262.32,3302395
8,20-Oct-17,260.36,264.83,259.44,264.75,3955922
9,19-Oct-17,258.98,259.10,256.03,259.04,2589203
10,18-Oct-17,258.47,260.73,256.66,260.04,2051651
11,17-Oct-17,256.49,259.05,256.26,258.62,2515865
12,16-Oct-17,261.50,262.00,259.69,259.75,1818869
13,13-Oct-17,262.90,263.79,260.74,260.74,2243903
14,12-Oct-17,260.95,262.98,260.00,261.91,2577900
15,11-Oct-17,261.32,261.32,259.02,260.39,361602
16,10-Oct-17,259.74,261.06,257.20,260.93,2740651
17,9-Oct-17,259.00,259.00,257.11,258.39,2146782
18,6-Oct-17,258.00,258.90,257.06,258.58,2736358
19,5-Oct-17,255.28,258.99,254.78,258.89,3940198
20,4-Oct-17,256.12,257.13,254.07,255.76,3030983
21,3-Oct-17,255.99,258.26,254.69,255.46,3163415
22,2-Oct-17,254.65,255.99,253.53,255.99,2685053
23,29-Sep-17,253.85,255.26,252.59,254.21,2531131
24,28-Sep-17,254.11,255.80,251.17,254.27,2586076
25,27-Sep-17,255.27,258.77,253.97,255.28,3812914
26,26-Sep-17,254.60,256.48,253.54,253.7,2173606
27,25-Sep-17,256.97,256.97,251.50,254.32,3479166
28,22-Sep-17,256.31,259.30,256.13,256.45,3475566
29,21-Sep-17,256.13,256.99,254.42,256.04,2809374
30,20-Sep-17,253.26,256.69,252.25,255.46,3853153
31,19-Sep-17,253.08,255.17,251.63,252.46,4124716
32,18-Sep-17,249.97,253.79,248.91,253.08,5192959
33,15-Sep-17,247.36,249.95,246.21,249.0,9033301
34,14-Sep-17,243.00,245.61,242.50,245.23,4995155
35,13-Sep-17,240.00,243.48,237.09,241.93,4529090
36,12-Sep-17,240.59,241.71,238.95,240.58,2702732
37,11-Sep-17,239.50,241.85,239.31,240.59,3628146
38,8-Sep-17,235.75,239.39,235.21,238.78,3404151
39,7-Sep-17,234.75,236.54,234.29,236.31,2994514
40,6-Sep-17,237.53,237.86,234.34,234.62,4252704
41,5-Sep-17,240.30,240.36,236.23,237.0,3869251
42,1-Sep-17,239.66,242.53,239.17,240.33,3271270
43,31-Aug-17,241.00,241.10,238.41,239.66,3075798
44,30-Aug-17,240.99,241.44,239.00,240.46,2801097
45,29-Aug-17,237.21,241.17,236.08,240.49,3535465
46,28-Aug-17,236.22,237.55,234.61,237.18,2394983
47,25-Aug-17,239.00,239.09,235.60,235.89,2270276
48,24-Aug-17,238.52,238.90,236.60,238.74,2553084
49,23-Aug-17,239.36,239.36,237.19,238.09,2518274
50,22-Aug-17,236.16,239.89,236.11,239.75,2915687
51,21-Aug-17,235.77,236.94,234.35,235.68,2545355
52,18-Aug-17,235.00,237.26,234.57,235.77,2939494
53,17-Aug-17,237.38,237.60,235.25,235.59,2810933
54,16-Aug-17,239.70,240.26,237.41,237.59,3012660
55,15-Aug-17,237.21,239.64,236.01,239.17,2851082
56,14-Aug-17,236.01,237.48,235.72,237.15,2953549
57,11-Aug-17,232.76,235.40,230.94,234.88,3461663
58,10-Aug-17,234.03,236.16,231.91,232.88,6817655
59,9-Aug-17,238.01,238.70,234.10,234.31,5680369
60,8-Aug-17,239.91,240.52,238.93,239.5,4871451
61,7-Aug-17,237.60,241.43,237.21,240.23,3674677
62,4-Aug-17,238.58,239.73,236.38,237.71,5590535
63,3-Aug-17,237.06,239.59,236.04,238.25,5112697
64,2-Aug-17,239.06,241.56,237.88,237.95,5119876
65,1-Aug-17,243.38,243.99,239.16,239.44,5018396
66,31-Jul-17,-,-,-,242.46,5777271
67,28-Jul-17,240.82,242.00,238.55,241.27,4602406
68,27-Jul-17,237.13,242.68,236.70,241.0,10860578
69,26-Jul-17,223.48,233.98,223.02,233.45,14139955
70,25-Jul-17,213.22,214.00,211.95,212.46,2889035
71,24-Jul-17,212.00,212.64,211.40,212.18,2392741
72,21-Jul-17,209.99,212.20,209.41,212.14,2098402
73,20-Jul-17,211.10,211.25,209.92,210.28,2235082
74,19-Jul-17,209.43,210.93,208.99,210.88,2258363
75,18-Jul-17,209.11,209.19,207.53,208.24,1943144
76,17-Jul-17,208.73,209.72,208.56,209.0,2415956
77,14-Jul-17,206.80,208.73,206.74,208.51,3229034
78,13-Jul-17,206.80,207.00,205.35,206.23,1943575
79,12-Jul-17,206.95,208.61,206.32,206.44,2817350
80,11-Jul-17,204.00,206.66,204.00,206.27,2815790
81,10-Jul-17,202.32,204.58,202.19,203.96,2701928
