,Date,Open,High,Low,Close,Volume
0,1-Nov-17,135.67,137.30,135.43,136.29,3629020
1,31-Oct-17,136.50,136.62,135.08,135.8,3988311
2,30-Oct-17,137.30,137.81,136.48,136.49,3044543
3,27-Oct-17,136.92,138.40,136.90,137.81,4064593
4,26-Oct-17,136.88,138.24,136.85,136.94,5745354
5,25-Oct-17,137.21,137.83,134.79,136.84,7438581
6,24-Oct-17,140.06,140.44,136.63,138.24,18886700
7,23-Oct-17,131.95,132.34,131.16,131.68,5549532
8,20-Oct-17,131.34,131.91,130.48,131.36,3086775
9,19-Oct-17,131.00,131.63,129.40,131.55,4837581
10,18-Oct-17,130.50,131.65,130.50,131.29,2511437
11,17-Oct-17,131.14,131.47,130.32,130.54,2380342
12,16-Oct-17,131.25,132.12,130.94,131.47,2914192
13,13-Oct-17,131.00,131.41,129.20,130.71,3478191
14,12-Oct-17,128.40,130.16,128.38,129.99,3372320
15,11-Oct-17,128.17,128.41,127.67,127.88,177592
16,10-Oct-17,127.52,128.29,127.27,128.19,4414772
17,9-Oct-17,126.92,126.93,125.94,126.88,1979639
18,6-Oct-17,126.12,126.99,125.98,126.93,2697410
19,5-Oct-17,126.80,126.91,126.01,126.4,2496551
20,4-Oct-17,125.69,127.09,125.60,126.74,2792495
21,3-Oct-17,124.98,125.53,124.35,125.51,2166124
22,2-Oct-17,124.40,124.83,123.95,124.72,2502628
23,29-Sep-17,125.35,125.55,124.51,124.71,2273463
24,28-Sep-17,123.91,125.28,123.62,125.23,2067779
25,27-Sep-17,125.21,125.42,124.34,124.52,2116077
26,26-Sep-17,124.70,125.07,124.32,124.51,2302141
27,25-Sep-17,124.37,124.78,123.65,124.32,3268466
28,22-Sep-17,124.58,125.42,124.35,124.43,2616709
29,21-Sep-17,124.52,125.04,123.82,124.79,2615367
30,20-Sep-17,124.97,125.28,124.18,124.85,3151576
31,19-Sep-17,123.96,124.93,123.76,124.74,3050029
32,18-Sep-17,123.62,124.43,122.85,123.83,4349014
33,15-Sep-17,121.01,121.57,120.31,121.37,4610125
34,14-Sep-17,119.79,120.79,119.21,120.48,2904856
35,13-Sep-17,120.50,121.00,119.41,119.63,2532234
36,12-Sep-17,119.19,121.39,119.06,120.94,5554631
37,11-Sep-17,118.82,118.92,117.47,118.87,3527473
38,8-Sep-17,117.23,118.85,117.00,117.82,2786971
39,7-Sep-17,117.38,117.93,116.50,117.77,3270114
40,6-Sep-17,118.75,119.18,116.98,116.98,4292595
41,5-Sep-17,118.14,119.13,117.82,118.3,3830667
42,1-Sep-17,117.49,118.82,117.40,118.28,2992226
43,31-Aug-17,117.95,118.83,117.35,117.49,3357695
44,30-Aug-17,116.12,117.69,115.88,117.55,3401022
45,29-Aug-17,114.38,116.60,114.30,116.01,4355661
46,28-Aug-17,115.76,116.06,114.66,115.07,2011033
47,25-Aug-17,115.47,116.64,115.15,115.35,3282217
48,24-Aug-17,115.00,115.05,114.39,114.78,1861155
49,23-Aug-17,115.00,115.38,114.75,114.75,2447632
50,22-Aug-17,114.21,115.86,114.00,115.82,3881054
51,21-Aug-17,113.75,114.09,113.27,113.6,3137367
52,18-Aug-17,112.99,114.64,112.69,113.92,3875693
53,17-Aug-17,114.00,114.37,113.14,113.14,2905050
54,16-Aug-17,113.81,114.50,113.63,114.12,2268555
55,15-Aug-17,114.00,114.23,113.32,113.65,2826822
56,14-Aug-17,113.46,114.37,113.27,113.71,1968916
57,11-Aug-17,113.07,113.67,112.75,112.85,2130558
58,10-Aug-17,113.89,114.13,112.86,113.15,3186723
59,9-Aug-17,114.39,115.46,114.11,114.34,3170051
60,8-Aug-17,114.59,115.25,114.19,114.41,2601217
61,7-Aug-17,114.48,114.99,114.30,114.71,2269385
62,4-Aug-17,113.88,114.64,113.45,114.35,2631896
63,3-Aug-17,112.85,113.72,112.85,113.56,2438868
64,2-Aug-17,113.15,113.58,112.09,113.09,2830626
65,1-Aug-17,114.27,114.43,112.52,113.1,3683681
66,31-Jul-17,-,-,-,113.95,4486013
67,28-Jul-17,114.45,114.90,113.48,114.1,4704478
68,27-Jul-17,113.72,114.39,113.25,114.37,5583481
69,26-Jul-17,114.25,114.54,113.08,113.52,5741249
70,25-Jul-17,113.24,114.89,111.80,114.54,14264596
71,24-Jul-17,107.86,108.50,107.29,108.18,5980369
72,21-Jul-17,106.71,106.95,105.11,106.59,4258115
73,20-Jul-17,107.88,108.15,107.06,107.32,3759740
74,19-Jul-17,107.30,108.00,107.14,107.85,2857917
75,18-Jul-17,108.22,108.22,106.57,107.07,3984361
76,17-Jul-17,108.00,109.38,107.98,108.84,2969519
77,14-Jul-17,108.55,109.36,108.05,108.77,4480218
78,13-Jul-17,108.89,109.25,107.97,108.47,3051071
79,12-Jul-17,108.92,110.00,108.84,108.96,3611614
80,11-Jul-17,107.91,108.47,107.05,108.24,2559920
81,10-Jul-17,106.73,108.49,106.24,107.84,2951468
82,7-Jul-17,106.61,107.58,105.85,106.92,2767868
83,6-Jul-17,107.23,107.89,106.30,106.51,2921670
84,5-Jul-17,107.00,107.88,106.65,107.49,3483617
85,3-Jul-17,106.51,107.84,106.48,106.97,2404896
86,30-Jun-17,106.10,108.04,105.83,107.46,4702148
87,29-Jun-17,106.45,106.97,104.81,105.64,3550032
88,28-Jun-17,104.85,106.63,104.76,106.45,4118284
89,27-Jun-17,104.50,105.23,103.69,103.93,3380676
90,26-Jun-17,104.66,105.63,103.44,104.25,2857661
91,23-Jun-17,102.50,104.27,102.30,104.11,12089818
92,22-Jun-17,103.57,104.66,103.49,103.84,3652480
93,21-Jun-17,106.63,106.76,103.15,103.47,6274065
94,20-Jun-17,108.06,108.18,106.92,107.04,5314140
95,19-Jun-17,107.95,108.04,106.67,107.49,4347630
96,16-Jun-17,106.76,107.91,106.40,107.6,7350440
97,15-Jun-17,103.80,106.64,103.80,106.4,5974059
98,14-Jun-17,105.80,105.99,103.99,104.71,4100230
99,13-Jun-17,106.18,106.66,105.50,105.75,3522709
100,12-Jun-17,105.65,106.35,104.90,106.07,4167423
101,9-Jun-17,105.09,107.02,105.03,105.92,3881020
102,8-Jun-17,103.80,105.39,103.61,105.01,4649344
103,7-Jun-17,104.30,104.69,102.45,103.51,5121650
104,6-Jun-17,104.79,105.52,104.06,104.55,3800243
105,5-Jun-17,105.58,107.17,105.14,105.2,4319496
106,2-Jun-17,105.67,106.76,105.18,105.95,3702809
107,1-Jun-17,105.77,106.43,105.16,105.65,4211339
108,31-May-17,105.25,105.76,103.60,105.43,4131439
109,30-May-17,105.26,105.86,105.01,105.47,3211672
110,26-May-17,105.00,105.71,104.62,105.66,2894109
111,25-May-17,104.45,105.94,104.24,105.02,5220575
112,24-May-17,103.33,104.91,103.15,103.95,5174710
113,23-May-17,102.30,103.75,102.06,103.63,3327626
114,22-May-17,102.67,103.05,101.81,102.29,4377007
115,19-May-17,101.57,102.86,101.27,102.43,4636549
116,18-May-17,99.14,100.67,97.74,100.22,5931547
117,17-May-17,101.00,101.65,99.89,100.14,4618515
118,16-May-17,102.75,102.80,101.27,102.34,3115859
119,15-May-17,101.59,102.56,101.41,102.42,3756092
120,12-May-17,100.59,100.95,100.17,100.71,4111987
121,11-May-17,101.90,101.92,100.15,100.99,5220286
