,Date,Open,High,Low,Close,Volume
0,1-Nov-17,34.29,34.75,34.28,34.62,22051255
1,31-Oct-17,33.98,34.24,33.96,34.15,13935120
2,30-Oct-17,34.13,34.38,33.82,34.04,18345087
3,27-Oct-17,34.15,34.62,34.09,34.43,20356597
4,26-Oct-17,34.41,34.51,34.07,34.27,14616103
5,25-Oct-17,34.73,34.73,34.16,34.3,17400891
6,24-Oct-17,34.4,34.68,34.25,34.58,16280155
7,23-Oct-17,34.45,34.68,34.27,34.35,22631966
8,20-Oct-17,34.02,34.39,34.01,34.25,24361352
9,19-Oct-17,33.51,33.89,33.45,33.75,13203111
10,18-Oct-17,33.72,33.75,33.44,33.55,9971246
11,17-Oct-17,33.59,33.67,33.46,33.6,9303117
12,16-Oct-17,33.6,33.64,33.47,33.54,10509057
13,13-Oct-17,33.4,33.57,33.32,33.47,13578818
14,12-Oct-17,33.26,33.46,33.17,33.26,17905601
15,11-Oct-17,33.38,33.63,33.25,33.59,12561374
16,10-Oct-17,33.88,33.91,33.47,33.55,18011029
17,9-Oct-17,33.77,33.89,33.61,33.76,8728444
18,6-Oct-17,33.65,33.78,33.52,33.75,15464652
19,5-Oct-17,33.58,33.67,33.41,33.59,14524809
20,4-Oct-17,33.53,33.56,33.29,33.44,14652192
21,3-Oct-17,33.72,33.9,33.61,33.85,13346858
22,2-Oct-17,33.61,33.77,33.52,33.75,16555183
23,29-Sep-17,33.31,33.67,33.24,33.63,14802671
24,28-Sep-17,33.22,33.46,33.22,33.35,15496862
25,27-Sep-17,33.78,33.92,33.3,33.48,22310041
26,26-Sep-17,33.76,34.1,33.67,33.76,26138300
27,25-Sep-17,33.31,33.84,33.2,33.72,32396906
28,22-Sep-17,32.66,33.53,32.64,33.37,28234858
29,21-Sep-17,32.72,32.9,32.5,32.7,19870012
30,20-Sep-17,32.55,32.75,32.39,32.6,19865366
31,19-Sep-17,32.46,32.65,32.4,32.49,12927654
32,18-Sep-17,32.43,32.66,32.26,32.52,17290893
33,15-Sep-17,32.2,32.5,32.12,32.44,29336087
34,14-Sep-17,31.91,32.22,31.91,32.19,18194803
35,13-Sep-17,32.34,32.39,31.96,32.18,22705140
36,12-Sep-17,32.3,32.47,32.19,32.41,18923132
37,11-Sep-17,31.71,32.3,31.67,32.19,22440819
38,8-Sep-17,31.68,31.78,31.46,31.48,15339455
39,7-Sep-17,31.96,31.97,31.74,31.76,14751706
40,6-Sep-17,31.75,31.91,31.63,31.87,16962308
41,5-Sep-17,32.15,32.24,31.46,31.62,32650934
42,1-Sep-17,32.22,32.34,32.03,32.3,14686578
43,31-Aug-17,32.1,32.34,31.99,32.21,27800153
44,30-Aug-17,31.47,32.2,31.42,31.99,22988730
45,29-Aug-17,31.26,31.63,31.19,31.48,16362658
46,28-Aug-17,31.6,31.66,31.41,31.54,12958921
47,25-Aug-17,31.39,31.8,31.36,31.44,19558253
48,24-Aug-17,30.95,31.4,30.9,31.24,22576090
49,23-Aug-17,31.21,31.4,30.91,30.92,22436582
