,Date,Open,High,Low,Close,Volume
0,1-Nov-17,116.30,116.97,115.35,115.9,5030255
1,31-Oct-17,114.45,116.38,113.82,115.89,7154843
2,30-Oct-17,113.17,115.1,112.84,114.39,7517830
3,27-Oct-17,116.13,116.4,112.57,113.54,14534096
4,26-Oct-17,118.78,119.0,118.14,118.44,4092852
5,25-Oct-17,119.00,119.44,118.14,118.44,4553104
6,24-Oct-17,119.48,119.92,119.07,119.23,4472414
7,23-Oct-17,118.72,119.3,118.45,118.93,3872393
8,20-Oct-17,118.61,118.78,118.07,118.64,4924257
9,19-Oct-17,118.06,118.74,117.95,118.2,4576638
10,18-Oct-17,119.40,120.02,117.99,118.15,5505097
11,17-Oct-17,120.23,120.74,119.83,120.22,4844293
12,16-Oct-17,119.84,120.89,119.43,120.13,5500652
13,13-Oct-17,119.79,120.0,119.07,119.16,4640071
14,12-Oct-17,118.49,119.65,118.31,119.14,3929664
15,11-Oct-17,119.21,119.25,118.58,118.75,302197
16,10-Oct-17,118.40,119.82,118.29,118.8,5683126
17,9-Oct-17,117.34,118.08,117.01,117.71,2951938
18,6-Oct-17,117.95,118.15,116.80,117.03,3533322
19,5-Oct-17,117.45,118.69,117.33,118.58,5470900
20,4-Oct-17,117.82,117.87,117.13,117.58,3443437
21,3-Oct-17,117.08,118.25,117.01,117.82,3892189
22,2-Oct-17,116.42,117.79,115.53,117.43,4285626
23,29-Sep-17,117.17,117.52,116.73,117.5,4874786
24,28-Sep-17,117.17,118.13,117.02,117.62,4948991
25,27-Sep-17,117.46,117.6,116.77,117.45,3872739
26,26-Sep-17,117.79,118.03,117.25,117.52,4874703
27,25-Sep-17,117.23,118.33,117.02,117.99,5980338
28,22-Sep-17,116.41,117.83,116.27,117.29,5307066
29,21-Sep-17,116.22,116.52,115.83,116.47,4334537
30,20-Sep-17,116.50,117.15,116.20,116.37,5378172
31,19-Sep-17,115.25,116.42,115.19,116.34,6187969
32,18-Sep-17,114.42,115.22,114.32,115.19,4954613
33,15-Sep-17,114.83,114.91,113.63,114.63,8387623
34,14-Sep-17,114.26,115.34,114.18,114.45,5819075
35,13-Sep-17,112.49,114.32,112.28,114.18,5889386
36,12-Sep-17,112.82,112.95,111.86,112.49,5110085
37,11-Sep-17,111.83,112.57,111.52,112.52,5973396
38,8-Sep-17,111.59,111.75,110.53,110.78,4033102
39,7-Sep-17,112.18,112.87,111.36,111.8,5937757
40,6-Sep-17,110.00,112.23,109.80,111.79,8577257
41,5-Sep-17,109.36,110.26,108.70,109.44,5515448
42,1-Sep-17,107.68,109.16,107.51,108.76,3660250
43,31-Aug-17,108.00,108.23,107.50,107.62,5508243
44,30-Aug-17,107.58,107.84,107.10,107.73,3126032
45,29-Aug-17,107.43,108.05,107.04,107.86,3230570
46,28-Aug-17,108.54,108.59,107.27,107.76,3681644
47,25-Aug-17,107.82,108.71,107.52,108.23,4384176
48,24-Aug-17,106.50,107.67,106.33,107.44,5059721
49,23-Aug-17,106.21,107.06,106.11,106.61,4185754
50,22-Aug-17,105.99,106.92,105.81,106.36,5630885
51,21-Aug-17,106.48,106.48,105.30,105.78,3560374
52,18-Aug-17,105.84,107.34,105.50,106.48,5467369
53,17-Aug-17,106.61,106.87,105.91,105.92,5870333
54,16-Aug-17,107.63,107.92,106.69,106.84,4186592
55,15-Aug-17,108.75,108.9,107.52,108.57,5310737
56,14-Aug-17,109.26,109.82,108.32,108.71,4286147
57,11-Aug-17,110.20,110.49,109.13,109.23,3382960
58,10-Aug-17,111.23,111.44,110.03,110.11,4950662
59,9-Aug-17,110.74,111.41,110.26,110.89,3966818
60,8-Aug-17,110.00,110.71,109.77,110.35,4107273
61,7-Aug-17,109.81,110.29,109.58,109.78,4762791
62,4-Aug-17,109.43,110.2,109.43,110.11,4643512
63,3-Aug-17,110.23,110.45,109.05,109.43,5605443
64,2-Aug-17,110.39,111.2,109.85,110.46,6212303
65,1-Aug-17,109.54,110.97,109.42,110.78,8162875
66,31-Jul-17,-,110.0,-,109.19,7561205
67,28-Jul-17,106.71,109.13,106.36,108.12,7812602
68,27-Jul-17,104.88,106.32,104.61,106.11,5888389
69,26-Jul-17,104.63,106.08,104.20,105.12,5881400
70,25-Jul-17,104.45,105.15,104.32,104.39,7093841
71,24-Jul-17,103.18,103.57,102.92,103.2,4080357
72,21-Jul-17,104.18,104.38,103.15,103.25,5304114
73,20-Jul-17,105.00,105.37,103.82,104.63,5367835
74,19-Jul-17,103.56,104.48,103.51,104.46,4932033
75,18-Jul-17,104.60,104.6,103.51,103.72,4339385
76,17-Jul-17,104.32,104.97,104.08,104.21,5572439
77,14-Jul-17,104.38,104.64,103.73,104.44,3644262
78,13-Jul-17,103.80,104.21,103.46,104.13,4439131
79,12-Jul-17,104.00,104.75,103.47,103.89,3978070
80,11-Jul-17,103.15,103.5,102.55,103.12,4322437
81,10-Jul-17,103.44,103.58,102.60,103.04,4629028
82,7-Jul-17,103.59,103.76,102.81,103.49,6456968
83,6-Jul-17,104.67,105.13,103.71,103.82,5084808
84,5-Jul-17,105.99,106.3,104.27,104.62,4482676
85,3-Jul-17,104.24,106.96,104.24,106.3,4419061
86,30-Jun-17,104.53,104.72,103.89,104.33,5496977
87,29-Jun-17,104.38,105.15,104.05,104.12,4288630
88,28-Jun-17,104.43,104.9,104.04,104.28,4162306
89,27-Jun-17,104.73,104.89,104.03,104.07,4170294
90,26-Jun-17,105.03,105.19,104.03,104.14,3602490
91,23-Jun-17,104.25,105.42,104.24,105.0,5773319
92,22-Jun-17,104.48,105.14,104.04,104.45,4197378
93,21-Jun-17,105.89,106.9,103.92,104.49,6989385
94,20-Jun-17,106.25,106.6,105.38,106.48,5171238
95,19-Jun-17,108.31,108.38,107.14,107.46,4577827
96,16-Jun-17,106.94,108.36,106.21,108.35,11633919
97,15-Jun-17,106.50,106.8,105.87,106.33,5441421
98,14-Jun-17,107.91,107.99,105.74,106.6,6202286
99,13-Jun-17,108.34,108.49,107.16,108.13,6099745
100,12-Jun-17,107.42,108.43,107.28,108.04,8690637
