,Date,Open,High,Low,Close,Volume
0,1-Nov-17,98.13,99.46,98.00,99.03,6920435
1,31-Oct-17,97.94,98.09,97.38,97.81,5701674
2,30-Oct-17,98.12,98.33,97.70,98.04,7093151
3,27-Oct-17,97.90,98.36,96.89,98.31,7868685
4,26-Oct-17,97.58,99.48,97.25,98.56,6167514
5,25-Oct-17,98.05,98.22,97.45,97.8,5144415
6,24-Oct-17,98.52,98.86,98.06,98.29,4966173
7,23-Oct-17,99.12,99.18,98.63,98.7,5888226
8,20-Oct-17,99.45,99.66,98.94,99.4,5938716
9,19-Oct-17,98.19,99.30,98.11,99.01,5634272
10,18-Oct-17,98.36,98.49,97.55,98.25,5404326
11,17-Oct-17,98.40,98.47,97.86,98.36,5942501
12,16-Oct-17,97.64,98.27,97.54,98.13,4911623
13,13-Oct-17,96.80,97.68,96.80,97.38,6857969
14,12-Oct-17,97.56,97.82,96.81,96.93,11018249
15,11-Oct-17,99.58,99.58,98.70,98.9,437459
16,10-Oct-17,99.99,100.07,98.66,99.58,7704374
17,9-Oct-17,100.81,100.98,99.45,99.57,5429606
18,6-Oct-17,99.95,100.27,99.34,100.07,4360212
19,5-Oct-17,100.64,100.87,100.02,100.11,4736650
20,4-Oct-17,100.74,100.93,100.20,100.55,5126136
21,3-Oct-17,100.05,100.85,99.91,100.79,5447727
22,2-Oct-17,99.31,100.44,99.11,99.86,6923319
23,29-Sep-17,97.89,98.59,97.66,98.57,8185858
24,28-Sep-17,98.77,99.05,98.00,98.05,7149615
25,27-Sep-17,98.97,99.52,98.02,99.24,7519224
26,26-Sep-17,99.64,99.74,98.61,98.63,6220508
27,25-Sep-17,98.60,99.64,98.42,99.57,7492545
28,22-Sep-17,98.55,98.99,98.53,98.6,6359080
29,21-Sep-17,99.19,99.39,98.75,98.89,4958036
30,20-Sep-17,98.76,99.28,98.62,99.21,6459058
31,19-Sep-17,98.23,98.67,98.08,98.43,6970280
32,18-Sep-17,98.39,98.72,97.72,98.1,7013634
33,15-Sep-17,98.05,98.93,98.00,98.52,23870293
34,14-Sep-17,98.79,98.84,97.54,97.9,9710030
35,13-Sep-17,98.24,98.95,98.02,98.82,7615303
36,12-Sep-17,97.59,98.36,97.12,97.89,9151729
37,11-Sep-17,97.90,98.02,96.96,97.09,9610290
38,8-Sep-17,96.49,97.49,96.26,97.07,13147662
39,7-Sep-17,101.55,101.86,96.20,97.06,26419407
40,6-Sep-17,101.76,102.04,100.89,101.5,7530956
41,5-Sep-17,102.00,102.55,100.90,101.6,9592925
42,1-Sep-17,101.65,101.92,101.36,101.5,7827433
43,31-Aug-17,103.00,103.19,101.00,101.2,9823832
44,30-Aug-17,102.48,103.45,102.48,102.87,6573211
45,29-Aug-17,102.00,102.99,101.82,102.57,6011650
46,28-Aug-17,102.49,102.85,102.08,102.56,5630425
47,25-Aug-17,101.69,102.68,101.56,102.41,6186933
48,24-Aug-17,101.82,102.03,101.43,101.52,6976592
49,23-Aug-17,102.48,102.98,101.48,101.5,5954375
50,22-Aug-17,101.41,102.91,101.17,102.77,6888650
51,21-Aug-17,100.64,101.42,100.53,101.17,6492673
52,18-Aug-17,101.32,101.74,100.66,100.7,6893916
53,17-Aug-17,102.24,102.58,101.34,101.38,6612443
54,16-Aug-17,101.84,102.65,101.72,102.2,6698783
55,15-Aug-17,101.63,102.10,101.36,101.51,8868514
56,14-Aug-17,102.80,102.81,101.26,101.4,9707297
57,11-Aug-17,101.25,102.51,101.03,101.99,9410408
58,10-Aug-17,102.50,102.82,101.22,101.35,12259908
59,9-Aug-17,100.71,103.00,100.50,102.83,27877607
60,8-Aug-17,106.55,107.14,106.18,106.98,9787086
61,7-Aug-17,107.59,107.65,106.11,106.35,8093098
62,4-Aug-17,108.23,108.50,107.32,107.69,8503837
63,3-Aug-17,108.52,109.17,108.04,109.12,6895774
64,2-Aug-17,109.88,109.88,107.52,108.67,8812748
65,1-Aug-17,109.98,110.83,109.95,110.61,5987217
66,31-Jul-17,-,110.14,-,109.93,6815349
67,28-Jul-17,109.98,110.19,109.66,109.96,4864456
68,27-Jul-17,107.69,110.00,107.44,110.0,10468680
69,26-Jul-17,106.55,107.03,106.31,106.94,4149006
70,25-Jul-17,107.60,107.74,106.20,106.42,5394699
71,24-Jul-17,107.31,107.54,106.90,107.0,4615539
72,21-Jul-17,107.10,107.33,106.80,107.09,4328517
73,20-Jul-17,106.99,107.71,106.75,107.36,6185510
74,19-Jul-17,106.13,106.87,106.05,106.82,5789363
75,18-Jul-17,104.60,105.80,104.31,105.75,5740471
76,17-Jul-17,105.17,105.42,104.71,104.79,3973789
77,14-Jul-17,104.43,105.25,104.41,105.09,4370311
78,13-Jul-17,104.45,105.34,104.04,104.29,5339465
79,12-Jul-17,104.34,104.65,103.64,104.38,5203285
80,11-Jul-17,103.60,104.19,103.19,103.84,4557336
81,10-Jul-17,103.30,103.91,102.87,103.59,4421270
82,7-Jul-17,103.51,103.73,102.72,103.32,6030928
83,6-Jul-17,104.61,104.69,102.94,103.35,8690802
84,5-Jul-17,107.83,107.85,105.29,105.63,8049724
85,3-Jul-17,106.76,108.62,106.76,107.46,5399537
86,30-Jun-17,106.25,106.56,105.50,106.25,5113841
87,29-Jun-17,106.80,107.41,105.33,105.71,7268675
88,28-Jun-17,106.02,107.54,104.52,106.86,7874406
89,27-Jun-17,105.33,106.14,105.14,105.41,5694473
90,26-Jun-17,104.60,105.85,104.56,105.57,5866969
91,23-Jun-17,103.83,104.58,103.17,104.36,18147866
92,22-Jun-17,104.71,104.77,104.09,104.22,6155991
93,21-Jun-17,104.39,105.08,103.54,104.8,7765661
94,20-Jun-17,105.07,105.30,103.81,103.94,7895674
95,19-Jun-17,105.60,106.00,105.18,105.37,5956249
96,16-Jun-17,106.28,106.35,104.76,105.51,8683368
97,15-Jun-17,105.94,106.16,105.23,105.98,5309916
98,14-Jun-17,106.95,107.01,105.76,106.14,4781080
99,13-Jun-17,107.14,107.26,106.16,106.56,4918936
