,Date,Open,High,Low,Close,Volume
0,1-Nov-17,20.07,20.52,19.96,20.02,91714426
1,31-Oct-17,20.26,20.4,20.05,20.16,98007061
2,30-Oct-17,20.62,20.72,20.26,20.41,98385544
3,27-Oct-17,21.26,21.3,20.64,20.79,98534637
4,26-Oct-17,21.57,21.65,21.20,21.32,86283723
5,25-Oct-17,21.84,21.89,21.30,21.5,110518207
6,24-Oct-17,22.12,22.31,21.75,21.89,133615914
7,23-Oct-17,23.44,23.44,22.18,22.32,187340912
8,20-Oct-17,22.14,23.84,22.10,23.83,192404370
9,19-Oct-17,23.14,23.78,23.05,23.58,75574053
10,18-Oct-17,23.20,23.28,23.07,23.12,34970681
11,17-Oct-17,23.22,23.25,23.00,23.19,58639089
12,16-Oct-17,22.99,23.48,22.93,23.36,49757813
13,13-Oct-17,23.15,23.23,22.96,22.98,40391802
14,12-Oct-17,23.05,23.09,22.83,23.05,59948728
15,11-Oct-17,23.13,23.27,23.02,23.08,10458121
16,10-Oct-17,23.70,23.86,23.32,23.36,80571106
17,9-Oct-17,24.10,24.15,23.25,23.43,140302771
18,6-Oct-17,24.41,24.54,24.13,24.39,40729835
19,5-Oct-17,24.39,24.57,24.15,24.54,34758948
20,4-Oct-17,24.88,24.89,24.43,24.48,32149416
21,3-Oct-17,24.61,24.83,24.33,24.8,33907539
22,2-Oct-17,24.22,24.61,24.10,24.57,42501167
23,29-Sep-17,24.22,24.29,24.01,24.18,33673712
24,28-Sep-17,24.39,24.45,24.16,24.24,36154413
25,27-Sep-17,25.00,25.05,24.28,24.37,56322448
26,26-Sep-17,25.15,25.21,24.92,24.93,40753220
27,25-Sep-17,24.92,25.18,24.85,25.11,42487988
28,22-Sep-17,24.84,25.04,24.77,24.87,39717546
29,21-Sep-17,24.33,24.84,24.17,24.75,52115545
30,20-Sep-17,24.20,24.41,24.19,24.32,39770268
31,19-Sep-17,24.46,24.47,24.02,24.2,45340484
32,18-Sep-17,23.96,24.55,23.93,24.46,52504484
33,15-Sep-17,24.10,24.17,23.75,23.93,66559977
34,14-Sep-17,24.10,24.27,23.94,24.26,42084528
35,13-Sep-17,23.93,24.18,23.92,24.11,38629676
36,12-Sep-17,23.82,23.91,23.71,23.91,49662623
37,11-Sep-17,23.80,23.89,23.62,23.72,43306557
38,8-Sep-17,23.95,24.0,23.58,23.82,44604454
39,7-Sep-17,24.51,24.55,23.83,24.02,80108579
40,6-Sep-17,24.89,25.02,24.82,24.92,55024972
41,5-Sep-17,25.06,25.06,24.57,24.76,46852663
42,1-Sep-17,24.60,25.3,24.49,25.14,58848107
43,31-Aug-17,24.41,24.7,24.28,24.55,55284334
44,30-Aug-17,24.49,24.49,24.15,24.28,33875996
45,29-Aug-17,24.33,24.46,24.28,24.44,23910062
46,28-Aug-17,24.53,24.67,24.35,24.47,23937590
47,25-Aug-17,24.39,24.6,24.35,24.49,22867795
48,24-Aug-17,24.43,24.54,24.30,24.3,25547869
49,23-Aug-17,24.52,24.56,24.34,24.39,34533588
50,22-Aug-17,24.57,24.74,24.48,24.6,29969104
51,21-Aug-17,24.49,24.6,24.32,24.49,46055015
52,18-Aug-17,24.63,24.74,24.44,24.55,34273076
53,17-Aug-17,25.07,25.1,24.72,24.75,31221726
54,16-Aug-17,25.12,25.25,25.05,25.1,27473822
55,15-Aug-17,25.21,25.32,25.10,25.14,27334936
56,14-Aug-17,25.28,25.55,25.25,25.36,24292077
57,11-Aug-17,25.40,25.45,25.19,25.2,19217278
58,10-Aug-17,25.71,25.71,25.27,25.3,29678945
59,9-Aug-17,25.55,25.72,25.46,25.71,29670988
60,8-Aug-17,25.63,25.89,25.52,25.56,27143601
61,7-Aug-17,25.74,25.79,25.55,25.63,18870367
62,4-Aug-17,25.75,25.85,25.62,25.78,23312961
63,3-Aug-17,25.59,25.78,25.37,25.76,30916656
64,2-Aug-17,25.44,25.57,25.39,25.52,27387013
65,1-Aug-17,25.63,25.66,25.33,25.44,41911312
66,31-Jul-17,-,25.69,-,25.61,30616287
67,28-Jul-17,25.86,25.88,25.40,25.53,28286777
68,27-Jul-17,25.59,25.8,25.52,25.79,39888012
69,26-Jul-17,25.59,25.69,25.37,25.59,40733416
70,25-Jul-17,25.57,25.73,25.36,25.44,46181545
71,24-Jul-17,25.78,25.85,25.35,25.43,56872280
72,21-Jul-17,25.38,26.0,25.26,25.91,90649890
73,20-Jul-17,27.02,27.05,26.60,26.69,55158141
74,19-Jul-17,26.85,27.03,26.84,26.94,24792361
75,18-Jul-17,26.76,26.92,26.74,26.89,26146078
76,17-Jul-17,26.76,26.88,26.72,26.82,27695627
