,Date,Open,High,Low,Close,Volume
0,1-Nov-17,1036.32,1047.86,1034.0,1042.6,2163073
1,31-Oct-17,1033.0,1041.0,1026.3,1033.04,1516278
2,30-Oct-17,1029.16,1039.83,1022.33,1033.13,2340172
3,27-Oct-17,1030.99,1063.62,1026.85,1033.67,5184143
4,26-Oct-17,998.47,1006.51,990.47,991.42,2369838
5,25-Oct-17,986.27,994.43,977.72,991.46,1528710
6,24-Oct-17,986.5,989.26,977.08,988.49,1445129
7,23-Oct-17,1005.18,1005.79,983.1,985.54,1639294
8,20-Oct-17,1007.05,1008.65,1002.27,1005.07,1606031
9,19-Oct-17,1004.75,1007.32,997.3,1001.84,1714243
10,18-Oct-17,1011.05,1016.31,1005.32,1012.74,1279780
11,17-Oct-17,1007.44,1014.56,1006.05,1011.0,1012998
12,16-Oct-17,1009.63,1012.0,1001.52,1009.35,1071023
13,13-Oct-17,1009.11,1014.76,1007.06,1007.87,1327632
14,12-Oct-17,1003.84,1011.54,1001.1,1005.65,1530664
15,11-Oct-17,989.04,1007.56,987.94,1005.65,1814999
16,10-Oct-17,995.3,997.47,981.11,987.8,1163400
17,9-Oct-17,995.0,1000.46,991.5,992.31,1295467
18,6-Oct-17,980.0,994.26,978.51,993.64,1553033
19,5-Oct-17,972.79,986.51,970.27,985.19,1780946
20,4-Oct-17,971.76,974.4,965.61,966.78,1057769
21,3-Oct-17,967.56,972.44,962.7,972.08,1083948
22,2-Oct-17,975.65,977.74,961.95,967.47,1539122
23,29-Sep-17,966.0,975.81,966.0,973.72,2031092
24,28-Sep-17,956.25,966.18,955.55,964.81,1400931
25,27-Sep-17,942.74,965.43,941.95,959.9,2327854
26,26-Sep-17,936.69,944.08,935.12,937.43,1672749
27,25-Sep-17,939.45,939.75,924.51,934.28,1873375
28,22-Sep-17,942.77,950.0,940.84,943.26,1074806
29,21-Sep-17,948.13,952.8,939.38,947.55,1370685
30,20-Sep-17,937.73,950.0,937.5,947.54,2004018
31,19-Sep-17,933.41,937.94,926.66,936.86,1242726
32,18-Sep-17,935.01,936.86,925.4,929.75,1473651
33,15-Sep-17,940.09,941.75,931.25,935.29,1994265
34,14-Sep-17,946.0,948.03,938.36,940.13,1427379
35,13-Sep-17,945.5,952.85,944.74,950.44,1095382
36,12-Sep-17,946.92,948.08,937.5,946.65,1284787
37,11-Sep-17,947.2,952.68,941.0,943.29,1337365
38,8-Sep-17,949.7,950.7,940.01,941.41,999916
39,7-Sep-17,944.25,950.5,937.53,949.89,1116575
40,6-Sep-17,943.87,944.5,932.68,942.02,1391529
41,5-Sep-17,946.86,951.39,935.6,941.48,1460830
42,1-Sep-17,957.47,958.33,950.28,951.99,1042885
43,31-Aug-17,946.3,957.2,946.25,955.24,1693313
44,30-Aug-17,935.67,945.86,934.05,943.63,1120342
45,29-Aug-17,919.95,938.19,919.31,935.75,1158576
46,28-Aug-17,931.88,934.85,926.11,928.13,1049397
47,25-Aug-17,939.21,940.73,930.1,930.5,1187313
48,24-Aug-17,943.71,946.31,930.74,936.89,1294559
49,23-Aug-17,937.0,945.42,935.24,942.58,1134464
50,22-Aug-17,926.96,941.96,926.17,940.4,1775099
51,21-Aug-17,925.77,928.25,918.6,920.87,1301243
52,18-Aug-17,926.98,931.02,923.45,926.18,1337404
53,17-Aug-17,942.95,943.81,927.64,927.66,1695694
54,16-Aug-17,941.25,949.9,940.04,944.27,1345261
55,15-Aug-17,941.03,943.07,936.64,938.08,1106484
56,14-Aug-17,939.07,941.04,934.48,938.93,1150612
57,11-Aug-17,923.71,933.36,921.22,930.09,1616708
58,10-Aug-17,935.0,936.3,921.78,923.59,2707393
59,9-Aug-17,938.45,943.76,933.92,940.08,1400852
60,8-Aug-17,944.29,952.49,942.48,944.19,1505064
61,7-Aug-17,947.52,948.96,943.5,945.75,1445754
62,4-Aug-17,943.95,947.54,939.8,945.79,1254574
63,3-Aug-17,949.1,950.0,939.44,940.3,1123921
64,2-Aug-17,948.37,949.1,932.52,947.64,2039418
65,1-Aug-17,947.81,954.49,944.96,946.56,1332456
66,31-Jul-17,960.0,961.19,941.72,945.5,2293389
67,28-Jul-17,947.99,961.79,945.31,958.33,1813794
68,27-Jul-17,969.18,969.52,937.06,952.51,3717900
69,26-Jul-17,972.78,973.95,960.23,965.31,2221625
70,25-Jul-17,970.7,976.73,963.8,969.03,5933602
71,24-Jul-17,994.1,1006.19,990.27,998.31,3984532
72,21-Jul-17,989.0,995.11,984.17,993.84,1463322
73,20-Jul-17,997.0,998.68,984.62,992.19,1418385
74,19-Jul-17,990.01,995.6,987.01,992.77,1412148
75,18-Jul-17,973.36,990.85,972.04,986.95,1413335
76,17-Jul-17,976.32,983.35,970.8,975.96,1660464
77,14-Jul-17,974.0,977.54,970.15,976.91,1079608
78,13-Jul-17,970.8,978.7,964.8,968.85,1524571
79,12-Jul-17,960.86,969.63,957.04,967.66,1602115
80,11-Jul-17,950.52,954.89,945.12,953.53,1461247
81,10-Jul-17,941.95,953.13,941.95,951.0,1451460
82,7-Jul-17,930.98,944.66,929.79,940.81,1663302
