,Date,Open,High,Low,Close,Volume
0,1-Nov-17,243.89,247.4,242.91,244.26,2969572
1,31-Oct-17,240.68,244.18,240.63,242.48,2658731
2,30-Oct-17,240.10,242.59,239.53,240.89,1764451
3,27-Oct-17,240.85,242.44,239.67,241.71,2111903
4,26-Oct-17,242.61,244.0,241.53,241.72,1948825
5,25-Oct-17,246.16,246.5,240.80,241.71,2904307
6,24-Oct-17,243.60,246.25,243.00,244.84,2285251
7,23-Oct-17,244.39,245.33,241.38,242.13,1963295
8,20-Oct-17,242.95,245.25,240.67,244.73,3022769
9,19-Oct-17,240.35,240.99,238.10,239.99,2710875
10,18-Oct-17,236.87,242.65,236.87,242.03,4235853
11,17-Oct-17,244.44,244.89,235.19,236.09,7088445
12,16-Oct-17,238.60,242.76,238.35,242.41,2969192
13,13-Oct-17,239.00,239.45,236.84,238.53,2491012
14,12-Oct-17,242.33,243.42,238.75,239.8,2148150
15,11-Oct-17,242.00,242.5,241.35,241.89,149411
16,10-Oct-17,242.80,243.73,241.70,242.6,2187050
17,9-Oct-17,245.15,246.35,242.02,242.8,2165180
18,6-Oct-17,246.30,247.08,244.61,246.02,2396134
19,5-Oct-17,241.00,246.32,240.12,246.06,3521265
20,4-Oct-17,241.62,242.88,240.12,240.31,1840415
21,3-Oct-17,241.07,242.71,239.69,241.62,2010771
22,2-Oct-17,237.20,241.1,237.10,240.65,2501272
23,29-Sep-17,235.01,237.6,234.57,237.19,1902308
24,28-Sep-17,235.00,236.2,233.50,235.47,2121841
25,27-Sep-17,234.07,235.6,232.91,234.76,3052297
26,26-Sep-17,230.86,231.44,229.03,229.94,1770007
27,25-Sep-17,230.77,231.86,228.36,230.26,2261753
28,22-Sep-17,230.64,231.49,228.88,231.03,1861843
29,21-Sep-17,229.89,232.1,229.40,231.29,1800822
30,20-Sep-17,229.50,231.65,228.50,229.79,2682253
31,19-Sep-17,228.01,230.14,227.33,228.91,1858009
32,18-Sep-17,226.30,229.0,225.66,227.53,2466828
33,15-Sep-17,227.15,227.21,223.82,225.22,4365813
34,14-Sep-17,226.10,228.1,226.05,226.85,1986626
35,13-Sep-17,225.25,227.14,224.72,226.56,2383468
36,12-Sep-17,222.54,227.69,222.02,225.95,3745841
37,11-Sep-17,220.07,221.89,218.99,221.06,2971497
38,8-Sep-17,215.51,219.28,215.40,217.21,3120862
39,7-Sep-17,218.73,218.81,214.64,215.84,3594587
40,6-Sep-17,218.98,221.02,217.61,218.83,3613562
41,5-Sep-17,223.85,224.0,217.30,217.78,5651453
42,1-Sep-17,224.55,227.56,223.53,225.88,2346855
43,31-Aug-17,223.25,224.49,222.58,223.74,2240611
44,30-Aug-17,220.25,224.22,220.09,222.42,2411427
45,29-Aug-17,217.27,220.13,215.75,219.96,2369131
46,28-Aug-17,222.91,223.08,218.86,220.35,2641607
47,25-Aug-17,223.64,224.95,222.13,222.47,2232476
48,24-Aug-17,223.77,224.56,222.59,222.99,2263028
49,23-Aug-17,221.90,224.81,221.33,222.74,2568023
50,22-Aug-17,221.86,223.78,221.33,223.58,2021309
51,21-Aug-17,222.40,222.4,219.21,220.79,2203270
52,18-Aug-17,220.79,224.09,220.55,222.15,3149324
53,17-Aug-17,224.38,225.98,221.11,221.42,3460287
54,16-Aug-17,228.26,229.01,225.00,225.61,2393898
