,Date,Open,High,Low,Close,Volume
0,1-Nov-17,166.42,166.74,165.12,165.38,3568321
1,31-Oct-17,165.40,166.34,165.10,165.78,2922416
2,30-Oct-17,166.99,166.99,164.88,165.31,3906265
3,27-Oct-17,166.80,167.75,166.46,167.34,3720385
4,26-Oct-17,166.39,167.94,166.11,167.65,3750464
5,25-Oct-17,166.11,166.95,165.38,166.07,4189398
6,24-Oct-17,164.67,166.46,164.65,166.03,3686663
7,23-Oct-17,164.04,166.26,163.75,164.74,3995110
8,20-Oct-17,163.97,164.15,162.74,163.43,4166481
9,19-Oct-17,163.50,164.11,162.77,163.24,2676062
10,18-Oct-17,163.42,164.24,163.35,163.45,2758595
11,17-Oct-17,164.22,164.92,161.51,163.35,4189197
12,16-Oct-17,164.47,164.67,163.26,164.22,2586716
13,13-Oct-17,164.92,166.07,164.35,164.47,3259004
14,12-Oct-17,165.41,165.41,164.47,164.59,3397775
15,11-Oct-17,165.19,165.86,165.19,165.38,195708
16,10-Oct-17,165.70,165.8,164.64,165.16,2755438
17,9-Oct-17,166.14,166.63,165.42,165.71,2131837
18,6-Oct-17,166.18,166.63,165.74,165.85,2916301
19,5-Oct-17,165.07,166.25,164.26,166.12,3504865
20,4-Oct-17,165.49,166.08,164.91,165.29,2746513
21,3-Oct-17,164.06,165.28,164.00,165.17,3046381
22,2-Oct-17,164.20,164.25,163.22,164.02,2721377
23,29-Sep-17,162.50,163.61,162.15,163.56,3467426
24,28-Sep-17,160.72,162.45,160.66,162.36,4614080
25,27-Sep-17,161.38,161.69,160.14,160.92,3896420
26,26-Sep-17,161.55,162.0,160.79,161.26,3222646
27,25-Sep-17,160.05,161.43,159.75,161.1,4897741
28,22-Sep-17,159.14,160.09,159.01,159.97,3576479
29,21-Sep-17,158.87,159.56,158.72,159.19,3082093
30,20-Sep-17,157.57,159.39,157.36,158.68,4599197
31,19-Sep-17,157.80,158.32,157.16,157.66,3713412
32,18-Sep-17,159.00,159.0,157.69,157.81,4010587
33,15-Sep-17,159.98,159.99,158.29,158.4,9124244
34,14-Sep-17,160.35,160.85,159.33,159.38,5290796
35,13-Sep-17,160.39,161.38,159.55,160.02,4713676
36,12-Sep-17,159.06,160.93,158.71,159.91,5794570
37,11-Sep-17,158.42,158.74,156.22,158.37,8847928
38,8-Sep-17,159.09,160.69,157.52,159.66,10088630
39,7-Sep-17,158.17,159.28,156.79,157.93,8273080
40,6-Sep-17,154.86,157.03,154.14,156.56,8126012
41,5-Sep-17,151.71,153.92,151.70,152.93,7512387
42,1-Sep-17,150.26,150.94,149.76,150.78,3383036
43,31-Aug-17,150.61,150.92,149.85,149.87,6083340
44,30-Aug-17,150.00,150.25,149.28,150.0,3640966
45,29-Aug-17,150.07,150.9,149.03,149.84,5368723
46,28-Aug-17,151.94,152.39,150.43,151.39,6845407
47,25-Aug-17,148.51,150.53,148.40,149.65,3047971
48,24-Aug-17,149.73,150.6,147.98,148.25,3736039
49,23-Aug-17,148.58,149.48,147.43,149.1,5235444
50,22-Aug-17,149.29,150.58,149.29,149.91,3268114
51,21-Aug-17,147.10,149.88,146.89,149.2,4222473
52,18-Aug-17,149.61,149.61,146.96,147.49,6989147
53,17-Aug-17,151.81,152.15,149.61,149.67,4460870
54,16-Aug-17,151.45,152.95,151.16,152.25,6043875
55,15-Aug-17,154.28,154.8,148.26,150.17,13528650
56,14-Aug-17,156.04,156.05,153.56,154.26,6662484
57,11-Aug-17,154.11,155.72,153.98,154.88,3650541
58,10-Aug-17,155.19,155.98,153.88,153.88,4433653
59,9-Aug-17,153.35,155.57,153.32,155.26,3844857
60,8-Aug-17,153.32,154.2,153.08,153.35,3218945
61,7-Aug-17,152.83,154.47,152.47,153.35,3833620
62,4-Aug-17,151.01,152.75,150.80,152.75,3258581
63,3-Aug-17,150.70,152.03,150.50,150.79,5146565
64,2-Aug-17,149.94,150.86,149.92,150.5,3754192
65,1-Aug-17,150.24,150.39,148.95,149.85,4110605
66,31-Jul-17,-,149.98,-,149.6,5253318
67,28-Jul-17,147.90,148.27,147.32,148.08,3421081
68,27-Jul-17,146.18,147.86,145.89,147.73,5399029
69,26-Jul-17,146.86,147.24,145.96,146.69,2835975
70,25-Jul-17,145.74,147.4,145.28,146.97,5002381
71,24-Jul-17,146.61,146.69,144.25,144.58,7295913
72,21-Jul-17,147.03,147.46,146.13,146.65,9120167
73,20-Jul-17,152.56,152.57,145.61,147.03,18264081
74,19-Jul-17,152.55,154.0,152.55,153.3,2808385
75,18-Jul-17,153.75,153.86,151.98,152.17,3783567
76,17-Jul-17,152.90,154.5,152.72,153.89,4166618
77,14-Jul-17,153.22,153.67,151.82,152.88,3588437
78,13-Jul-17,152.82,154.13,152.60,153.29,3287961
79,12-Jul-17,151.46,153.14,151.09,152.59,4275878
80,11-Jul-17,151.45,151.81,150.50,150.6,5642013
81,10-Jul-17,152.22,152.26,151.00,151.18,5081101
82,7-Jul-17,152.04,152.87,151.90,152.23,3775383
83,6-Jul-17,151.77,152.48,151.22,152.05,3408538
