,Date,Open,High,Low,Close,Volume
0,1-Nov-17,139.83,140.59,139.34,139.98,5006771
1,31-Oct-17,140.02,140.26,138.98,139.41,4832136
2,30-Oct-17,141.08,141.21,139.32,140.0,6034336
3,27-Oct-17,141.00,142.7,140.20,141.78,5140654
4,26-Oct-17,142.51,143.75,141.38,141.81,5841067
5,25-Oct-17,141.16,143.23,140.96,142.36,6563580
6,24-Oct-17,143.38,143.38,140.93,141.64,6585767
7,23-Oct-17,142.13,144.35,142.08,143.62,6685964
8,20-Oct-17,142.38,143.62,141.83,142.4,5634523
9,19-Oct-17,140.71,142.98,140.54,142.04,9181291
10,18-Oct-17,140.79,141.58,140.07,140.68,6827734
11,17-Oct-17,137.67,141.12,137.06,140.79,11717348
12,16-Oct-17,136.45,137.26,135.54,136.12,5120140
13,13-Oct-17,136.60,137.42,136.34,136.43,4106625
14,12-Oct-17,136.34,137.52,136.02,136.83,5172806
15,11-Oct-17,134.88,136.39,134.37,136.04,1023583
16,10-Oct-17,133.56,134.13,132.92,133.9,4184588
17,9-Oct-17,133.66,133.82,133.17,133.45,3751097
18,6-Oct-17,133.00,133.25,132.48,133.22,2469506
19,5-Oct-17,132.89,133.31,132.36,133.19,3741108
20,4-Oct-17,132.40,133.18,132.10,132.89,3589047
21,3-Oct-17,131.65,132.4,131.36,132.1,3900761
22,2-Oct-17,130.16,131.33,130.02,131.22,4492936
23,29-Sep-17,129.58,130.47,129.05,130.01,5736925
24,28-Sep-17,129.91,130.27,129.29,129.47,3992740
25,27-Sep-17,131.00,131.09,129.43,129.75,5761051
26,26-Sep-17,131.50,131.94,130.82,130.94,4516193
27,25-Sep-17,131.47,131.76,130.83,131.17,6017418
28,22-Sep-17,131.99,132.39,131.27,131.39,4334862
29,21-Sep-17,133.31,133.82,131.38,131.75,6051811
30,20-Sep-17,133.25,134.29,132.34,133.22,8705535
31,19-Sep-17,135.02,135.79,134.35,135.22,4903837
32,18-Sep-17,134.44,135.77,134.11,135.38,5261593
33,15-Sep-17,134.79,135.45,134.18,134.45,15522011
34,14-Sep-17,132.14,134.47,131.99,134.18,6274510
35,13-Sep-17,132.67,133.75,131.85,132.45,4679486
36,12-Sep-17,133.83,133.88,131.93,132.63,5465190
37,11-Sep-17,131.37,133.34,131.02,133.21,5724233
38,8-Sep-17,132.00,132.34,130.87,130.98,4854414
39,7-Sep-17,130.86,132.52,130.25,132.19,3800234
40,6-Sep-17,130.54,131.0,130.21,130.67,5601903
41,5-Sep-17,130.72,131.18,129.72,129.9,5154935
42,1-Sep-17,132.60,132.65,130.94,131.03,3820814
43,31-Aug-17,131.39,132.5,131.25,132.37,7407143
44,30-Aug-17,132.00,132.0,130.90,131.07,5430781
45,29-Aug-17,131.57,132.45,131.30,132.21,3277875
46,28-Aug-17,131.68,132.12,131.49,131.74,5349181
47,25-Aug-17,131.91,132.56,131.62,131.68,4133347
48,24-Aug-17,132.82,133.08,132.27,132.89,5398432
49,23-Aug-17,134.43,134.49,132.65,132.8,5129938
50,22-Aug-17,133.27,134.79,132.90,134.7,4150284
51,21-Aug-17,132.28,133.65,132.19,133.45,4659993
52,18-Aug-17,132.67,133.78,132.38,132.63,4792761
53,17-Aug-17,134.18,134.74,133.03,133.04,5741389
54,16-Aug-17,134.08,134.97,133.86,134.17,4469937
55,15-Aug-17,133.85,133.94,133.20,133.38,3931763
56,14-Aug-17,134.20,134.37,132.87,133.48,3041064
57,11-Aug-17,133.64,134.49,132.75,133.1,4270571
58,10-Aug-17,133.04,133.85,132.37,133.09,5607853
59,9-Aug-17,132.81,133.41,132.36,133.23,6332347
60,8-Aug-17,132.50,132.8,131.40,132.27,5535804
