,Date,Open,High,Low,Close,Volume
0,1-Nov-17,101.10,101.7,100.73,100.92,8418239
1,31-Oct-17,101.37,101.7,100.57,100.61,8690197
2,30-Oct-17,101.13,101.93,100.87,101.41,8839456
3,27-Oct-17,101.43,102.23,101.05,101.77,10400446
4,26-Oct-17,101.35,102.42,101.32,101.74,13054361
5,25-Oct-17,101.25,101.45,100.19,101.02,14632741
6,24-Oct-17,99.88,101.19,99.76,100.92,13000801
7,23-Oct-17,99.51,99.99,99.24,99.34,9238624
8,20-Oct-17,99.28,99.89,98.73,99.51,15326608
9,19-Oct-17,97.19,98.2,97.09,98.11,9133863
10,18-Oct-17,98.15,98.55,97.63,97.99,10158626
11,17-Oct-17,98.07,98.18,97.32,97.62,10335687
12,16-Oct-17,96.34,97.95,96.34,97.84,12434009
13,13-Oct-17,95.48,96.71,94.96,95.86,13190576
14,12-Oct-17,97.30,97.5,95.62,95.99,18251616
15,11-Oct-17,96.83,96.91,96.22,96.26,1493431
16,10-Oct-17,96.46,97.18,96.24,97.13,10631527
17,9-Oct-17,96.96,97.07,96.14,96.41,7765100
18,6-Oct-17,97.55,97.64,96.47,96.92,10231853
19,5-Oct-17,96.00,97.4,95.55,97.09,14236219
20,4-Oct-17,97.30,97.44,96.28,96.36,12166633
21,3-Oct-17,96.83,97.43,96.77,97.35,9633452
22,2-Oct-17,95.77,96.88,95.46,96.84,13797213
23,29-Sep-17,95.30,95.52,95.02,95.51,11438412
24,28-Sep-17,95.59,95.88,94.91,95.38,10270398
25,27-Sep-17,94.97,95.72,94.58,95.18,14928264
26,26-Sep-17,93.78,94.03,93.34,93.7,9358111
27,25-Sep-17,94.51,94.88,93.45,94.12,10463432
28,22-Sep-17,94.70,94.98,94.43,94.83,8358310
29,21-Sep-17,94.46,95.37,94.19,95.03,10851489
30,20-Sep-17,94.10,95.29,93.71,94.6,15311581
31,19-Sep-17,92.71,94.36,92.52,93.94,12626131
32,18-Sep-17,91.93,93.14,91.85,92.92,11318699
33,15-Sep-17,91.08,91.71,90.76,91.62,18171794
34,14-Sep-17,91.20,91.53,90.74,90.97,10562826
35,13-Sep-17,90.61,91.5,90.32,91.15,12485428
36,12-Sep-17,90.17,91.25,90.10,90.89,14003776
37,11-Sep-17,89.39,90.25,88.95,89.79,13219047
38,8-Sep-17,88.31,89.42,88.24,88.42,14242198
39,7-Sep-17,90.11,90.13,88.08,88.53,14592255
40,6-Sep-17,90.00,90.52,89.64,90.11,11845663
41,5-Sep-17,91.02,91.1,89.02,89.51,17031549
42,1-Sep-17,91.25,92.36,90.95,91.7,9815834
43,31-Aug-17,91.81,91.85,90.80,90.89,13217404
44,30-Aug-17,91.25,91.88,91.19,91.31,9165342
45,29-Aug-17,90.45,91.31,90.31,91.1,10886082
46,28-Aug-17,92.16,92.19,91.13,91.6,7292915
47,25-Aug-17,91.88,92.48,91.80,91.89,11794644
48,24-Aug-17,91.93,92.12,91.41,91.52,8623165
49,23-Aug-17,90.87,92.34,90.84,91.67,8811292
50,22-Aug-17,91.07,91.71,91.00,91.56,9211781
51,21-Aug-17,90.85,90.94,90.16,90.63,11502065
52,18-Aug-17,90.31,91.54,90.19,90.74,13040738
53,17-Aug-17,91.76,91.96,90.50,90.65,13837463
54,16-Aug-17,93.04,93.23,91.88,92.09,11085401
55,15-Aug-17,93.31,93.56,92.65,92.73,8812720
56,14-Aug-17,92.37,92.9,92.33,92.49,10994793
57,11-Aug-17,92.13,92.67,91.24,91.42,10679534
58,10-Aug-17,92.90,93.07,92.07,92.19,13252269
59,9-Aug-17,92.98,93.68,92.83,93.53,11214440
60,8-Aug-17,93.95,95.22,93.60,93.68,13745401
61,7-Aug-17,93.89,94.19,93.71,94.02,7978339
62,4-Aug-17,93.50,94.4,93.47,93.66,14323999
63,3-Aug-17,92.70,93.13,92.24,92.5,11078804
