,Date,Open,High,Low,Close,Volume
0,1-Nov-17,45.75,46.09,45.63,45.8,7067635
1,31-Oct-17,45.92,46.17,45.84,45.98,6560545
2,30-Oct-17,46.00,46.07,45.82,45.86,7201867
3,27-Oct-17,46.13,46.33,45.91,46.07,9987969
4,26-Oct-17,46.32,46.75,46.22,46.23,10569064
5,25-Oct-17,46.37,46.76,45.93,46.05,11994174
6,24-Oct-17,46.26,46.29,45.95,46.18,9539484
7,23-Oct-17,46.38,46.65,46.23,46.32,7153607
8,20-Oct-17,46.58,46.59,46.28,46.38,9646790
9,19-Oct-17,46.37,46.79,46.32,46.59,7515545
10,18-Oct-17,46.41,46.54,46.24,46.4,6272155
11,17-Oct-17,46.53,46.63,46.31,46.52,7699367
12,16-Oct-17,46.12,46.75,46.1,46.62,12708563
13,13-Oct-17,46.25,46.38,46.15,46.18,7126020
14,12-Oct-17,45.98,46.14,45.94,46.11,7710216
15,11-Oct-17,45.88,46.10,45.87,46.05,599515
16,10-Oct-17,45.60,45.90,45.52,45.87,6310445
17,9-Oct-17,45.55,45.65,45.34,45.41,5268348
18,6-Oct-17,45.39,45.52,45.28,45.49,5437871
19,5-Oct-17,45.51,45.74,45.5,45.52,10215323
20,4-Oct-17,45.11,45.56,44.94,45.5,14060338
21,3-Oct-17,44.86,45.26,44.76,45.19,12038102
22,2-Oct-17,45.05,45.26,44.74,44.8,10707763
23,29-Sep-17,44.86,45.11,44.79,45.01,10082221
24,28-Sep-17,44.67,45.00,44.65,44.91,8789517
25,27-Sep-17,45.47,45.50,44.38,44.64,14642578
26,26-Sep-17,45.69,45.87,45.56,45.57,6480138
27,25-Sep-17,45.50,45.76,45.35,45.69,9215326
28,22-Sep-17,45.45,45.63,45.37,45.49,8024827
29,21-Sep-17,45.71,45.79,45.36,45.4,7555292
30,20-Sep-17,45.76,46.14,45.55,45.78,11026594
31,19-Sep-17,46.14,46.19,45.89,45.98,7297932
32,18-Sep-17,46.15,46.24,45.91,46.11,8535331
33,15-Sep-17,46.30,46.36,46.0,46.18,16141413
34,14-Sep-17,46.40,46.46,45.94,46.11,13768837
35,13-Sep-17,46.68,46.98,46.65,46.87,10217985
36,12-Sep-17,46.50,46.75,46.45,46.72,8567619
37,11-Sep-17,46.35,46.59,46.22,46.52,10430254
38,8-Sep-17,46.19,46.37,46.02,46.3,10534915
39,7-Sep-17,46.01,46.32,45.96,46.28,9418365
40,6-Sep-17,45.98,46.04,45.79,45.96,9238867
41,5-Sep-17,45.75,45.93,45.65,45.92,10463902
42,1-Sep-17,45.64,45.80,45.54,45.78,7391249
43,31-Aug-17,45.40,45.65,45.34,45.55,14264572
44,30-Aug-17,45.36,45.54,45.29,45.39,7134910
45,29-Aug-17,45.40,45.57,45.25,45.45,7762162
46,28-Aug-17,45.63,45.69,45.38,45.42,8024028
47,25-Aug-17,45.60,45.76,45.56,45.57,8807143
48,24-Aug-17,45.54,45.61,45.31,45.41,7534364
49,23-Aug-17,45.63,45.66,45.44,45.54,6528402
50,22-Aug-17,45.70,45.75,45.54,45.6,10536716
51,21-Aug-17,45.67,45.80,45.56,45.68,9429736
52,18-Aug-17,45.80,45.90,45.63,45.67,10879794
53,17-Aug-17,46.12,46.33,45.85,45.86,8476994
54,16-Aug-17,46.15,46.34,46.12,46.2,8087313
55,15-Aug-17,45.80,46.25,45.8,46.19,9638061
56,14-Aug-17,45.67,45.94,45.62,45.8,8421179
57,11-Aug-17,45.86,45.90,45.57,45.59,8357607
58,10-Aug-17,45.56,45.84,45.46,45.74,8901554
59,9-Aug-17,45.56,45.66,45.32,45.59,9635260
60,8-Aug-17,45.64,45.82,45.54,45.6,5747919
61,7-Aug-17,45.52,45.76,45.5,45.64,6226315
62,4-Aug-17,45.67,45.76,45.47,45.5,9523593
63,3-Aug-17,45.65,45.95,45.63,45.67,14261400
64,2-Aug-17,45.60,46.00,45.38,45.59,10187921
65,1-Aug-17,45.97,46.06,45.64,45.7,10306810
66,31-Jul-17,-,-,45.79,45.84,13622891
67,28-Jul-17,46.00,46.12,45.73,46.01,11945270
68,27-Jul-17,45.80,46.42,45.7,46.12,15195172
69,26-Jul-17,44.55,45.79,44.31,45.74,13608926
70,25-Jul-17,45.02,45.29,44.94,45.24,14096307
71,24-Jul-17,45.04,45.04,44.83,44.84,9103586
72,21-Jul-17,44.78,45.07,44.67,45.03,8545560
73,20-Jul-17,44.90,44.98,44.75,44.82,7430262
74,19-Jul-17,44.67,44.84,44.54,44.83,6986937
75,18-Jul-17,44.78,44.85,44.62,44.67,9037162
76,17-Jul-17,44.66,44.78,44.61,44.73,7189214
77,14-Jul-17,44.52,44.72,44.5,44.68,8558718
78,13-Jul-17,44.49,44.52,44.37,44.43,6371855
79,12-Jul-17,44.59,44.77,44.44,44.51,7737362
80,11-Jul-17,44.32,44.48,44.15,44.33,10300706
81,10-Jul-17,44.45,44.58,44.23,44.38,9671953
82,7-Jul-17,44.47,44.52,44.24,44.39,9566044
83,6-Jul-17,44.72,44.85,44.29,44.4,13113019
84,5-Jul-17,44.79,44.99,44.73,44.82,6853558
85,3-Jul-17,45.11,45.27,44.76,44.76,6434460
86,30-Jun-17,44.89,45.12,44.85,44.85,9352785
87,29-Jun-17,45.13,45.24,44.65,44.83,9283457
88,28-Jun-17,45.25,45.50,45.23,45.32,9218750
89,27-Jun-17,45.34,45.40,45.0,45.05,11432191
90,26-Jun-17,45.32,45.51,45.3,45.43,7747057
91,23-Jun-17,45.05,45.38,45.03,45.25,9544792
92,22-Jun-17,45.17,45.28,45.03,45.07,7446300
93,21-Jun-17,45.62,45.68,45.16,45.22,9515844
94,20-Jun-17,45.35,45.86,45.32,45.61,14920858
95,19-Jun-17,45.35,45.38,45.1,45.38,7624663
96,16-Jun-17,45.31,45.35,45.01,45.31,27025333
97,15-Jun-17,45.18,45.34,45.04,45.25,9908718
98,14-Jun-17,45.18,45.47,45.16,45.3,11497520
99,13-Jun-17,45.00,45.11,44.8,45.03,10023358
100,12-Jun-17,45.35,45.48,45.15,45.33,11228502
101,9-Jun-17,45.06,45.35,44.97,45.32,9358824
102,8-Jun-17,45.39,45.51,45.03,45.13,12878998
103,7-Jun-17,45.50,45.70,45.35,45.51,12776279
104,6-Jun-17,45.90,46.06,45.78,45.98,9836725
105,5-Jun-17,45.78,45.99,45.69,45.99,10015163
106,2-Jun-17,45.83,45.89,45.6,45.89,9923724
107,1-Jun-17,45.45,45.79,45.23,45.79,11049283
108,31-May-17,45.43,45.70,45.37,45.47,14148040
109,30-May-17,45.16,45.46,45.11,45.43,13093537
110,26-May-17,45.35,45.56,45.33,45.39,11341383
111,25-May-17,45.00,45.48,44.97,45.41,16704206
112,24-May-17,44.51,45.09,44.51,45.03,12872039
113,23-May-17,44.25,44.60,44.21,44.39,11996138
114,22-May-17,43.89,44.22,43.81,44.18,12857913
115,19-May-17,43.85,44.00,43.76,43.9,11796762
116,18-May-17,43.87,43.96,43.64,43.8,13832197
117,17-May-17,43.81,44.16,43.71,43.93,14538754
118,16-May-17,43.87,44.11,43.77,43.85,10454121
119,15-May-17,43.46,43.76,43.46,43.73,8493046
120,12-May-17,43.64,43.68,43.46,43.59,7275825
121,11-May-17,43.49,43.68,43.43,43.67,6860135
122,10-May-17,43.48,43.62,43.36,43.57,7597653
123,9-May-17,43.89,43.89,43.38,43.51,8694355
124,8-May-17,43.59,43.91,43.54,43.89,14284342
125,5-May-17,43.79,43.84,43.56,43.69,8133039
126,4-May-17,43.42,43.81,43.4,43.66,10193084
127,3-May-17,43.33,43.48,43.15,43.32,10389027
128,2-May-17,43.22,43.44,43.16,43.39,11823916
129,1-May-17,43.15,43.50,43.1,43.22,13208246
130,28-Apr-17,42.96,43.20,42.85,43.15,10337768
131,27-Apr-17,43.17,43.28,42.92,43.01,10386244
132,26-Apr-17,43.06,43.43,42.98,43.24,13626625
133,25-Apr-17,42.85,43.43,42.82,43.11,18745112
134,24-Apr-17,43.24,43.43,43.15,43.28,16703800
135,21-Apr-17,42.98,43.10,42.89,43.07,13833772
136,20-Apr-17,43.20,43.30,43.05,43.09,10838274
137,19-Apr-17,43.74,43.79,43.19,43.23,13893062
138,18-Apr-17,43.11,43.59,43.09,43.48,13181590
139,17-Apr-17,42.79,43.07,42.78,43.07,11318086
140,13-Apr-17,42.87,43.08,42.78,42.79,9891941
141,12-Apr-17,42.54,42.99,42.51,42.94,13417205
142,11-Apr-17,42.68,42.75,42.52,42.66,8909379
143,10-Apr-17,42.73,42.80,42.56,42.69,9426908
144,7-Apr-17,42.64,42.74,42.51,42.61,11028772
145,6-Apr-17,42.58,42.76,42.47,42.67,14597765
146,5-Apr-17,42.65,42.86,42.53,42.57,10142817
147,4-Apr-17,42.51,42.69,42.37,42.68,10946230
148,3-Apr-17,42.58,42.62,42.27,42.41,11240037
149,31-Mar-17,42.55,42.65,42.43,42.44,11551767
150,30-Mar-17,42.35,42.62,42.26,42.6,11999910
151,29-Mar-17,42.51,42.52,42.29,42.42,9580060
152,28-Mar-17,42.24,42.56,42.24,42.43,14123756
153,27-Mar-17,42.11,42.34,42.05,42.32,12387364
154,24-Mar-17,42.23,42.25,41.91,42.12,13804411
155,23-Mar-17,42.21,42.39,42.06,42.17,11503322
156,22-Mar-17,42.56,42.70,42.25,42.38,11605453
157,21-Mar-17,42.31,42.63,42.21,42.5,17187257
158,20-Mar-17,42.10,42.34,42.07,42.18,11484233
159,17-Mar-17,42.28,42.35,42.01,42.03,37526506
160,16-Mar-17,42.03,42.39,41.9,42.25,16004192
161,15-Mar-17,41.98,42.28,41.97,42.12,22757762
162,14-Mar-17,41.98,42.10,41.83,41.97,9844453
