,Date,Open,High,Low,Close,Volume
0,1-Nov-17,165.72,167.99,165.57,166.37,2186059
1,31-Oct-17,166.25,167.41,166.13,166.91,2873004
2,30-Oct-17,165.00,166.56,164.66,166.23,2050964
3,27-Oct-17,164.09,165.85,163.77,165.39,2298244
4,26-Oct-17,164.14,164.65,163.75,164.01,2934412
5,25-Oct-17,163.41,165.12,163.0,163.58,3716202
6,24-Oct-17,165.26,166.48,163.59,163.88,7855167
7,23-Oct-17,166.10,166.10,163.09,163.34,6214780
8,20-Oct-17,167.23,167.90,165.5,166.3,5577713
9,19-Oct-17,165.82,166.95,164.92,166.5,2478221
10,18-Oct-17,165.29,166.25,163.89,165.77,2798259
11,17-Oct-17,164.92,166.02,164.75,165.4,2379725
12,16-Oct-17,165.44,165.74,164.44,165.01,2133063
13,13-Oct-17,164.45,165.51,164.08,165.37,2957929
14,12-Oct-17,162.99,164.40,162.77,163.91,3023607
15,11-Oct-17,160.90,163.24,160.58,162.73,648618
16,10-Oct-17,159.69,161.58,159.59,160.58,2910445
17,9-Oct-17,159.61,160.49,159.5,160.12,2120035
18,6-Oct-17,158.58,160.13,158.58,159.6,3548478
19,5-Oct-17,157.30,158.92,157.3,158.8,2796033
20,4-Oct-17,156.83,157.42,156.65,157.21,1823061
21,3-Oct-17,156.75,157.46,156.36,156.86,2188429
22,2-Oct-17,156.00,157.18,155.8,156.96,2406969
23,29-Sep-17,157.51,158.04,156.12,156.68,3670057
24,28-Sep-17,156.16,158.31,155.48,157.49,4210238
25,27-Sep-17,153.51,154.69,153.44,154.05,3892677
26,26-Sep-17,156.25,156.84,153.27,153.35,6420043
27,25-Sep-17,158.47,158.69,156.1,156.26,3661538
28,22-Sep-17,158.88,159.74,158.56,158.91,2442658
29,21-Sep-17,159.87,160.09,158.51,159.03,2503437
30,20-Sep-17,157.90,159.89,157.76,159.88,3641093
31,19-Sep-17,157.27,157.90,156.33,157.43,3554601
32,18-Sep-17,157.72,157.79,156.35,156.68,3832243
33,15-Sep-17,157.79,158.00,156.88,156.92,7425112
34,14-Sep-17,157.00,157.35,156.05,157.0,3109655
35,13-Sep-17,156.74,157.78,156.0,157.0,4705601
36,12-Sep-17,160.21,160.72,155.77,156.33,10324140
37,11-Sep-17,160.00,161.72,159.92,161.53,2333557
38,8-Sep-17,159.53,160.38,159.18,159.71,2984223
39,7-Sep-17,158.47,160.06,158.33,159.9,2965378
40,6-Sep-17,159.23,159.37,158.22,158.22,4143348
41,5-Sep-17,159.00,159.78,158.07,159.1,4005591
42,1-Sep-17,159.87,160.20,159.5,159.81,1878291
43,31-Aug-17,159.77,160.00,159.35,159.97,2717014
44,30-Aug-17,158.40,159.64,158.32,159.53,2236471
45,29-Aug-17,159.20,159.76,158.73,159.38,3283371
46,28-Aug-17,159.04,159.96,158.66,159.67,2027283
47,25-Aug-17,158.89,159.34,158.53,158.82,2019582
48,24-Aug-17,159.11,159.68,158.33,158.41,1634784
49,23-Aug-17,159.30,159.37,158.38,158.81,2190674
50,22-Aug-17,158.50,159.94,158.39,159.64,2122581
51,21-Aug-17,158.17,158.64,157.54,158.36,2195074
52,18-Aug-17,157.99,158.28,157.02,157.76,2595695
53,17-Aug-17,158.75,159.53,157.81,157.89,3071602
54,16-Aug-17,157.89,159.38,157.6,158.9,2921762
55,15-Aug-17,157.84,158.58,157.34,157.62,2160072
56,14-Aug-17,157.45,157.90,156.46,157.26,2809051
57,11-Aug-17,156.88,158.40,156.63,157.3,2925044
58,10-Aug-17,154.33,157.20,154.25,156.62,3874541
59,9-Aug-17,155.30,155.68,154.35,154.92,3006466
60,8-Aug-17,154.67,155.24,154.1,154.92,4234291
61,7-Aug-17,154.14,155.39,154.0,154.97,3252104
62,4-Aug-17,154.61,154.82,153.23,153.82,4435402
63,3-Aug-17,156.56,156.77,154.41,154.72,3666110
64,2-Aug-17,153.76,156.65,153.71,156.59,3325986
65,1-Aug-17,154.98,155.90,153.71,154.04,4185050
66,31-Jul-17,-,-,154.85,155.14,4280364
67,28-Jul-17,156.36,156.66,155.07,155.85,3964456
68,27-Jul-17,156.42,157.43,155.54,156.95,4624114
69,26-Jul-17,158.76,159.00,155.68,156.51,4678963
70,25-Jul-17,157.75,159.98,156.54,159.07,9511383
71,24-Jul-17,154.00,154.22,151.77,151.85,5307438
72,21-Jul-17,154.06,154.70,153.29,153.92,3522350
73,20-Jul-17,154.03,155.22,153.55,154.21,2240178
74,19-Jul-17,154.13,154.46,153.48,153.89,3072177
75,18-Jul-17,155.00,155.27,153.37,153.96,3890738
76,17-Jul-17,155.43,155.44,154.7,155.26,2408743
77,14-Jul-17,154.99,155.50,154.73,155.28,2440151
78,13-Jul-17,156.49,156.54,154.34,155.04,3169726
79,12-Jul-17,155.41,156.75,155.27,156.58,2094889
80,11-Jul-17,155.09,155.88,154.01,154.91,2008830
81,10-Jul-17,156.28,156.53,155.16,155.52,2402682
82,7-Jul-17,153.37,156.56,153.15,156.27,4117750
83,6-Jul-17,152.70,153.46,152.33,153.09,2019798
84,5-Jul-17,152.82,153.57,151.99,153.07,2497334
85,3-Jul-17,153.44,153.87,152.48,152.5,1100668
86,30-Jun-17,153.30,153.77,152.72,153.16,2508213
87,29-Jun-17,154.58,154.58,152.15,153.13,1975891
88,28-Jun-17,154.04,154.68,153.74,154.3,1302825
89,27-Jun-17,154.00,154.82,153.46,153.72,2139026
90,26-Jun-17,155.18,155.46,153.52,153.96,2360865
91,23-Jun-17,155.00,155.45,154.43,154.64,2214734
92,22-Jun-17,153.78,154.91,153.68,154.8,2003838
93,21-Jun-17,154.18,154.42,153.61,153.73,2448456
94,20-Jun-17,154.27,155.28,153.84,154.07,3614426
95,19-Jun-17,152.39,153.18,151.84,153.14,3263818
96,16-Jun-17,150.98,152.89,150.92,151.99,5443905
97,15-Jun-17,149.90,151.52,149.65,151.17,2517538
98,14-Jun-17,150.32,151.08,149.91,150.68,2675487
99,13-Jun-17,148.86,150.25,148.62,149.82,4267682
100,12-Jun-17,151.00,151.08,148.04,148.47,5902610
101,9-Jun-17,151.88,152.00,150.9,151.48,4143139
102,8-Jun-17,152.00,152.15,151.01,151.43,3709866
103,7-Jun-17,151.23,152.01,150.73,151.94,2922873
104,6-Jun-17,152.37,152.59,151.21,151.23,3661935
105,5-Jun-17,153.63,153.66,152.76,152.79,2633659
106,2-Jun-17,152.52,153.90,152.15,153.74,4316652
107,1-Jun-17,150.79,152.39,150.35,152.39,4349787
108,31-May-17,150.12,151.14,149.6,150.89,6415744
109,30-May-17,149.95,150.33,149.52,149.93,3113940
110,26-May-17,149.87,150.24,149.25,149.86,3258239
111,25-May-17,149.81,149.95,149.27,149.78,3408113
112,24-May-17,147.94,149.99,147.0,149.5,3390450
113,23-May-17,148.22,148.53,147.65,147.82,3262308
114,22-May-17,148.30,148.88,147.93,148.19,3294675
115,19-May-17,147.25,148.83,146.84,148.15,4071176
116,18-May-17,146.41,147.24,145.81,147.01,2730870
117,17-May-17,146.64,147.46,146.24,146.41,3875597
118,16-May-17,146.55,147.67,146.28,147.29,3540887
119,15-May-17,145.43,146.40,145.43,146.28,3332792
120,12-May-17,144.50,145.50,144.46,145.36,2747921
121,11-May-17,144.08,144.40,143.4,144.21,1941939
122,10-May-17,143.86,144.64,143.73,144.52,2273313
123,9-May-17,144.09,144.98,144.0,144.36,3053786
124,8-May-17,143.93,144.50,143.66,144.24,2813463
125,5-May-17,143.42,143.98,142.58,143.96,2452736
126,4-May-17,142.62,143.67,142.26,143.45,4178808
127,3-May-17,142.20,142.70,141.4,142.62,4278614
128,2-May-17,140.98,141.81,140.72,141.23,3774136
129,1-May-17,139.86,141.45,139.84,141.15,3747202
130,28-Apr-17,140.39,140.76,139.78,139.93,4779887
131,27-Apr-17,141.88,142.79,140.85,140.87,5183662
132,26-Apr-17,141.70,142.00,140.34,140.84,7132234
133,25-Apr-17,138.14,141.99,137.18,141.7,10893766
134,24-Apr-17,134.24,134.76,133.26,134.23,5040990
135,21-Apr-17,133.55,133.88,133.15,133.41,3466098
136,20-Apr-17,132.65,133.44,132.64,133.27,2697250
137,19-Apr-17,132.64,133.00,132.34,132.64,3132760
138,18-Apr-17,132.01,132.80,131.8,132.3,3617373
139,17-Apr-17,131.25,131.87,130.91,131.35,3236373
140,13-Apr-17,131.00,131.14,130.57,130.76,2429242
141,12-Apr-17,131.31,131.56,130.87,131.26,3195534
142,11-Apr-17,130.62,131.24,129.8,131.2,3677631
143,10-Apr-17,129.95,130.65,129.52,129.98,2709287
144,7-Apr-17,130.02,130.40,129.62,129.96,2176598
145,6-Apr-17,130.31,130.66,129.96,130.15,3857127
146,5-Apr-17,129.89,131.58,129.65,130.41,4052194
147,4-Apr-17,129.14,129.53,128.65,129.29,3413965
148,3-Apr-17,129.50,129.71,128.86,129.61,3287117
149,31-Mar-17,129.39,130.19,129.3,129.61,3041677
150,30-Mar-17,128.75,129.53,128.6,129.32,2018028
151,29-Mar-17,129.00,129.67,128.63,128.84,3197762
152,28-Mar-17,129.46,129.77,128.94,129.45,3487426
153,27-Mar-17,129.08,129.82,129.02,129.49,2540421
154,24-Mar-17,129.38,129.68,129.16,129.34,3568234
155,23-Mar-17,129.14,129.59,128.81,129.0,2774527
156,22-Mar-17,128.58,129.15,128.41,129.1,3174246
157,21-Mar-17,129.22,129.75,128.18,128.52,4062394
158,20-Mar-17,128.99,129.48,128.47,128.78,3415501
159,17-Mar-17,128.57,129.98,128.42,128.64,12532692
160,16-Mar-17,128.30,128.90,127.93,127.98,3945669
161,15-Mar-17,128.21,128.30,127.47,127.88,3529288
162,14-Mar-17,127.65,128.23,127.5,127.8,2492670
163,13-Mar-17,128.01,128.27,127.35,127.61,3130804
164,10-Mar-17,128.56,128.59,127.72,127.98,3178943
165,9-Mar-17,127.95,128.72,127.69,128.14,3266027
166,8-Mar-17,128.07,128.36,127.47,128.09,3571805
167,7-Mar-17,128.06,128.31,127.34,128.07,3332350
168,6-Mar-17,127.90,128.34,127.4,128.03,3271529
169,3-Mar-17,128.19,128.66,127.44,127.9,4071613
170,2-Mar-17,129.05,129.81,128.15,128.23,6738068
171,1-Mar-17,128.02,130.00,127.62,129.05,5471550
172,28-Feb-17,127.08,127.93,126.58,127.65,4619284
173,27-Feb-17,127.68,127.75,126.78,126.99,5184016
174,24-Feb-17,128.36,128.74,127.75,128.65,3537175
175,23-Feb-17,127.93,128.90,127.44,128.27,3177951
176,22-Feb-17,127.52,128.11,126.4,127.85,3670720
177,21-Feb-17,127.16,128.32,127.16,128.04,4495173
178,17-Feb-17,126.78,127.88,126.68,127.8,3677392
179,16-Feb-17,126.75,127.82,126.31,126.7,3006011
180,15-Feb-17,125.66,126.79,125.45,126.48,2974932
181,14-Feb-17,125.50,126.07,125.27,125.81,2663089
182,13-Feb-17,126.02,126.68,125.49,125.54,2993779
183,10-Feb-17,124.68,126.11,124.52,125.82,3681436
184,9-Feb-17,124.47,125.00,124.36,124.48,2493605
185,8-Feb-17,124.58,125.36,124.49,124.67,2835161
186,7-Feb-17,124.95,125.42,124.59,124.59,2847175
187,6-Feb-17,124.09,124.90,123.95,124.45,2760306
188,3-Feb-17,123.31,124.51,123.28,124.24,3183438
189,2-Feb-17,122.54,123.98,122.26,123.22,3236564
190,1-Feb-17,121.90,122.50,121.7,122.42,3233576
191,31-Jan-17,123.02,123.34,122.1,122.57,3733323
192,30-Jan-17,122.81,123.21,122.3,123.02,3777994
193,27-Jan-17,122.27,122.99,121.48,122.86,3592676
194,26-Jan-17,121.86,122.38,121.76,121.88,2497470
195,25-Jan-17,121.49,121.92,120.95,121.79,3968263
196,24-Jan-17,121.97,122.06,120.52,121.05,3495211
197,23-Jan-17,121.69,122.08,119.82,121.38,7022556
198,20-Jan-17,122.26,122.95,122.02,122.26,4887114
199,19-Jan-17,122.24,123.00,122.04,122.18,3155158
200,18-Jan-17,122.81,123.00,121.8,122.71,3395003
201,17-Jan-17,120.75,122.80,120.7,122.75,4077567
202,13-Jan-17,122.24,122.24,121.1,121.5,2877498
203,12-Jan-17,120.30,122.31,120.2,122.1,3480802
204,11-Jan-17,120.93,121.50,120.62,120.88,3565185
205,10-Jan-17,120.46,120.85,119.73,120.25,3108394
206,9-Jan-17,120.76,121.06,120.33,120.43,3021844
207,6-Jan-17,118.93,121.50,118.52,120.76,4089186
208,5-Jan-17,119.34,120.20,119.1,119.7,4261070
209,4-Jan-17,119.00,119.74,118.18,119.48,3780783
210,3-Jan-17,121.86,122.00,118.96,119.62,5123752
211,30-Dec-16,122.79,123.16,121.44,121.72,3574609
212,29-Dec-16,122.76,123.36,122.76,122.79,1943461
213,28-Dec-16,122.93,123.35,122.61,122.68,1980189
214,27-Dec-16,123.30,123.65,122.97,123.07,1919649
215,23-Dec-16,123.37,123.83,123.07,123.14,2164391
216,22-Dec-16,123.12,124.00,123.09,123.72,3037126
217,21-Dec-16,123.15,123.76,123.1,123.18,2762883
218,20-Dec-16,123.18,123.90,122.71,123.33,2768822
219,19-Dec-16,123.23,123.66,122.77,122.99,3545487
220,16-Dec-16,122.89,123.84,122.54,123.24,10793788
221,15-Dec-16,122.97,123.36,121.77,122.36,4402760
222,14-Dec-16,122.87,123.40,122.39,122.84,4967405
223,13-Dec-16,121.78,122.92,121.76,122.68,4307966
224,12-Dec-16,121.57,122.25,121.26,121.74,4172434
225,9-Dec-16,120.57,121.27,120.21,121.26,2623713
226,8-Dec-16,120.05,121.15,119.5,120.45,3255709
227,7-Dec-16,119.41,120.13,118.46,119.92,4059907
228,6-Dec-16,119.29,119.65,118.6,119.25,3367984
229,5-Dec-16,119.45,120.34,119.03,119.29,5191935
230,2-Dec-16,118.00,118.50,117.71,118.24,3348723
231,1-Dec-16,118.96,118.96,117.87,118.47,4444978
232,30-Nov-16,120.22,120.49,119.27,119.27,5696096
233,29-Nov-16,120.38,120.79,119.02,120.68,6370935
234,28-Nov-16,120.38,121.87,120.23,121.82,5931717
235,25-Nov-16,120.08,120.99,119.92,120.66,1709105
236,23-Nov-16,119.73,120.76,119.73,120.14,2872059
237,22-Nov-16,119.50,120.29,118.88,119.69,3699103
238,21-Nov-16,119.80,120.50,118.96,119.5,3603269
239,18-Nov-16,119.26,120.24,118.91,120.0,3655358
240,17-Nov-16,118.89,119.50,118.28,119.45,2833579
241,16-Nov-16,118.86,119.60,118.46,119.21,5371085
242,15-Nov-16,117.58,118.48,117.02,118.32,4447865
243,14-Nov-16,114.99,118.75,114.72,117.86,7093249
244,11-Nov-16,114.67,114.96,114.17,114.22,4331192
245,10-Nov-16,115.03,115.04,113.78,114.51,4437714
246,9-Nov-16,112.09,115.42,111.8,114.98,5099493
247,8-Nov-16,113.01,114.25,113.0,114.11,3300157
248,7-Nov-16,112.00,113.28,111.88,112.82,3842380
249,4-Nov-16,111.99,112.00,110.83,111.04,3457385
