,Date,Open,High,Low,Close,Volume
0,1-Nov-17,231.00,231.76,229.11,230.18,1389916
1,31-Oct-17,231.38,231.6,229.81,230.19,1908157
2,30-Oct-17,233.66,233.66,230.64,231.02,2722556
3,27-Oct-17,234.23,234.95,232.55,234.74,2000365
4,26-Oct-17,238.26,238.8,232.31,232.94,3384956
5,25-Oct-17,235.01,237.94,233.94,237.68,4114532
6,24-Oct-17,229.00,238.9,228.99,234.65,6508396
7,23-Oct-17,221.76,222.78,221.20,221.55,2161339
8,20-Oct-17,219.95,221.32,219.19,221.32,1647816
9,19-Oct-17,218.49,219.25,217.47,219.24,1369000
10,18-Oct-17,217.52,218.64,217.37,218.27,1413913
11,17-Oct-17,218.49,218.72,216.47,217.75,2150810
12,16-Oct-17,217.70,218.73,217.20,218.72,1185228
13,13-Oct-17,218.83,219.76,216.80,217.72,1461703
14,12-Oct-17,216.60,217.64,216.29,217.59,1907960
15,11-Oct-17,216.75,216.86,216.30,216.32,87083
16,10-Oct-17,217.38,217.6,216.55,216.75,1171324
17,9-Oct-17,215.96,217.21,215.69,216.68,1054620
18,6-Oct-17,216.00,216.54,215.27,216.52,1650834
19,5-Oct-17,216.49,217.61,215.90,216.37,1740484
20,4-Oct-17,214.85,216.94,214.50,216.52,1636447
21,3-Oct-17,212.62,214.6,211.38,214.57,1634888
22,2-Oct-17,210.73,212.79,210.03,212.76,1292105
23,29-Sep-17,209.06,209.9,208.73,209.9,1632249
24,28-Sep-17,208.30,209.88,208.25,209.55,2092803
25,27-Sep-17,211.09,211.38,208.16,209.48,1841463
26,26-Sep-17,211.26,212.83,210.93,211.03,1224628
27,25-Sep-17,210.98,211.22,209.37,210.73,1609155
28,22-Sep-17,209.64,211.3,209.28,210.76,1493283
29,21-Sep-17,210.90,211.62,210.24,210.44,1382444
30,20-Sep-17,211.77,212.6,208.31,210.51,2987210
31,19-Sep-17,214.23,214.65,212.85,213.56,1429651
32,18-Sep-17,214.00,214.04,212.57,213.76,1272436
33,15-Sep-17,212.59,214.12,210.66,213.35,3636437
34,14-Sep-17,209.15,211.91,208.74,211.43,1984226
35,13-Sep-17,209.12,210.29,208.57,209.49,1129646
36,12-Sep-17,209.91,210.96,209.26,209.64,1441453
37,11-Sep-17,206.46,209.78,206.09,209.56,1806743
38,8-Sep-17,204.35,206.12,203.16,205.69,1473989
39,7-Sep-17,201.47,204.71,201.47,204.46,1701542
40,6-Sep-17,201.75,202.25,201.24,202.05,2236180
41,5-Sep-17,202.25,202.53,200.51,200.98,1936090
42,1-Sep-17,204.61,204.91,203.23,203.56,1413014
43,31-Aug-17,204.32,204.62,203.02,204.32,1567911
44,30-Aug-17,202.92,203.69,202.00,203.69,1196205
45,29-Aug-17,202.20,203.08,201.33,202.92,991291
