,Date,Open,High,Low,Close,Volume
0,1-Nov-17,55.54,55.80,55.28,55.34,16418356
1,31-Oct-17,55.17,55.79,55.03,55.09,18429170
2,30-Oct-17,55.75,56.05,54.41,54.71,38989448
3,27-Oct-17,60.55,60.55,57.82,58.24,29561260
4,26-Oct-17,62.29,62.69,61.8,61.99,10744312
5,25-Oct-17,63.10,63.12,62.33,62.45,11016700
6,24-Oct-17,63.31,63.31,62.36,63.11,10221095
7,23-Oct-17,64.03,64.52,63.3,63.4,11582013
8,20-Oct-17,63.85,63.99,63.57,63.88,10304201
9,19-Oct-17,63.64,64.03,63.59,63.75,10071235
10,18-Oct-17,64.09,64.11,63.41,63.51,7886855
11,17-Oct-17,63.21,63.31,62.88,63.22,7028492
12,16-Oct-17,63.49,63.73,63.26,63.34,7449197
13,13-Oct-17,63.95,64.16,63.38,63.39,7341381
14,12-Oct-17,63.79,63.98,63.56,63.83,6158543
15,11-Oct-17,64.34,64.34,63.93,63.93,639308
16,10-Oct-17,64.31,64.48,64.2,64.46,4921049
17,9-Oct-17,64.67,64.74,64.12,64.33,5451299
18,6-Oct-17,64.70,64.90,64.37,64.55,7488442
19,5-Oct-17,64.42,64.80,64.33,64.6,9150023
20,4-Oct-17,64.42,64.62,64.33,64.6,6414724
21,3-Oct-17,64.55,64.58,63.78,64.37,6507064
22,2-Oct-17,64.21,64.68,63.89,64.55,6743391
23,29-Sep-17,64.29,64.53,63.33,64.03,11449603
24,28-Sep-17,64.27,64.66,64.17,64.29,7022769
25,27-Sep-17,64.68,64.75,64.32,64.57,6644554
26,26-Sep-17,65.10,65.32,64.72,64.76,6976185
27,25-Sep-17,65.16,65.40,65.04,65.18,5573399
28,22-Sep-17,65.63,65.70,65.06,65.13,7465921
29,21-Sep-17,65.85,65.93,65.52,65.6,5968693
30,20-Sep-17,66.07,66.31,65.19,65.79,9450016
31,19-Sep-17,66.02,66.16,65.68,65.95,7009284
32,18-Sep-17,66.02,66.41,65.8,65.99,10543216
33,15-Sep-17,66.17,66.38,65.75,66.16,14685767
34,14-Sep-17,64.99,66.17,64.91,66.12,9959122
35,13-Sep-17,65.36,65.55,65.3,65.45,5628692
36,12-Sep-17,65.12,65.62,65.12,65.46,7354151
37,11-Sep-17,64.94,65.31,64.68,65.13,10291625
38,8-Sep-17,63.99,64.53,63.94,64.27,7365817
39,7-Sep-17,64.09,64.42,63.78,64.32,6856376
40,6-Sep-17,63.89,64.33,63.76,64.0,7148699
41,5-Sep-17,63.75,64.12,63.46,63.62,8140442
42,1-Sep-17,63.79,64.10,63.6,63.83,6185056
43,31-Aug-17,63.35,63.92,62.95,63.86,12902957
44,30-Aug-17,63.14,63.17,62.9,63.12,5022455
45,29-Aug-17,63.13,63.21,62.72,63.12,6564714
46,28-Aug-17,63.11,63.46,62.98,63.32,7498151
47,25-Aug-17,62.87,63.29,62.77,62.94,5274946
48,24-Aug-17,62.25,62.91,62.19,62.71,7750055
49,23-Aug-17,62.25,62.60,62.15,62.15,6434881
50,22-Aug-17,61.97,62.50,61.92,62.42,5515238
51,21-Aug-17,61.48,62.04,61.43,61.97,7197199
52,18-Aug-17,61.77,61.82,61.16,61.49,8421689
53,17-Aug-17,62.75,63.02,61.81,61.84,9150116
54,16-Aug-17,62.43,62.93,62.33,62.7,6061224
55,15-Aug-17,62.73,63.03,62.49,62.5,6316031
56,14-Aug-17,62.91,63.00,62.59,62.67,5507513
57,11-Aug-17,62.42,62.96,62.26,62.38,6050985
58,10-Aug-17,62.37,62.58,62.17,62.18,7765079
59,9-Aug-17,62.45,62.72,62.22,62.49,6552276
60,8-Aug-17,62.54,62.72,62.2,62.32,7680067
61,7-Aug-17,62.95,63.09,62.66,62.84,6696792
62,4-Aug-17,63.63,63.69,62.94,63.1,5340999
63,3-Aug-17,63.21,63.73,63.18,63.52,7018782
64,2-Aug-17,63.95,63.96,63.17,63.44,7034926
65,1-Aug-17,64.04,64.27,63.77,63.92,6490905
66,31-Jul-17,-,-,63.51,63.88,11714888
67,28-Jul-17,63.81,64.36,63.22,64.11,13342135
68,27-Jul-17,63.67,64.55,62.8,63.69,21846256
69,26-Jul-17,62.31,62.34,61.72,61.8,9366722
70,25-Jul-17,62.85,63.00,62.25,62.36,5955856
71,24-Jul-17,62.54,62.90,62.5,62.57,7783692
72,21-Jul-17,62.79,63.00,62.58,62.63,6906447
73,20-Jul-17,62.91,63.24,62.86,62.94,6655095
74,19-Jul-17,62.50,62.83,62.44,62.62,5699122
75,18-Jul-17,62.50,62.63,62.27,62.41,6114947
76,17-Jul-17,63.15,63.31,62.53,62.61,7387313
77,14-Jul-17,62.93,63.40,62.86,63.06,6020850
78,13-Jul-17,62.79,62.99,62.28,62.89,6799150
79,12-Jul-17,62.66,63.13,62.66,62.78,8216033
80,11-Jul-17,62.82,62.98,62.24,62.34,6877466
81,10-Jul-17,63.39,63.40,62.61,62.83,6713784
82,7-Jul-17,63.21,63.34,62.81,63.16,7243397
83,6-Jul-17,63.77,63.91,62.99,63.1,11342702
84,5-Jul-17,64.47,64.80,63.92,64.16,6507846
85,3-Jul-17,63.85,64.63,63.85,64.27,4671419
86,30-Jun-17,64.49,64.73,64.0,64.09,8360924
87,29-Jun-17,65.01,65.08,64.09,64.34,8350313
88,28-Jun-17,65.76,65.90,65.14,65.16,6733271
89,27-Jun-17,66.27,66.27,65.54,65.54,8121576
90,26-Jun-17,66.15,66.40,65.83,65.92,7576421
91,23-Jun-17,66.04,66.39,65.84,66.16,14093453
92,22-Jun-17,65.51,66.37,65.38,66.02,13441913
93,21-Jun-17,64.56,65.60,64.56,65.46,11145029
94,20-Jun-17,63.68,64.96,63.58,64.53,10263025
95,19-Jun-17,63.09,63.81,63.02,63.68,8426878
96,16-Jun-17,63.26,63.71,62.69,62.97,14901997
97,15-Jun-17,63.30,63.44,62.88,63.19,7866847
98,14-Jun-17,63.02,63.64,63.02,63.37,10338550
99,13-Jun-17,63.73,63.84,63.03,63.27,12052983
100,12-Jun-17,64.56,64.68,64.2,64.39,9400261
101,9-Jun-17,63.20,64.44,63.14,64.39,10750366
102,8-Jun-17,64.24,64.25,62.83,63.2,18521968
103,7-Jun-17,64.60,64.65,64.0,64.06,7606580
104,6-Jun-17,65.00,65.04,64.46,64.67,7841776
105,5-Jun-17,65.35,65.39,64.7,65.07,5968507
106,2-Jun-17,65.46,65.58,65.18,65.47,6298590
107,1-Jun-17,65.09,65.26,64.86,65.26,7560489
108,31-May-17,65.08,65.48,65.03,65.11,7788252
109,30-May-17,64.72,65.14,64.53,64.88,4885561
110,26-May-17,65.00,65.20,64.82,64.92,3685720
111,25-May-17,64.96,65.12,64.66,65.04,7095873
112,24-May-17,64.77,65.20,64.54,64.93,7072657
113,23-May-17,64.00,64.59,64.0,64.55,5734591
114,22-May-17,63.70,64.44,63.57,64.04,6226549
115,19-May-17,64.04,64.04,63.5,63.78,9293703
116,18-May-17,62.91,64.50,62.91,63.89,11954482
117,17-May-17,63.38,63.58,62.88,63.0,7916901
118,16-May-17,63.44,63.87,63.14,63.79,7870677
119,15-May-17,63.42,63.60,63.34,63.51,8311365
120,12-May-17,64.39,64.67,63.27,63.57,10342133
121,11-May-17,64.75,65.25,64.3,64.43,18515949
122,10-May-17,63.13,63.95,63.09,63.94,9631802
123,9-May-17,64.18,64.26,63.16,63.29,10222316
124,8-May-17,63.91,64.51,63.83,64.01,11149510
125,5-May-17,63.50,64.09,63.43,63.97,9346554
126,4-May-17,63.67,63.89,63.22,63.38,8609968
127,3-May-17,62.50,63.67,62.38,63.63,11429793
128,2-May-17,62.51,63.24,62.31,62.7,13022511
129,1-May-17,62.25,62.50,62.1,62.38,10217078
130,28-Apr-17,62.58,62.65,62.14,62.33,9461664
131,27-Apr-17,62.78,62.91,62.45,62.58,6600829
132,26-Apr-17,62.63,62.88,62.43,62.7,8859276
133,25-Apr-17,62.49,62.93,62.25,62.3,10691839
134,24-Apr-17,62.50,62.52,62.02,62.14,8846263
135,21-Apr-17,62.36,62.63,61.87,61.89,10498395
136,20-Apr-17,62.66,62.75,62.25,62.55,8962257
137,19-Apr-17,62.26,62.64,62.0,62.64,10349052
138,18-Apr-17,62.46,62.46,61.99,62.27,7394709
139,17-Apr-17,62.71,62.84,62.39,62.8,5334438
140,13-Apr-17,62.79,63.00,62.56,62.61,5932538
141,12-Apr-17,62.37,63.21,62.28,63.05,9509164
142,11-Apr-17,62.49,62.76,62.18,62.58,6544754
143,10-Apr-17,63.27,63.33,62.53,62.55,7247668
144,7-Apr-17,63.28,63.33,62.94,63.13,7721053
145,6-Apr-17,63.48,63.97,63.19,63.24,7552664
146,5-Apr-17,63.69,64.15,63.51,63.57,7713310
147,4-Apr-17,63.59,63.76,63.37,63.67,6345621
148,3-Apr-17,63.43,63.71,63.22,63.47,6643587
149,31-Mar-17,63.26,63.63,63.25,63.54,7614025
150,30-Mar-17,63.50,63.68,63.32,63.45,5321972
151,29-Mar-17,63.67,64.10,63.46,63.64,8135333
152,28-Mar-17,63.20,63.40,62.88,63.34,10184989
153,27-Mar-17,62.92,63.41,62.81,63.19,8015894
154,24-Mar-17,63.16,63.53,62.86,63.18,9136531
155,23-Mar-17,63.36,63.82,63.19,63.28,9461008
156,22-Mar-17,63.98,64.11,63.25,63.5,9549029
157,21-Mar-17,64.32,64.60,63.62,63.91,10550684
158,20-Mar-17,64.14,64.30,64.0,64.11,12971169
159,17-Mar-17,64.25,64.70,63.89,63.9,14449174
160,16-Mar-17,64.57,64.79,63.99,64.18,9613228
161,15-Mar-17,64.40,64.97,64.22,64.7,9024954
162,14-Mar-17,64.13,64.51,64.05,64.2,7893626
163,13-Mar-17,65.24,65.29,64.01,64.15,14198551
164,10-Mar-17,66.07,66.20,65.5,65.6,8823905
165,9-Mar-17,65.97,66.03,65.52,65.89,7735152
166,8-Mar-17,65.96,66.12,65.27,65.8,8418318
167,7-Mar-17,65.43,66.31,65.19,65.96,8328744
168,6-Mar-17,66.08,66.78,65.9,66.47,8687456
169,3-Mar-17,65.86,66.62,65.81,66.58,8322960
170,2-Mar-17,66.38,66.58,66.0,66.08,8647730
171,1-Mar-17,66.07,66.80,65.89,66.21,10680729
172,28-Feb-17,65.81,66.15,65.65,65.87,7740472
173,27-Feb-17,65.78,65.94,65.56,65.85,7134489
174,24-Feb-17,65.65,66.16,65.63,66.16,8444253
175,23-Feb-17,65.52,66.11,65.34,65.85,6855571
176,22-Feb-17,65.50,65.75,65.09,65.29,8679633
177,21-Feb-17,64.90,65.78,64.9,65.48,7386072
178,17-Feb-17,65.20,65.56,64.86,65.39,9048256
179,16-Feb-17,65.14,65.41,64.46,65.26,12346265
180,15-Feb-17,64.90,65.87,64.85,65.16,17807287
181,14-Feb-17,64.64,65.72,64.43,65.66,10142722
182,13-Feb-17,64.25,64.83,64.22,64.77,7151139
183,10-Feb-17,64.32,64.57,63.96,64.15,8531370
184,9-Feb-17,64.34,64.82,64.3,64.39,7052880
185,8-Feb-17,63.90,64.48,63.83,64.32,5906828
186,7-Feb-17,64.76,64.93,64.05,64.2,8435269
187,6-Feb-17,63.92,64.95,63.9,64.94,9158767
188,3-Feb-17,63.86,64.33,63.27,64.29,11650528
189,2-Feb-17,62.64,64.21,62.53,64.18,18990180
190,1-Feb-17,62.06,62.27,61.56,62.1,11018765
191,31-Jan-17,61.06,62.24,60.92,61.99,9821054
192,30-Jan-17,61.52,61.71,60.92,61.43,7853564
193,27-Jan-17,61.38,61.99,61.3,61.75,6653211
194,26-Jan-17,61.02,61.36,60.54,61.2,12707468
195,25-Jan-17,61.32,61.38,60.76,61.08,14556969
196,24-Jan-17,61.59,61.69,60.73,61.21,10487452
197,23-Jan-17,61.81,62.40,61.63,61.81,10201696
198,20-Jan-17,62.40,62.92,62.15,62.53,25240347
199,19-Jan-17,61.05,61.08,60.07,60.33,11397928
200,18-Jan-17,61.38,61.78,61.08,61.17,8131662
201,17-Jan-17,61.92,62.07,61.2,61.48,10592686
202,13-Jan-17,62.33,62.68,62.1,62.34,9969105
203,12-Jan-17,62.53,63.24,62.12,62.21,24885363
204,11-Jan-17,62.34,63.16,60.75,61.63,32711722
205,10-Jan-17,61.20,61.24,59.89,59.92,15302218
206,9-Jan-17,60.30,61.48,60.08,61.1,9734637
207,6-Jan-17,60.09,60.46,59.53,60.27,10238738
