,Date,Open,High,Low,Close,Volume
0,1-Nov-17,83.68,83.76,82.88,83.18,22307371
1,31-Oct-17,84.36,84.36,83.11,83.18,27086575
2,30-Oct-17,83.7,84.32,83.1,83.89,31756653
3,27-Oct-17,84.37,86.2,83.61,83.81,71066729
4,26-Oct-17,79.2,79.42,78.75,78.76,32120717
5,25-Oct-17,78.58,79.1,78.01,78.63,20410808
6,24-Oct-17,78.9,79.2,78.46,78.86,17517182
7,23-Oct-17,78.99,79.34,78.76,78.83,20627173
8,20-Oct-17,78.32,78.97,78.22,78.81,22866426
9,19-Oct-17,77.57,77.93,77.35,77.91,15092758
10,18-Oct-17,77.67,77.85,77.37,77.61,13300701
11,17-Oct-17,77.47,77.62,77.25,77.59,16823989
12,16-Oct-17,77.42,77.81,77.35,77.65,12380093
13,13-Oct-17,77.59,77.87,77.29,77.49,15335742
14,12-Oct-17,76.49,77.29,76.37,77.12,16876538
15,11-Oct-17,76.36,76.46,75.95,76.42,15388898
16,10-Oct-17,76.33,76.63,76.14,76.29,13944545
17,9-Oct-17,75.97,76.55,75.86,76.29,11386502
18,6-Oct-17,75.67,76.03,75.54,76.0,13959814
19,5-Oct-17,75.22,76.12,74.96,75.97,21195261
20,4-Oct-17,74.09,74.72,73.71,74.69,13317681
21,3-Oct-17,74.67,74.88,74.2,74.26,12190403
22,2-Oct-17,74.71,75.01,74.3,74.61,15304762
23,29-Sep-17,73.94,74.54,73.88,74.49,17079114
24,28-Sep-17,73.54,73.97,73.31,73.87,10883787
25,27-Sep-17,73.55,74.17,73.17,73.85,19375099
26,26-Sep-17,73.67,73.81,72.99,73.26,18019577
27,25-Sep-17,74.09,74.25,72.92,73.26,24149163
28,22-Sep-17,73.99,74.51,73.85,74.41,14111365
29,21-Sep-17,75.11,75.24,74.11,74.21,19186140
30,20-Sep-17,75.35,75.55,74.31,74.94,21587878
31,19-Sep-17,75.21,75.71,75.01,75.44,16093344
32,18-Sep-17,75.23,75.97,75.04,75.16,23306959
33,15-Sep-17,74.83,75.39,74.07,75.31,38578441
34,14-Sep-17,75.0,75.49,74.52,74.77,15733914
35,13-Sep-17,74.93,75.23,74.55,75.21,13380802
36,12-Sep-17,74.76,75.24,74.37,74.68,14394850
37,11-Sep-17,74.31,74.94,74.31,74.76,17910383
38,8-Sep-17,74.33,74.44,73.84,73.98,14703816
39,7-Sep-17,73.68,74.6,73.6,74.34,17471200
40,6-Sep-17,73.74,74.04,73.35,73.4,16535785
41,5-Sep-17,73.34,73.89,72.98,73.61,22242384
42,1-Sep-17,74.71,74.74,73.64,73.94,21736161
43,31-Aug-17,74.03,74.96,73.8,74.77,27652811
44,30-Aug-17,73.01,74.21,72.83,74.01,16897801
45,29-Aug-17,72.25,73.16,72.05,73.05,11478382
46,28-Aug-17,73.06,73.09,72.55,72.83,14569715
47,25-Aug-17,72.86,73.35,72.48,72.82,12794301
48,24-Aug-17,72.74,72.86,72.07,72.69,17098282
49,23-Aug-17,72.96,73.15,72.53,72.72,13766507
50,22-Aug-17,72.35,73.24,72.35,73.16,14343674
51,21-Aug-17,72.47,72.48,71.7,72.15,17734767
52,18-Aug-17,72.27,72.84,71.93,72.49,18761491
53,17-Aug-17,73.58,73.87,72.4,72.4,22977519
