,Date,Open,High,Low,Close,Volume
0,1-Nov-17,55.42,55.5,54.85,55.07,7544505
1,31-Oct-17,54.75,55.28,54.52,54.99,9794845
2,30-Oct-17,55.71,55.93,54.84,55.27,10169401
3,27-Oct-17,55.82,56.36,55.65,55.96,12801783
4,26-Oct-17,55.26,57.25,55.14,56.81,22185144
5,25-Oct-17,53.43,55.9,52.67,54.94,24804028
6,24-Oct-17,53.90,54.0,53.1,53.42,14767595
7,23-Oct-17,53.06,53.95,53.0,53.66,12242580
8,20-Oct-17,52.79,53.5,52.79,53.06,13020916
9,19-Oct-17,51.66,52.8,51.48,52.69,12568217
10,18-Oct-17,52.18,52.4,52.1,52.3,10890257
11,17-Oct-17,51.50,52.04,51.38,52.0,9492675
12,16-Oct-17,50.80,51.4,50.64,51.37,9299326
13,13-Oct-17,50.83,51.07,50.4,50.98,16227948
14,12-Oct-17,50.98,51.12,50.35,50.83,10658445
15,11-Oct-17,51.39,51.52,51.06,51.13,833886
16,10-Oct-17,51.58,51.82,51.37,51.53,8372726
17,9-Oct-17,52.23,52.3,51.5,51.52,6875105
18,6-Oct-17,52.20,52.46,52.12,52.42,5360267
19,5-Oct-17,52.01,52.32,51.78,52.18,5287422
20,4-Oct-17,51.51,52.13,51.4,52.08,8204280
21,3-Oct-17,52.00,52.05,51.4,51.47,8126729
22,2-Oct-17,52.16,52.21,51.66,51.87,7516205
23,29-Sep-17,52.59,52.82,51.76,51.85,12189882
24,28-Sep-17,52.80,53.03,52.33,52.63,11334704
25,27-Sep-17,52.17,52.69,51.03,52.67,36088002
26,26-Sep-17,53.18,53.97,52.98,53.7,16183717
27,25-Sep-17,53.08,53.56,53.0,53.23,12262360
28,22-Sep-17,53.02,53.61,52.8,53.24,10962392
29,21-Sep-17,53.55,53.64,53.09,53.19,8065367
30,20-Sep-17,53.49,53.64,53.04,53.56,7058002
31,19-Sep-17,52.78,54.05,52.51,53.33,14707174
32,18-Sep-17,53.87,54.16,53.4,53.5,8166438
33,15-Sep-17,53.86,54.06,53.52,53.87,10046827
34,14-Sep-17,53.54,53.89,53.12,53.73,7497401
35,13-Sep-17,53.45,53.64,53.04,53.52,6085952
36,12-Sep-17,53.77,54.09,53.3,53.4,7823691
37,11-Sep-17,52.38,53.13,52.32,53.03,8649915
38,8-Sep-17,52.25,52.51,52.11,52.2,8563283
39,7-Sep-17,52.76,52.85,52.34,52.39,6905762
40,6-Sep-17,53.12,53.34,52.71,52.76,7407562
41,5-Sep-17,53.25,53.47,52.88,53.01,6689126
42,1-Sep-17,53.00,53.45,52.9,53.36,5509805
43,31-Aug-17,52.60,52.98,52.47,52.81,7728916
44,30-Aug-17,52.80,52.96,52.25,52.56,7434491
45,29-Aug-17,52.74,52.88,52.06,52.73,12539931
46,28-Aug-17,54.07,54.43,53.62,53.73,5269393
47,25-Aug-17,54.03,54.2,53.54,53.9,6416622
48,24-Aug-17,53.93,53.97,53.46,53.84,5461911
49,23-Aug-17,53.92,54.08,53.44,53.61,6409366
50,22-Aug-17,53.92,54.41,53.79,54.13,8212816
51,21-Aug-17,54.44,54.44,53.1,53.61,14289253
52,18-Aug-17,54.85,55.42,54.17,54.95,22905183
53,17-Aug-17,58.53,58.74,57.42,57.46,9148637
54,16-Aug-17,58.90,59.05,58.22,58.54,5489569
55,15-Aug-17,58.94,59.01,58.29,58.56,8913041
56,14-Aug-17,59.15,60.0,59.13,59.78,5899971
57,11-Aug-17,58.73,59.27,58.59,58.97,4979994
58,10-Aug-17,59.68,59.69,59.06,59.07,5585115
59,9-Aug-17,59.42,59.96,59.26,59.9,5310944
60,8-Aug-17,59.88,60.12,59.36,59.46,5586439
61,7-Aug-17,59.82,60.1,59.71,59.79,4066712
62,4-Aug-17,60.17,60.34,59.63,59.76,4105953
63,3-Aug-17,59.80,60.53,59.64,60.14,5677172
64,2-Aug-17,59.55,59.95,59.27,59.79,4468121
65,1-Aug-17,59.00,59.94,58.9,59.84,9051700
66,31-Jul-17,-,59.12,58.33,59.05,6225907
67,28-Jul-17,58.15,58.74,57.97,58.67,5112825
68,27-Jul-17,58.60,58.68,57.98,58.15,8259947
69,26-Jul-17,59.09,59.13,58.32,58.36,5529498
70,25-Jul-17,59.32,59.52,58.92,59.39,5157123
71,24-Jul-17,59.69,59.77,58.76,58.95,7498860
72,21-Jul-17,59.00,60.0,58.91,59.95,11048297
73,20-Jul-17,59.12,59.59,58.8,59.1,11915546
74,19-Jul-17,57.60,57.88,57.39,57.77,4451101
75,18-Jul-17,57.74,58.08,57.47,57.65,4922455
76,17-Jul-17,58.00,58.35,57.76,57.79,6885045
77,14-Jul-17,57.95,58.21,57.64,58.0,6345279
78,13-Jul-17,58.22,58.58,57.93,57.94,8108634
79,12-Jul-17,58.31,58.75,58.1,58.22,7243119
80,11-Jul-17,58.54,58.93,58.04,58.18,7222995
81,10-Jul-17,57.89,58.81,57.68,58.73,8942398
82,7-Jul-17,57.40,58.08,57.03,57.98,8145436
83,6-Jul-17,57.45,57.72,57.0,57.16,9035661
84,5-Jul-17,58.24,58.29,57.51,57.56,16166954
85,3-Jul-17,58.37,59.01,58.33,58.65,9910021
86,30-Jun-17,56.60,59.71,56.5,59.0,46552954
87,29-Jun-17,53.33,53.63,52.99,53.17,14801866
88,28-Jun-17,53.17,53.61,52.96,53.36,7527220
89,27-Jun-17,53.19,53.26,52.64,52.95,7873136
90,26-Jun-17,52.95,53.57,52.67,53.28,7966219
91,23-Jun-17,52.15,52.92,51.67,52.85,8522404
92,22-Jun-17,52.60,52.62,52.09,52.4,10660744
93,21-Jun-17,51.90,52.68,51.9,52.59,13021697
94,20-Jun-17,52.05,52.13,51.1,51.56,10676464
95,19-Jun-17,51.42,52.22,51.4,52.02,11265315
96,16-Jun-17,51.75,51.84,50.79,51.1,25725453
97,15-Jun-17,54.00,54.05,52.73,52.9,16041068
98,14-Jun-17,54.48,54.67,53.95,54.66,6783933
99,13-Jun-17,54.03,54.66,53.84,54.31,8720065
100,12-Jun-17,53.51,54.25,53.5,54.03,9180135
101,9-Jun-17,53.20,53.47,52.8,53.46,8347402
102,8-Jun-17,53.54,54.14,53.15,53.2,7785615
103,7-Jun-17,52.79,53.36,52.75,53.23,7438258
104,6-Jun-17,52.90,53.1,52.43,52.48,8923047
105,5-Jun-17,53.00,53.23,52.7,53.01,5748870
106,2-Jun-17,52.70,53.01,52.36,52.98,18511169
107,1-Jun-17,53.06,53.3,52.21,52.3,13352101
108,31-May-17,53.02,53.28,52.71,52.99,8938801
109,30-May-17,52.76,53.02,52.64,52.92,8039561
110,26-May-17,52.35,52.76,52.23,52.59,5921314
111,25-May-17,52.38,52.59,52.21,52.35,7627454
112,24-May-17,52.25,52.3,51.74,52.01,9404281
113,23-May-17,51.98,52.62,51.88,52.2,11087298
114,22-May-17,51.77,51.96,51.4,51.57,13671543
115,19-May-17,51.00,52.11,50.81,51.77,20047766
116,18-May-17,51.97,52.08,51.3,51.68,22576489
117,17-May-17,52.39,52.87,51.8,51.8,18341473
118,16-May-17,52.37,53.38,52.12,52.78,14562678
119,15-May-17,54.12,54.2,53.68,53.77,8201722
120,12-May-17,54.10,54.39,53.79,54.2,5606253
121,11-May-17,54.52,54.52,53.4,54.24,6499597
122,10-May-17,54.91,55.06,54.51,54.56,5823023
123,9-May-17,54.33,55.08,54.16,54.89,6441208
124,8-May-17,54.18,54.51,53.83,54.3,8728121
125,5-May-17,54.41,54.5,53.56,53.95,13379949
126,4-May-17,54.68,54.83,54.2,54.47,6830628
127,3-May-17,55.17,55.3,54.4,54.53,9474727
128,2-May-17,55.12,55.16,54.79,55.07,7363616
129,1-May-17,55.43,55.45,54.98,54.99,4881442
130,28-Apr-17,55.43,55.53,55.14,55.41,6437731
131,27-Apr-17,55.18,55.57,54.91,55.47,8557987
132,26-Apr-17,55.46,55.84,55.12,55.16,10936009
133,25-Apr-17,55.53,55.77,55.41,55.45,8970970
134,24-Apr-17,56.14,56.21,55.47,55.47,10777733
135,21-Apr-17,56.29,56.38,55.68,55.85,6055624
136,20-Apr-17,55.96,56.69,55.88,56.4,6867130
137,19-Apr-17,56.16,56.22,55.74,55.86,5947674
138,18-Apr-17,56.02,56.42,55.8,56.11,5651118
139,17-Apr-17,55.32,56.34,55.25,56.24,7688742
140,13-Apr-17,55.41,55.6,55.26,55.34,5282110
141,12-Apr-17,54.66,55.62,54.5,55.57,8504108
142,11-Apr-17,54.95,55.07,54.55,54.92,4348643
143,10-Apr-17,55.00,55.33,54.72,54.9,5472680
144,7-Apr-17,55.10,55.24,54.77,55.11,6078250
145,6-Apr-17,55.07,55.94,54.94,55.14,6692225
146,5-Apr-17,54.97,55.8,54.5,54.98,7722093
147,4-Apr-17,55.15,55.3,54.83,55.04,8843296
148,3-Apr-17,55.74,55.8,55.15,55.56,7088838
149,31-Mar-17,56.00,56.03,55.64,55.73,5905639
150,30-Mar-17,56.48,56.6,55.81,56.04,7210468
151,29-Mar-17,56.41,57.1,56.35,56.68,7456208
152,28-Mar-17,55.99,56.78,55.79,56.62,7823943
153,27-Mar-17,55.64,56.25,55.54,55.93,8663611
154,24-Mar-17,55.29,56.64,55.12,56.36,14438573
155,23-Mar-17,54.61,55.55,54.52,55.37,23848344
156,22-Mar-17,54.76,55.0,53.76,53.92,37413372
157,21-Mar-17,58.78,59.0,57.72,58.01,15269827
158,20-Mar-17,58.00,58.81,57.96,58.68,13352530
159,17-Mar-17,57.77,57.88,57.31,57.8,10791471
160,16-Mar-17,57.43,57.72,56.83,57.6,9894955
