,Date,Open,High,Low,Close,Volume
0,1-Nov-17,35.01,35.73,34.90,35.26,15709246
1,31-Oct-17,35.05,35.34,34.10,35.06,23523848
2,30-Oct-17,35.43,35.47,35.02,35.15,25312745
3,27-Oct-17,35.53,35.75,35.40,35.6,14940121
4,26-Oct-17,36.09,36.22,35.60,35.74,17432863
5,25-Oct-17,36.20,36.35,35.92,36.16,16625693
6,24-Oct-17,36.45,36.53,35.99,36.27,15015341
7,23-Oct-17,36.30,36.78,36.30,36.4,15159383
8,20-Oct-17,36.30,36.42,36.03,36.42,17502245
9,19-Oct-17,35.89,36.38,35.84,36.24,19789423
10,18-Oct-17,36.25,36.29,35.79,35.83,14418003
11,17-Oct-17,35.93,36.33,35.75,36.2,14019661
12,16-Oct-17,36.35,36.48,35.88,35.98,13581579
13,13-Oct-17,36.37,36.49,36.25,36.34,12769294
14,12-Oct-17,36.48,36.60,36.28,36.35,13994415
15,11-Oct-17,36.37,36.42,36.20,36.34,1642256
16,10-Oct-17,36.38,36.51,36.03,36.4,17739464
17,9-Oct-17,36.06,36.15,35.93,36.14,9751519
18,6-Oct-17,35.99,36.14,35.94,36.05,12060086
19,5-Oct-17,35.88,36.00,35.75,36.0,13605723
20,4-Oct-17,36.18,36.24,35.90,35.96,10849382
21,3-Oct-17,36.02,36.20,35.75,36.14,13594288
22,2-Oct-17,35.67,36.10,35.49,36.07,16642649
23,29-Sep-17,35.64,35.70,35.35,35.7,16003652
24,28-Sep-17,35.27,35.78,35.22,35.6,18062655
25,27-Sep-17,35.25,35.52,35.19,35.45,14671645
26,26-Sep-17,35.51,35.64,35.24,35.3,17559784
27,25-Sep-17,35.90,36.03,35.44,35.51,22181960
28,22-Sep-17,36.10,36.12,35.77,35.96,14605376
29,21-Sep-17,36.06,36.19,35.91,35.97,15731081
30,20-Sep-17,35.93,36.21,35.81,35.99,25680077
31,19-Sep-17,35.66,35.66,35.35,35.45,15692161
32,18-Sep-17,35.38,35.55,35.21,35.55,16936220
33,15-Sep-17,35.60,35.72,35.24,35.36,28871059
34,14-Sep-17,35.05,35.84,35.00,35.73,27426839
35,13-Sep-17,35.26,35.43,34.97,35.06,20982433
36,12-Sep-17,34.38,35.75,34.36,35.37,37256492
37,11-Sep-17,34.09,34.34,33.98,34.32,16379498
38,8-Sep-17,33.95,34.25,33.80,34.1,15442446
39,7-Sep-17,34.04,34.13,33.81,33.99,17867050
40,6-Sep-17,33.95,34.11,33.91,33.99,13212295
41,5-Sep-17,33.88,34.16,33.75,33.8,14296598
42,1-Sep-17,33.94,34.13,33.82,33.96,18179055
43,31-Aug-17,33.50,34.02,33.48,33.92,25901790
44,30-Aug-17,33.48,33.48,33.25,33.45,11759928
45,29-Aug-17,33.43,33.55,33.24,33.5,12224026
46,28-Aug-17,33.50,33.62,33.41,33.47,12365346
47,25-Aug-17,33.28,33.62,33.23,33.39,14393883
48,24-Aug-17,33.37,33.40,33.17,33.23,11518441
49,23-Aug-17,33.07,33.39,33.07,33.24,16119454
50,22-Aug-17,32.76,33.22,32.70,33.15,13452221
51,21-Aug-17,32.60,32.87,32.32,32.76,16934286
52,18-Aug-17,32.91,32.97,32.65,32.67,15490145
53,17-Aug-17,33.29,33.45,32.95,32.95,14858762
54,16-Aug-17,33.33,33.49,33.26,33.36,10558641
55,15-Aug-17,33.34,33.53,33.26,33.38,17124142
56,14-Aug-17,33.33,33.36,33.14,33.31,12791545
57,11-Aug-17,33.50,33.56,33.21,33.25,12928473
58,10-Aug-17,33.37,33.55,33.21,33.42,18085881
59,9-Aug-17,33.34,33.46,33.16,33.45,14997801
60,8-Aug-17,33.33,33.46,33.22,33.28,16116151
61,7-Aug-17,33.55,33.59,33.25,33.31,12512569
62,4-Aug-17,33.58,34.00,33.48,33.64,25790667
63,3-Aug-17,32.95,33.81,32.86,33.43,27267488
64,2-Aug-17,32.87,32.92,32.70,32.92,28854037
65,1-Aug-17,33.04,33.30,32.72,33.08,26634264
66,31-Jul-17,-,-,-,33.16,21982573
67,28-Jul-17,33.06,33.17,32.81,33.15,16239229
68,27-Jul-17,32.79,33.00,32.69,33.0,16661472
69,26-Jul-17,33.09,33.10,32.82,32.89,15723616
70,25-Jul-17,33.38,33.48,33.01,33.1,19787519
71,24-Jul-17,33.38,33.44,33.17,33.32,14761837
72,21-Jul-17,33.47,33.58,33.39,33.48,12024404
73,20-Jul-17,33.47,33.70,33.34,33.54,16954528
74,19-Jul-17,33.37,33.69,33.31,33.62,18810217
75,18-Jul-17,33.23,33.39,33.04,33.36,14569448
76,17-Jul-17,33.44,33.47,33.14,33.25,16825293
77,14-Jul-17,33.27,33.55,33.24,33.43,12500755
78,13-Jul-17,33.22,33.34,32.99,33.28,13389024
79,12-Jul-17,33.34,33.53,33.20,33.22,13831109
80,11-Jul-17,33.40,33.47,33.05,33.17,12214478
81,10-Jul-17,33.36,33.53,33.24,33.41,13526294
82,7-Jul-17,33.25,33.36,33.02,33.35,16996728
83,6-Jul-17,33.64,33.67,33.14,33.22,13924394
84,5-Jul-17,33.94,33.95,33.50,33.64,16197580
85,3-Jul-17,33.48,33.97,33.47,33.82,8512300
86,30-Jun-17,33.73,33.80,33.51,33.59,13512482
87,29-Jun-17,33.80,33.87,33.37,33.63,14919173
88,28-Jun-17,33.86,33.99,33.65,33.75,14795086
89,27-Jun-17,34.13,34.13,33.75,33.77,15265637
90,26-Jun-17,34.16,34.21,33.96,34.04,14172264
91,23-Jun-17,34.08,34.22,33.97,34.17,30046310
92,22-Jun-17,33.95,34.48,33.92,34.06,22156066
93,21-Jun-17,33.58,34.10,33.58,33.88,25744254
94,20-Jun-17,33.21,33.75,33.15,33.56,26066194
95,19-Jun-17,32.94,33.25,32.91,33.22,20799046
96,16-Jun-17,32.98,33.13,32.81,32.97,31878571
97,15-Jun-17,32.62,33.03,32.56,32.81,18929889
98,14-Jun-17,32.59,32.76,32.46,32.69,13821775
99,13-Jun-17,32.71,32.78,32.52,32.58,17166939
100,12-Jun-17,32.75,33.12,32.50,32.7,28876207
101,9-Jun-17,31.81,32.80,31.74,32.77,30137170
102,8-Jun-17,32.06,32.10,31.67,31.75,33795781
103,7-Jun-17,32.08,32.16,31.90,32.0,16584142
104,6-Jun-17,32.30,32.36,32.04,32.07,17866356
105,5-Jun-17,32.51,32.58,32.20,32.35,14226613
106,2-Jun-17,32.77,32.88,32.44,32.54,20858188
107,1-Jun-17,32.67,32.85,32.52,32.71,23894513
108,31-May-17,32.28,32.79,32.13,32.65,29018501
109,30-May-17,32.06,32.31,32.02,32.13,16047050
110,26-May-17,32.18,32.29,32.10,32.14,11699041
111,25-May-17,32.06,32.20,31.97,32.16,17293352
112,24-May-17,32.17,32.28,31.97,32.05,22486949
113,23-May-17,32.12,32.28,32.08,32.14,17568656
114,22-May-17,32.50,32.50,32.12,32.12,25356699
115,19-May-17,32.30,32.46,32.19,32.46,28354336
116,18-May-17,32.20,32.42,32.07,32.22,23600353
117,17-May-17,32.31,32.57,32.21,32.23,28397788
118,16-May-17,32.56,32.80,32.39,32.6,40263569
