,Date,Open,High,Low,Close,Volume
0,1-Nov-17,86.33,87.14,86.11,86.89,4884052
1,31-Oct-17,86.49,86.5,85.72,86.34,7118956
2,30-Oct-17,86.91,87.08,86.16,86.27,5387086
3,27-Oct-17,87.53,87.53,86.45,87.04,7433806
4,26-Oct-17,87.19,87.77,87.10,87.5,6233848
5,25-Oct-17,86.90,87.11,86.28,86.86,9024251
6,24-Oct-17,87.37,87.42,86.78,86.98,11519038
7,23-Oct-17,88.63,88.86,86.87,87.3,13358194
8,20-Oct-17,89.72,89.96,87.59,88.25,19997800
9,19-Oct-17,91.70,91.99,91.14,91.59,8584972
10,18-Oct-17,92.78,92.95,92.01,92.77,7399662
11,17-Oct-17,93.04,93.09,92.40,92.8,5316062
12,16-Oct-17,92.97,93.37,92.71,93.14,4159101
13,13-Oct-17,92.70,93.51,92.59,93.04,6956656
14,12-Oct-17,91.41,92.3,91.39,92.15,5984905
15,11-Oct-17,91.09,91.73,91.07,91.48,665676
16,10-Oct-17,92.37,93.04,89.86,91.62,17125589
17,9-Oct-17,92.40,92.62,91.93,92.12,5148962
18,6-Oct-17,92.00,92.35,91.88,92.33,5241920
19,5-Oct-17,92.49,92.65,91.94,92.03,6912759
20,4-Oct-17,92.12,92.8,92.02,92.42,6140711
21,3-Oct-17,91.96,92.34,91.56,92.12,5909908
22,2-Oct-17,91.26,92.4,91.24,91.77,7302440
23,29-Sep-17,90.97,91.43,90.70,90.98,6634464
24,28-Sep-17,90.86,91.12,90.63,90.89,4999771
25,27-Sep-17,92.52,92.52,90.34,90.87,9517951
26,26-Sep-17,92.82,92.84,92.20,92.65,4885203
27,25-Sep-17,92.43,93.09,92.33,92.72,6436162
28,22-Sep-17,92.55,93.0,92.08,92.24,6837699
29,21-Sep-17,94.15,94.5,92.44,92.64,9376655
30,20-Sep-17,94.17,94.67,93.83,94.4,5941516
31,19-Sep-17,93.34,94.45,93.34,94.17,6587152
32,18-Sep-17,93.17,93.5,92.86,93.15,6177688
33,15-Sep-17,93.82,93.82,92.82,93.27,12428828
34,14-Sep-17,93.23,93.65,93.18,93.55,5492335
35,13-Sep-17,93.50,93.77,93.45,93.55,5369293
36,12-Sep-17,93.72,93.98,93.21,93.51,5804047
37,11-Sep-17,93.09,94.19,92.90,93.99,10177267
38,8-Sep-17,92.76,93.15,92.51,92.84,6070073
39,7-Sep-17,92.74,93.36,92.33,92.97,7735387
40,6-Sep-17,92.79,92.91,92.36,92.72,6747154
41,5-Sep-17,92.18,92.74,92.04,92.72,6532090
42,1-Sep-17,92.42,92.66,92.26,92.53,4960653
43,31-Aug-17,91.89,92.39,91.84,92.27,5864440
44,30-Aug-17,92.08,92.08,91.66,91.87,4709627
45,29-Aug-17,92.48,92.69,92.24,92.32,3676277
46,28-Aug-17,92.52,92.71,91.98,92.47,5386538
47,25-Aug-17,92.65,92.86,92.41,92.51,4932978
48,24-Aug-17,92.44,92.57,92.04,92.27,5173720
49,23-Aug-17,92.50,92.66,92.28,92.44,3631851
50,22-Aug-17,92.91,92.96,92.59,92.79,4731497
51,21-Aug-17,92.38,92.96,92.36,92.86,4334337
52,18-Aug-17,91.98,92.78,91.85,92.47,6815008
53,17-Aug-17,92.40,92.67,92.07,92.07,5711411
54,16-Aug-17,92.29,92.95,92.19,92.44,7965478
55,15-Aug-17,91.91,92.36,91.88,92.2,5293433
56,14-Aug-17,91.54,91.95,91.25,91.65,5398412
57,11-Aug-17,91.94,92.08,91.29,91.34,7094246
58,10-Aug-17,91.86,92.0,91.69,91.74,6338248
59,9-Aug-17,91.52,91.94,91.52,91.92,5572843
60,8-Aug-17,91.40,91.94,91.23,91.58,5623352
61,7-Aug-17,90.67,91.56,90.52,91.44,5011336
62,4-Aug-17,90.69,91.08,90.53,90.67,5824439
63,3-Aug-17,90.86,91.75,90.82,90.86,6413176
64,2-Aug-17,90.97,91.3,90.53,91.04,7167732
65,1-Aug-17,91.03,91.73,90.72,91.1,8662108
66,31-Jul-17,-,91.07,-,90.82,7835661
67,28-Jul-17,90.56,91.0,89.96,90.21,6137534
68,27-Jul-17,90.29,90.75,89.00,90.68,11089181
69,26-Jul-17,89.00,89.42,88.87,89.3,6986999
70,25-Jul-17,88.67,89.2,88.54,89.14,6766682
71,24-Jul-17,88.55,88.6,87.97,88.18,6202019
72,21-Jul-17,88.16,88.68,87.81,88.61,5714842
73,20-Jul-17,88.32,89.31,88.31,88.6,7285004
74,19-Jul-17,87.87,88.41,87.60,88.35,6008454
75,18-Jul-17,87.61,88.76,87.46,88.64,7492306
76,17-Jul-17,87.07,87.9,86.74,87.55,5227821
77,14-Jul-17,86.96,87.28,86.73,87.1,4577701
78,13-Jul-17,86.77,87.05,86.50,86.7,5448911
79,12-Jul-17,87.24,87.46,86.83,86.96,4374171
80,11-Jul-17,87.23,87.45,86.30,86.77,5838563
81,10-Jul-17,87.63,87.87,86.89,87.09,5356392
82,7-Jul-17,87.69,87.82,87.28,87.65,5142197
83,6-Jul-17,87.65,87.95,87.36,87.37,6038851
84,5-Jul-17,87.86,88.0,87.49,87.67,4974329
85,3-Jul-17,87.40,88.0,87.18,87.74,3607447
86,30-Jun-17,87.05,87.47,87.00,87.15,6070254
87,29-Jun-17,88.02,88.22,86.93,86.99,8123516
88,28-Jun-17,89.08,89.21,88.26,88.37,4874990
89,27-Jun-17,89.18,89.3,88.61,88.61,5180391
90,26-Jun-17,89.63,89.68,89.27,89.36,4373314
91,23-Jun-17,89.03,89.8,88.90,89.42,8782097
92,22-Jun-17,89.27,89.41,88.90,89.03,4536714
93,21-Jun-17,89.62,89.95,89.29,89.4,4164473
94,20-Jun-17,89.77,90.21,89.61,89.63,5674212
95,19-Jun-17,89.60,89.86,89.20,89.86,5246246
96,16-Jun-17,89.72,89.77,88.81,89.66,13855018
97,15-Jun-17,88.23,89.62,88.23,89.38,7047471
98,14-Jun-17,88.49,88.75,88.06,88.44,6183875
99,13-Jun-17,88.36,88.4,87.77,88.06,6419319
100,12-Jun-17,88.28,88.66,88.09,88.24,7867734
101,9-Jun-17,87.85,88.21,87.55,88.16,9696915
102,8-Jun-17,88.58,88.8,87.36,87.85,7712062
103,7-Jun-17,88.68,88.89,88.40,88.77,4781587
104,6-Jun-17,88.76,88.97,88.45,88.8,6503039
105,5-Jun-17,88.30,88.76,88.00,88.74,4115288
106,2-Jun-17,88.40,88.68,88.00,88.59,6136425
107,1-Jun-17,88.02,88.14,87.37,88.13,6251292
108,31-May-17,87.67,88.35,87.45,88.09,10146610
109,30-May-17,87.25,87.61,87.10,87.4,4594514
110,26-May-17,86.93,87.38,86.82,87.25,4337023
111,25-May-17,86.58,86.98,86.55,86.86,4367960
112,24-May-17,86.45,86.65,86.21,86.5,4902470
113,23-May-17,86.28,86.54,85.98,86.08,4394225
114,22-May-17,86.25,86.4,86.03,86.21,4259955
115,19-May-17,86.00,86.38,85.67,86.24,7320725
116,18-May-17,86.18,86.22,85.52,85.87,6985567
117,17-May-17,86.22,86.63,85.93,86.26,7805770
118,16-May-17,86.88,87.0,86.19,86.24,6554454
119,15-May-17,86.65,86.71,86.24,86.33,5820742
120,12-May-17,86.24,86.32,85.92,86.19,5892430
121,11-May-17,86.61,86.63,85.88,86.17,6064727
122,10-May-17,86.48,86.79,86.38,86.49,6178549
123,9-May-17,86.80,86.82,86.22,86.4,9577623
124,8-May-17,86.33,86.62,86.24,86.55,4634623
125,5-May-17,86.54,86.61,86.13,86.5,4506197
126,4-May-17,86.85,87.24,86.30,86.45,5986188
127,3-May-17,86.30,86.63,85.90,86.43,6121974
128,2-May-17,87.29,87.29,86.02,86.22,13197492
129,1-May-17,87.38,87.6,87.08,87.09,4546624
130,28-Apr-17,87.52,87.59,87.15,87.33,8295445
131,27-Apr-17,87.58,88.24,87.23,87.69,8517522
132,26-Apr-17,89.85,90.0,87.61,87.74,11951322
133,25-Apr-17,89.58,90.25,89.47,90.0,9088390
134,24-Apr-17,89.12,89.66,89.01,89.55,8338467
135,21-Apr-17,89.17,89.28,88.61,88.62,9061218
136,20-Apr-17,89.70,89.7,89.31,89.33,6983536
137,19-Apr-17,90.10,90.45,89.50,89.6,6918993
138,18-Apr-17,90.40,91.13,90.34,90.8,7087796
139,17-Apr-17,90.23,90.59,90.13,90.39,6931678
140,13-Apr-17,90.05,90.54,89.79,90.03,5040104
141,12-Apr-17,89.70,90.42,89.56,90.31,6286312
142,11-Apr-17,89.66,89.82,89.29,89.8,5185977
143,10-Apr-17,89.13,89.68,88.75,89.49,5955986
144,7-Apr-17,89.46,89.61,89.18,89.23,4739140
145,6-Apr-17,89.77,89.81,89.31,89.4,7231506
146,5-Apr-17,90.00,90.5,89.76,89.97,6320139
147,4-Apr-17,89.75,89.96,89.42,89.91,5680764
148,3-Apr-17,89.86,90.06,89.45,89.68,6967439
149,31-Mar-17,90.03,90.34,89.84,89.85,6942356
150,30-Mar-17,90.50,90.57,90.10,90.2,3691926
151,29-Mar-17,90.56,90.87,90.39,90.6,4252782
152,28-Mar-17,90.17,91.06,90.13,90.76,11855807
153,27-Mar-17,90.45,90.72,90.18,90.49,10071996
154,24-Mar-17,90.77,90.92,90.21,90.57,9251999
155,23-Mar-17,90.91,91.46,90.60,90.77,6831401
156,22-Mar-17,91.31,91.8,90.75,90.99,7798024
157,21-Mar-17,91.30,91.75,91.03,91.19,8210951
158,20-Mar-17,90.96,91.41,90.94,91.22,7772903
159,17-Mar-17,91.45,92.0,90.92,91.0,37010081
160,16-Mar-17,91.44,91.72,91.10,91.44,6601208
161,15-Mar-17,91.00,91.78,90.73,91.4,7855256
162,14-Mar-17,91.26,91.59,90.82,91.0,6686388
163,13-Mar-17,91.06,91.49,90.85,91.31,7397472
164,10-Mar-17,90.80,91.16,90.65,91.07,6797792
165,9-Mar-17,90.14,90.49,90.10,90.34,5587379
166,8-Mar-17,90.02,90.35,89.76,90.14,5513405
167,7-Mar-17,90.14,90.49,90.06,90.29,5362951
168,6-Mar-17,89.89,90.51,89.59,90.37,9533795
169,3-Mar-17,90.80,90.82,89.89,90.5,8341071
170,2-Mar-17,91.40,91.58,90.88,90.91,7031221
171,1-Mar-17,91.05,91.89,90.71,91.66,8792150
172,28-Feb-17,90.90,91.79,90.65,91.07,10535619
173,27-Feb-17,90.53,90.91,90.06,90.89,11840268
174,24-Feb-17,90.97,91.34,90.67,91.05,6643365
175,23-Feb-17,91.61,91.8,90.91,91.13,7611638
176,22-Feb-17,91.45,91.8,91.25,91.44,6749919
177,21-Feb-17,90.58,91.8,90.58,91.67,9018703
178,17-Feb-17,90.61,91.36,90.45,91.09,12152428
179,16-Feb-17,90.92,91.12,90.54,90.79,12408473
180,15-Feb-17,89.81,91.15,89.81,91.12,25847697
181,14-Feb-17,88.00,88.22,87.23,87.86,20123406
182,13-Feb-17,88.04,88.36,87.64,88.31,6905130
183,10-Feb-17,88.56,88.73,87.96,87.97,11057552
184,9-Feb-17,88.25,88.78,88.03,88.67,9914070
185,8-Feb-17,88.07,88.34,87.81,88.33,6815753
186,7-Feb-17,87.64,88.28,87.48,88.01,6646055
187,6-Feb-17,87.50,87.78,87.13,87.4,7482993
188,3-Feb-17,88.12,88.17,87.39,87.41,7161948
189,2-Feb-17,87.61,88.35,87.25,87.76,8997158
190,1-Feb-17,87.03,87.59,86.75,87.33,8291514
191,31-Jan-17,86.63,87.66,86.53,87.6,9712432
192,30-Jan-17,86.78,86.86,86.50,86.75,7350036
193,27-Jan-17,86.45,86.85,86.02,86.72,9332303
194,26-Jan-17,87.12,87.23,86.59,86.6,6542285
195,25-Jan-17,87.84,87.9,87.06,87.16,8082874
196,24-Jan-17,87.22,87.95,87.22,87.86,8704722
197,23-Jan-17,87.09,87.35,86.85,86.96,9408904
198,20-Jan-17,86.89,87.98,86.42,87.45,22944405
199,19-Jan-17,84.63,85.0,84.28,84.7,14074464
200,18-Jan-17,84.80,85.3,84.59,84.93,10521181
201,17-Jan-17,83.90,85.58,83.88,85.21,13145073
202,13-Jan-17,83.85,84.02,83.44,84.01,6762797
203,12-Jan-17,83.71,83.88,83.37,83.84,6545444
204,11-Jan-17,83.39,83.75,83.28,83.75,9572286
205,10-Jan-17,84.34,84.43,83.24,83.49,10918153
206,9-Jan-17,84.06,84.66,83.75,84.4,11000579
207,6-Jan-17,84.94,85.25,84.62,85.03,4799945
208,5-Jan-17,84.41,85.43,84.38,85.06,6852435
209,4-Jan-17,84.45,84.6,84.24,84.5,8096650
210,3-Jan-17,83.88,84.39,83.50,84.2,8792706
211,30-Dec-16,84.17,84.45,83.92,84.08,6209848
212,29-Dec-16,84.24,84.49,84.10,84.35,3718306
213,28-Dec-16,84.40,84.63,83.94,84.07,4298812
214,27-Dec-16,84.90,84.94,84.42,84.6,3782582
215,23-Dec-16,84.68,85.18,84.55,84.96,5284195
216,22-Dec-16,84.00,84.61,83.87,84.47,7864796
217,21-Dec-16,84.19,84.72,84.12,84.28,6099334
218,20-Dec-16,84.57,84.71,84.19,84.57,7485433
219,19-Dec-16,84.75,84.98,84.32,84.71,6431223
220,16-Dec-16,84.90,85.12,84.15,84.68,21172420
221,15-Dec-16,84.15,84.8,83.61,84.68,8768128
222,14-Dec-16,85.29,85.74,84.17,84.37,12292170
223,13-Dec-16,84.67,85.36,84.53,85.18,11795940
224,12-Dec-16,84.21,85.18,84.21,85.13,7494115
225,9-Dec-16,83.52,84.4,83.47,84.37,8004453
226,8-Dec-16,83.79,84.18,83.50,83.5,7522799
227,7-Dec-16,82.74,84.28,82.71,84.18,8567706
228,6-Dec-16,83.24,83.25,82.61,82.91,7327194
229,5-Dec-16,82.56,83.08,82.48,82.99,8597543
