,Date,Open,High,Low,Close,Volume
0,1-Nov-17,133.98,134.03,132.63,133.47,1749583
1,31-Oct-17,132.48,132.95,132.22,132.45,1499914
2,30-Oct-17,131.09,132.88,130.80,132.62,1579156
3,27-Oct-17,131.55,131.68,130.05,131.06,1602413
4,26-Oct-17,132.72,132.89,130.75,131.94,1490813
5,25-Oct-17,133.38,133.44,131.75,131.78,1628943
6,24-Oct-17,134.04,134.40,132.72,133.19,1712252
7,23-Oct-17,133.73,134.47,132.88,134.45,1790192
8,20-Oct-17,134.00,134.11,132.53,133.32,1838805
9,19-Oct-17,129.78,133.17,128.24,133.17,2970858
10,18-Oct-17,128.70,130.16,128.47,130.02,1991720
11,17-Oct-17,128.44,128.86,127.50,128.65,1808224
12,16-Oct-17,127.33,129.62,126.90,128.82,1765934
13,13-Oct-17,126.16,127.17,125.79,126.67,1087096
14,12-Oct-17,126.02,126.50,125.46,125.95,1022192
15,11-Oct-17,125.64,126.16,125.61,126.12,91148
16,10-Oct-17,124.88,125.95,124.77,125.94,967885
17,9-Oct-17,124.80,125.49,124.35,124.95,723739
18,6-Oct-17,124.58,125.36,124.24,125.07,1152158
19,5-Oct-17,123.98,124.84,123.70,124.44,1135716
20,4-Oct-17,123.71,124.29,123.28,123.9,836932
21,3-Oct-17,123.31,123.73,122.39,123.7,1275588
22,2-Oct-17,122.87,123.47,121.72,123.32,1587243
23,29-Sep-17,122.62,123.20,121.90,122.52,1285833
24,28-Sep-17,122.41,123.26,122.25,122.8,1097060
25,27-Sep-17,123.46,123.46,122.49,122.59,1091527
26,26-Sep-17,122.67,123.49,122.24,122.57,1298467
27,25-Sep-17,121.96,122.97,121.55,122.67,1136487
28,22-Sep-17,121.49,122.17,121.05,122.04,1291782
29,21-Sep-17,122.11,122.90,121.13,121.49,1209258
30,20-Sep-17,121.07,121.98,119.90,121.91,1489348
31,19-Sep-17,120.64,121.42,120.46,120.58,1248293
32,18-Sep-17,120.72,121.08,120.13,120.72,1068628
33,15-Sep-17,120.59,121.16,119.48,120.7,3062500
34,14-Sep-17,121.47,121.47,118.75,119.96,1812922
35,13-Sep-17,122.23,122.48,120.79,121.51,1561265
36,12-Sep-17,122.55,123.19,121.32,122.48,1811467
37,11-Sep-17,123.51,126.68,122.37,122.56,3440418
38,8-Sep-17,114.71,120.83,114.48,119.76,4215429
39,7-Sep-17,116.59,116.95,113.76,115.18,2715713
40,6-Sep-17,116.00,118.40,115.45,117.73,3561916
41,5-Sep-17,119.01,119.04,115.21,115.43,3655089
42,1-Sep-17,121.74,121.75,119.67,119.9,1547044
43,31-Aug-17,122.05,122.16,120.16,121.18,2156565
44,30-Aug-17,123.21,123.53,121.62,121.81,1349165
45,29-Aug-17,122.60,123.96,122.28,123.01,1476237
46,28-Aug-17,124.92,125.51,122.42,123.23,2534881
47,25-Aug-17,125.99,126.69,125.56,126.47,1332234
48,24-Aug-17,127.33,127.37,125.51,125.57,1045112
49,23-Aug-17,127.75,128.22,126.99,127.16,946955
50,22-Aug-17,127.92,128.09,127.44,127.77,1113622
51,21-Aug-17,128.07,128.07,126.92,127.45,1063816
52,18-Aug-17,128.27,128.53,127.52,127.89,1246905
53,17-Aug-17,129.64,129.64,128.05,128.19,1622095
54,16-Aug-17,129.62,130.37,129.00,129.47,1424061
55,15-Aug-17,129.00,129.42,128.66,129.05,1139473
56,14-Aug-17,128.33,129.06,128.22,128.79,1092726
57,11-Aug-17,129.94,130.36,128.04,128.18,1535138
58,10-Aug-17,129.72,130.18,129.20,129.69,2422154
59,9-Aug-17,128.87,130.18,128.34,130.15,1605075
60,8-Aug-17,128.75,129.16,128.45,128.55,1041892
61,7-Aug-17,129.27,129.86,128.62,128.8,1008321
62,4-Aug-17,129.82,130.00,128.97,129.69,1952516
63,3-Aug-17,128.79,129.85,128.51,129.56,1081181
64,2-Aug-17,129.02,129.91,128.56,128.73,1402260
65,1-Aug-17,128.50,129.25,128.14,129.21,1518986
66,31-Jul-17,-,-,-,128.09,1077258
67,28-Jul-17,126.11,127.47,125.72,127.21,1277677
68,27-Jul-17,125.31,126.24,124.86,125.88,1694031
69,26-Jul-17,127.31,127.57,125.70,126.0,1288911
70,25-Jul-17,127.79,128.21,127.19,127.46,1578172
71,24-Jul-17,125.25,126.58,125.20,126.38,1392792
72,21-Jul-17,124.38,125.20,123.53,125.15,1373057
73,20-Jul-17,123.28,125.41,122.89,124.57,2219351
74,19-Jul-17,125.97,126.58,124.59,126.46,1324127
75,18-Jul-17,126.05,126.09,125.07,125.53,1407679
76,17-Jul-17,126.04,126.28,125.45,126.23,937396
77,14-Jul-17,125.25,125.97,124.62,125.72,1382377
78,13-Jul-17,125.25,125.68,124.76,125.43,886707
79,12-Jul-17,125.61,125.90,124.98,125.25,1034520
80,11-Jul-17,125.96,126.02,124.35,125.05,937740
81,10-Jul-17,126.57,126.98,125.77,125.77,1518082
82,7-Jul-17,126.79,127.28,126.01,127.17,987142
83,6-Jul-17,126.51,127.05,126.00,126.18,1014593
84,5-Jul-17,127.47,127.47,126.13,126.37,1402623
85,3-Jul-17,126.98,128.24,126.69,127.34,932749
86,30-Jun-17,126.52,126.92,125.80,126.53,1186460
87,29-Jun-17,128.22,128.23,125.96,126.39,1909062
88,28-Jun-17,127.73,128.43,127.39,127.78,1324710
89,27-Jun-17,128.38,128.38,127.33,127.38,1027598
90,26-Jun-17,127.60,128.17,127.29,127.95,1004866
91,23-Jun-17,128.00,128.64,127.17,127.66,1899307
92,22-Jun-17,128.17,128.71,128.15,128.31,1117052
93,21-Jun-17,128.75,129.10,128.39,128.58,1115255
94,20-Jun-17,128.35,129.15,128.30,128.75,1163701
95,19-Jun-17,129.40,129.49,128.02,128.27,1405926
