,Date,Open,High,Low,Close,Volume
0,1-Nov-17,120.55,121.0,119.93,120.12,2690615
1,31-Oct-17,120.04,120.24,119.5,119.76,3440550
2,30-Oct-17,119.41,120.53,118.85,119.83,4432433
3,27-Oct-17,119.62,119.95,118.96,119.07,2852800
4,26-Oct-17,119.45,120.07,119.0,119.93,3380834
5,25-Oct-17,119.71,120.29,118.87,118.99,3687339
6,24-Oct-17,119.95,123.28,118.95,119.74,5432516
7,23-Oct-17,120.76,121.18,120.47,120.89,2577566
8,20-Oct-17,119.96,120.93,119.76,120.93,2514652
9,19-Oct-17,119.10,119.53,118.22,119.49,1631657
10,18-Oct-17,119.50,119.5,118.6,119.18,1855599
11,17-Oct-17,118.63,119.37,118.18,119.36,2026513
12,16-Oct-17,118.84,119.5,118.4,119.01,2163578
13,13-Oct-17,119.07,119.95,118.72,118.72,3472976
14,12-Oct-17,117.67,118.93,117.63,118.82,2375601
15,11-Oct-17,118.31,118.6,117.72,117.8,129159
16,10-Oct-17,118.61,118.82,117.75,118.12,2664954
17,9-Oct-17,118.29,118.88,118.09,118.63,1749482
18,6-Oct-17,117.90,118.28,117.6,118.23,1790491
19,5-Oct-17,117.63,118.33,117.44,118.17,2676545
20,4-Oct-17,117.87,118.22,117.52,117.63,2799863
21,3-Oct-17,118.00,118.0,117.28,117.71,2211082
22,2-Oct-17,116.14,117.65,115.94,117.58,2330829
23,29-Sep-17,115.32,116.13,114.49,116.08,3270372
24,28-Sep-17,116.99,117.04,115.38,115.84,6029160
25,27-Sep-17,114.86,117.46,114.84,117.18,5537637
26,26-Sep-17,114.58,115.01,114.23,114.72,4020190
27,25-Sep-17,114.92,115.0,113.71,114.29,3700056
28,22-Sep-17,114.42,115.12,114.13,115.01,2833424
29,21-Sep-17,114.18,114.83,113.57,114.5,2565203
30,20-Sep-17,113.23,114.23,113.22,114.1,3435302
31,19-Sep-17,113.00,113.65,112.76,113.65,3328361
32,18-Sep-17,113.40,113.64,112.65,112.77,4039640
33,15-Sep-17,113.73,113.92,112.73,113.08,6529563
34,14-Sep-17,110.27,113.28,110.1,113.14,7032766
35,13-Sep-17,110.15,110.47,109.81,110.28,3820914
36,12-Sep-17,110.07,110.31,109.7,109.86,3966418
37,11-Sep-17,110.01,110.73,109.28,109.64,5623208
38,8-Sep-17,110.11,110.34,109.35,109.55,4404054
