,Date,Open,High,Low,Close,Volume
0,1-Nov-17,48.15,48.17,47.56,47.83,11046583
1,31-Oct-17,47.94,48.18,47.71,47.87,15909969
2,30-Oct-17,48.88,49.12,47.42,47.83,24587436
3,27-Oct-17,48.72,49.39,48.53,48.87,12423443
4,26-Oct-17,48.86,49.43,48.75,48.89,14420059
5,25-Oct-17,48.68,48.79,48.15,48.64,19256754
6,24-Oct-17,49.16,49.28,48.72,48.94,11527916
7,23-Oct-17,49.47,49.69,48.91,48.99,15659974
8,20-Oct-17,49.45,49.59,48.93,49.53,16259580
9,19-Oct-17,50.05,51.18,49.05,49.21,29173869
10,18-Oct-17,48.33,48.85,47.76,48.65,20410445
11,17-Oct-17,48.09,48.49,47.87,48.4,14842814
12,16-Oct-17,47.90,48.35,47.70,48.09,10394675
13,13-Oct-17,48.34,48.48,47.83,47.86,20105054
14,12-Oct-17,48.44,48.85,48.13,48.35,17087942
15,11-Oct-17,49.14,49.32,49.12,49.21,703042
16,10-Oct-17,49.28,49.49,49.06,49.14,10843879
17,9-Oct-17,48.89,49.09,48.65,49.05,10702938
18,6-Oct-17,49.04,49.2,48.66,48.81,13239635
19,5-Oct-17,49.96,50.03,49.68,49.77,12230644
20,4-Oct-17,49.64,50.08,49.38,49.9,9887485
21,3-Oct-17,49.45,50.02,49.43,49.85,10218605
22,2-Oct-17,49.39,49.7,49.25,49.36,9525757
23,29-Sep-17,49.30,49.83,49.01,49.49,13021697
24,28-Sep-17,49.24,49.56,49.14,49.41,8231789
25,27-Sep-17,49.19,49.72,49.12,49.51,13772944
26,26-Sep-17,49.96,50.08,49.40,49.51,12007462
27,25-Sep-17,49.87,50.32,49.74,49.9,13698567
28,22-Sep-17,49.19,50.08,49.02,49.9,20646413
29,21-Sep-17,49.37,49.44,48.84,48.94,14315783
30,20-Sep-17,49.30,49.64,49.08,49.48,18755912
31,19-Sep-17,48.09,49.55,48.01,49.34,30817991
32,18-Sep-17,47.91,48.24,47.51,48.09,18810166
33,15-Sep-17,47.42,47.9,47.06,47.86,24626478
34,14-Sep-17,47.24,47.59,47.01,47.18,11808457
35,13-Sep-17,46.78,47.26,46.68,47.25,12772690
36,12-Sep-17,46.50,46.95,46.38,46.79,11173160
37,11-Sep-17,46.23,46.34,46.12,46.3,11073655
38,8-Sep-17,46.18,46.39,45.71,46.11,14152041
39,7-Sep-17,47.00,47.21,46.07,46.2,16591072
40,6-Sep-17,47.47,47.56,46.62,46.91,14081939
41,5-Sep-17,47.78,47.92,47.30,47.36,10005052
42,1-Sep-17,48.02,48.07,47.77,47.92,11455202
43,31-Aug-17,48.26,48.4,47.93,47.97,14237666
44,30-Aug-17,48.33,48.37,48.00,48.12,10758395
45,29-Aug-17,48.36,48.76,48.33,48.51,6044054
46,28-Aug-17,48.65,48.75,48.31,48.61,6329391
47,25-Aug-17,48.48,48.98,48.43,48.68,9846677
48,24-Aug-17,48.35,48.56,48.18,48.31,8898226
49,23-Aug-17,48.26,48.67,48.19,48.28,8909187
50,22-Aug-17,48.13,48.44,47.78,48.35,11005501
51,21-Aug-17,47.83,48.5,47.68,48.14,10556849
52,18-Aug-17,47.85,47.95,47.51,47.69,16919130
53,17-Aug-17,48.37,48.45,47.89,47.89,10638043
54,16-Aug-17,48.37,48.53,48.22,48.41,9447047
55,15-Aug-17,48.56,48.59,48.19,48.48,11164785
56,14-Aug-17,48.17,48.8,48.15,48.78,11064636
57,11-Aug-17,48.20,48.23,47.70,48.06,10420529
58,10-Aug-17,48.18,48.21,47.86,48.02,13005210
59,9-Aug-17,48.52,48.64,48.08,48.22,18887110
60,8-Aug-17,48.75,48.95,48.43,48.6,10901236
61,7-Aug-17,48.79,48.96,48.68,48.86,10448725
62,4-Aug-17,48.55,48.91,48.14,48.91,13841720
63,3-Aug-17,48.09,48.61,47.94,48.61,15190098
64,2-Aug-17,48.90,48.93,47.90,48.21,19233446
65,1-Aug-17,48.68,49.63,48.53,48.89,33498183
66,31-Jul-17,-,48.57,-,48.4,28456827
67,28-Jul-17,47.70,48.38,47.12,47.94,25296508
68,27-Jul-17,46.26,47.84,45.95,47.81,44702494
69,26-Jul-17,44.80,44.83,44.28,44.4,19045166
70,25-Jul-17,43.90,44.17,43.81,43.98,9818802
71,24-Jul-17,44.15,44.21,43.68,43.71,11895234
72,21-Jul-17,44.23,44.31,43.82,44.23,11426562
73,20-Jul-17,43.50,44.58,43.48,44.22,19309115
74,19-Jul-17,43.35,43.54,43.20,43.45,13940767
75,18-Jul-17,43.66,43.79,43.26,43.36,15417053
76,17-Jul-17,43.63,43.86,43.56,43.66,10804830
77,14-Jul-17,43.63,43.82,43.41,43.56,11986824
78,13-Jul-17,43.15,43.54,43.04,43.49,12140474
79,12-Jul-17,43.04,43.38,43.00,43.22,11388866
80,11-Jul-17,43.21,43.22,42.80,42.89,13249510
81,10-Jul-17,43.48,43.51,43.18,43.2,12272539
82,7-Jul-17,43.53,43.6,43.20,43.48,12198485
83,6-Jul-17,43.97,44.09,43.52,43.52,16854256
84,5-Jul-17,45.05,45.06,44.44,44.65,14853432
85,3-Jul-17,44.61,45.08,44.51,45.0,9732120
86,30-Jun-17,44.62,44.75,44.36,44.66,13368940
87,29-Jun-17,44.80,44.9,44.39,44.41,17913019
88,28-Jun-17,44.98,45.23,44.68,44.84,18703647
89,27-Jun-17,44.97,45.14,44.81,44.84,20187152
90,26-Jun-17,45.45,45.98,45.45,45.75,10105473
91,23-Jun-17,45.43,45.46,45.30,45.39,10069733
92,22-Jun-17,45.47,45.59,45.18,45.42,10511308
93,21-Jun-17,45.95,46.02,45.09,45.41,15027226
94,20-Jun-17,46.40,46.4,45.74,45.94,16756119
95,19-Jun-17,46.63,46.63,46.29,46.57,9773509
96,16-Jun-17,46.86,47.0,46.33,46.63,22573927
97,15-Jun-17,46.58,46.83,46.50,46.64,10984057
98,14-Jun-17,46.63,46.78,46.41,46.69,9817572
99,13-Jun-17,47.30,47.31,46.40,46.46,15194584
100,12-Jun-17,46.80,47.5,46.79,47.19,18929146
101,9-Jun-17,46.17,46.78,46.01,46.72,11698849
102,8-Jun-17,46.50,46.56,46.00,46.19,11717751
103,7-Jun-17,46.52,46.7,46.36,46.5,8648592
104,6-Jun-17,46.37,46.81,46.24,46.44,11610504
105,5-Jun-17,46.17,46.42,46.02,46.37,8538222
106,2-Jun-17,46.63,47.19,46.32,46.44,18552764
107,1-Jun-17,46.71,46.71,46.10,46.51,14219353
108,31-May-17,46.43,46.94,46.26,46.64,22811121
109,30-May-17,45.26,46.33,45.26,46.2,16442303
110,26-May-17,45.25,45.44,45.24,45.32,5999937
111,25-May-17,45.05,45.38,45.01,45.31,11206448
112,24-May-17,45.45,45.49,44.85,45.04,15959059
113,23-May-17,45.48,45.58,45.40,45.48,8066343
114,22-May-17,45.39,45.56,45.28,45.48,9290107
115,19-May-17,45.16,45.44,44.76,45.42,12787845
116,18-May-17,44.50,45.28,44.47,45.04,15648717
117,17-May-17,44.95,44.98,44.46,44.48,21333481
118,16-May-17,45.34,45.65,45.25,45.31,14813517
119,15-May-17,45.91,45.94,45.25,45.38,20379653
120,12-May-17,46.12,46.16,45.80,45.84,14470852
121,11-May-17,46.31,46.37,45.98,46.02,12435758
122,10-May-17,46.40,46.63,46.31,46.38,12669607
123,9-May-17,46.52,46.59,46.16,46.42,14348978
124,8-May-17,46.72,46.74,46.29,46.63,15561716
125,5-May-17,46.08,46.73,46.00,46.69,17132991
126,4-May-17,46.18,46.18,45.76,45.88,20767704
127,3-May-17,46.02,46.25,45.83,46.15,19568103
128,2-May-17,46.00,46.1,45.76,45.91,13397799
129,1-May-17,46.06,46.15,45.88,45.88,14455200
130,28-Apr-17,46.64,46.64,45.89,45.91,25922757
131,27-Apr-17,47.36,47.39,46.66,46.67,16838540
132,26-Apr-17,46.75,47.53,46.62,47.36,29343781
133,25-Apr-17,46.96,47.27,46.58,46.7,30033457
134,24-Apr-17,47.13,47.36,46.96,47.05,23161886
135,21-Apr-17,47.92,48.17,47.13,47.25,31278325
136,20-Apr-17,47.92,48.62,47.71,48.41,30398242
137,19-Apr-17,49.44,49.55,48.89,48.94,18837325
138,18-Apr-17,48.62,49.49,48.54,49.22,19691292
139,17-Apr-17,48.68,49.1,48.68,48.81,10507780
140,13-Apr-17,48.80,48.92,48.57,48.62,9486987
141,12-Apr-17,48.53,48.94,48.34,48.92,10455754
142,11-Apr-17,48.51,48.75,48.30,48.7,13096177
143,10-Apr-17,48.72,48.88,48.45,48.54,10859384
144,7-Apr-17,48.48,48.92,48.26,48.66,17269561
145,6-Apr-17,48.52,48.6,48.17,48.43,18456149
146,5-Apr-17,49.43,49.55,49.01,49.02,14327569
147,4-Apr-17,49.10,49.32,48.88,49.31,8952835
148,3-Apr-17,48.73,49.25,48.59,49.18,14307412
149,31-Mar-17,49.10,49.1,48.75,48.75,19299124
150,30-Mar-17,49.00,49.24,48.90,49.06,11623010
151,29-Mar-17,49.28,49.37,49.03,49.13,11160787
152,28-Mar-17,49.01,49.34,48.67,49.3,12856251
153,27-Mar-17,49.68,49.76,48.92,49.14,13270862
154,24-Mar-17,49.70,49.83,49.50,49.68,9310665
155,23-Mar-17,49.75,49.88,49.42,49.64,9644949
156,22-Mar-17,50.13,50.28,49.40,49.71,14950443
157,21-Mar-17,50.48,50.63,50.12,50.16,15196517
158,20-Mar-17,50.42,50.61,50.14,50.24,9455972
159,17-Mar-17,50.19,50.42,50.02,50.39,21071260
160,16-Mar-17,50.02,50.25,49.85,50.04,10861242
161,15-Mar-17,49.26,50.25,49.26,50.14,12660774
162,14-Mar-17,49.44,49.62,49.25,49.36,8496589
163,13-Mar-17,49.33,49.53,49.13,49.47,10488812
164,10-Mar-17,49.50,49.52,49.10,49.35,11181598
165,9-Mar-17,49.23,49.45,49.08,49.28,10590012
166,8-Mar-17,49.30,49.33,48.90,49.16,14206492
167,7-Mar-17,50.00,50.06,49.36,49.44,12896873
168,6-Mar-17,50.03,50.14,49.84,50.03,10827336
169,3-Mar-17,50.05,50.14,49.80,50.09,11075118
170,2-Mar-17,49.69,50.02,49.60,49.98,10773372
171,1-Mar-17,49.56,49.98,49.37,49.81,16095603
172,28-Feb-17,49.96,50.03,49.41,49.63,17699168
173,27-Feb-17,50.49,50.55,49.80,49.94,14029458
174,24-Feb-17,50.28,50.94,50.28,50.6,14357936
175,23-Feb-17,49.98,50.5,49.67,50.31,16211994
176,22-Feb-17,49.50,49.7,49.48,49.67,13653423
177,21-Feb-17,49.51,49.69,49.23,49.43,19205958
178,17-Feb-17,48.31,49.3,48.13,49.19,23190659
179,16-Feb-17,48.03,48.52,47.89,48.46,18706949
180,15-Feb-17,48.00,48.1,47.80,48.08,19297054
181,14-Feb-17,48.31,48.47,47.99,48.27,20847187
182,13-Feb-17,48.27,48.62,48.08,48.55,18305342
183,10-Feb-17,48.94,49.12,48.69,48.98,12317356
184,9-Feb-17,48.52,48.96,48.41,48.81,13577346
185,8-Feb-17,48.15,48.57,48.10,48.37,13962834
186,7-Feb-17,48.13,48.16,47.80,48.04,12771905
187,6-Feb-17,48.67,48.67,47.94,48.03,16151442
188,3-Feb-17,48.45,48.62,48.33,48.58,15166438
189,2-Feb-17,48.54,48.59,47.90,48.28,17787157
190,1-Feb-17,49.34,49.37,48.25,48.39,26004051
191,31-Jan-17,49.21,49.47,48.93,49.01,16844160
192,30-Jan-17,49.49,49.84,49.18,49.37,12148701
193,27-Jan-17,49.35,49.73,49.27,49.6,18369275
194,26-Jan-17,48.75,49.47,48.51,49.12,37877112
195,25-Jan-17,49.50,49.94,48.84,49.77,30398594
196,24-Jan-17,50.26,50.79,49.79,50.12,43484680
197,23-Jan-17,52.46,52.7,52.18,52.41,15695475
198,20-Jan-17,52.60,53.2,52.56,52.72,15473748
199,19-Jan-17,52.55,52.64,52.18,52.36,13286142
200,18-Jan-17,52.52,52.84,52.21,52.25,12930855
201,17-Jan-17,52.55,52.89,52.50,52.74,11383490
202,13-Jan-17,52.72,52.9,52.41,52.55,9458660
203,12-Jan-17,52.43,52.89,52.26,52.68,11052102
204,11-Jan-17,52.62,52.75,52.24,52.46,16142843
205,10-Jan-17,52.69,53.16,52.02,52.76,11787399
206,9-Jan-17,53.22,53.26,52.67,52.68,14097190
207,6-Jan-17,53.67,53.78,53.10,53.26,15615037
208,5-Jan-17,54.78,54.83,54.30,54.64,13840590
209,4-Jan-17,54.55,54.81,54.33,54.52,18316075
210,3-Jan-17,53.96,54.67,53.73,54.58,22891725
211,30-Dec-16,53.55,53.64,53.17,53.38,12440847
212,29-Dec-16,53.59,53.9,53.51,53.74,7150762
213,28-Dec-16,53.63,53.83,53.37,53.44,6849472
214,27-Dec-16,53.69,53.83,53.44,53.64,6255400
215,23-Dec-16,53.65,53.75,53.44,53.68,7201173
216,22-Dec-16,52.85,53.74,52.72,53.65,11101456
217,21-Dec-16,53.09,53.43,52.97,52.97,9656718
218,20-Dec-16,52.93,53.46,52.93,53.12,10366942
219,19-Dec-16,52.48,53.13,52.09,52.91,13406960
220,16-Dec-16,52.06,52.28,51.86,52.27,21262525
221,15-Dec-16,51.37,52.12,51.24,51.81,13963553
222,14-Dec-16,52.46,52.66,51.40,51.63,19920424
