,Date,Open,High,Low,Close,Volume
0,1-Nov-17,110.50,111.4,110.42,111.07,6167261
1,31-Oct-17,110.58,110.69,108.66,109.98,8002479
2,30-Oct-17,109.67,110.24,108.92,110.04,5148598
3,27-Oct-17,110.07,110.13,108.69,109.71,7862681
4,26-Oct-17,110.38,110.74,109.67,109.8,7380110
5,25-Oct-17,109.41,110.61,108.00,109.49,13261308
6,24-Oct-17,107.56,108.64,107.18,108.41,10511238
7,23-Oct-17,108.05,108.23,107.10,107.53,6316736
8,20-Oct-17,107.70,107.7,106.97,107.55,7848922
9,19-Oct-17,107.27,107.78,106.90,107.02,10840248
10,18-Oct-17,107.62,108.0,107.46,107.8,4817276
11,17-Oct-17,108.25,108.42,107.30,107.54,5979405
12,16-Oct-17,108.79,109.05,107.16,108.3,5552165
13,13-Oct-17,108.50,109.26,108.40,108.66,5154563
14,12-Oct-17,108.50,108.71,107.90,108.11,6496053
15,11-Oct-17,107.70,108.18,107.60,107.99,492980
16,10-Oct-17,107.58,107.6,106.82,107.31,4015646
17,9-Oct-17,106.60,107.65,106.54,107.01,4786966
18,6-Oct-17,106.29,106.96,105.87,106.73,4587001
19,5-Oct-17,105.60,106.25,105.15,106.24,4396081
20,4-Oct-17,105.71,105.74,104.90,105.31,4146782
21,3-Oct-17,105.65,105.9,105.29,105.59,4411064
22,2-Oct-17,105.54,105.99,105.10,105.44,4885565
23,29-Sep-17,104.75,105.43,104.68,105.24,7676288
24,28-Sep-17,103.75,104.98,103.74,104.58,5947771
25,27-Sep-17,103.07,104.12,102.90,103.89,8276543
26,26-Sep-17,103.11,104.02,102.88,102.94,6263608
27,25-Sep-17,105.50,105.65,102.75,103.02,9395348
28,22-Sep-17,105.21,105.68,105.06,105.56,4959424
29,21-Sep-17,105.00,105.61,104.65,105.31,4777558
30,20-Sep-17,105.50,105.76,104.46,104.97,8198591
31,19-Sep-17,105.13,105.93,104.83,105.41,9754361
32,18-Sep-17,105.35,105.52,104.62,104.83,7330304
33,15-Sep-17,105.74,106.14,104.95,105.3,12622921
34,14-Sep-17,105.50,106.84,105.50,106.08,8154048
35,13-Sep-17,106.26,106.26,105.24,105.83,6215736
36,12-Sep-17,106.64,106.64,105.76,106.21,5212380
37,11-Sep-17,105.48,106.15,105.15,106.15,6955980
38,8-Sep-17,104.33,104.77,104.06,104.43,5787188
39,7-Sep-17,103.71,105.44,103.61,104.56,6508616
40,6-Sep-17,103.34,103.74,103.10,103.18,6372227
41,5-Sep-17,103.40,103.46,102.26,103.01,6337523
42,1-Sep-17,104.04,104.08,103.44,103.9,4466772
43,31-Aug-17,104.06,104.19,103.02,103.52,13766043
44,30-Aug-17,103.70,104.0,103.52,103.73,8712708
45,29-Aug-17,102.92,104.07,102.64,103.77,7135312
46,28-Aug-17,103.65,103.83,103.26,103.78,3919911
47,25-Aug-17,103.65,103.88,103.16,103.35,4467738
48,24-Aug-17,103.32,103.5,102.64,103.22,4082263
49,23-Aug-17,103.77,103.97,102.99,103.18,5057189
50,22-Aug-17,103.44,104.2,103.14,104.07,5480959
51,21-Aug-17,102.62,103.35,102.33,103.22,5394959
52,18-Aug-17,102.08,103.09,101.94,102.51,5670884
53,17-Aug-17,103.33,103.53,102.16,102.16,7381557
54,16-Aug-17,102.76,103.93,102.64,103.32,13408343
55,15-Aug-17,102.36,102.78,101.97,102.63,5385990
56,14-Aug-17,100.98,102.11,100.75,101.87,5657604
57,11-Aug-17,99.55,100.3,99.53,100.09,5268197
58,10-Aug-17,100.54,100.88,99.43,99.49,8560754
59,9-Aug-17,100.76,101.3,100.60,100.97,6902137
60,8-Aug-17,101.50,101.72,100.93,101.28,6283690
61,7-Aug-17,100.92,101.54,100.59,101.49,7047112
62,4-Aug-17,100.96,101.34,100.61,100.89,4618021
63,3-Aug-17,100.94,101.1,100.33,100.59,5697526
64,2-Aug-17,101.03,101.28,100.24,101.28,5955622
65,1-Aug-17,100.36,101.06,99.96,100.87,6018133
66,31-Jul-17,-,100.0,-,99.56,7576614
67,28-Jul-17,99.12,99.59,98.51,99.15,6558846
68,27-Jul-17,100.97,101.18,98.55,99.57,10543859
69,26-Jul-17,100.01,100.98,99.86,100.85,7205420
70,25-Jul-17,100.65,100.85,99.80,99.99,6774854
