,Date,Open,High,Low,Close,Volume
0,1-Nov-17,87.07,88.40,87.00,87.94,6176079
1,31-Oct-17,86.86,87.46,86.60,87.31,6006933
2,30-Oct-17,87.94,87.95,86.39,86.95,7051993
3,27-Oct-17,88.14,88.39,87.15,88.17,6617000
4,26-Oct-17,88.66,89.11,88.02,88.62,6484941
5,25-Oct-17,87.85,88.60,87.43,88.48,6408003
6,24-Oct-17,88.69,88.80,87.91,87.98,7700872
7,23-Oct-17,87.34,88.92,87.26,88.65,10586033
8,20-Oct-17,86.60,87.45,86.28,87.44,7617753
9,19-Oct-17,86.15,86.66,85.77,86.4,7028958
10,18-Oct-17,86.15,86.37,86.01,86.22,5472088
11,17-Oct-17,85.50,86.36,85.32,85.98,5851546
12,16-Oct-17,86.58,86.62,85.02,85.74,9300326
13,13-Oct-17,86.24,86.95,86.24,86.62,9389049
14,12-Oct-17,85.70,86.37,85.06,86.1,12876987
15,11-Oct-17,84.58,84.80,84.10,84.63,1712675
16,10-Oct-17,82.68,84.88,82.61,84.13,25123962
17,9-Oct-17,79.50,81.38,79.40,80.53,13493044
18,6-Oct-17,78.78,79.17,78.25,79.0,6246655
19,5-Oct-17,79.17,79.81,79.08,79.41,5138671
20,4-Oct-17,79.27,79.78,79.07,79.09,6173376
21,3-Oct-17,78.83,79.66,78.75,79.22,7936742
22,2-Oct-17,77.90,78.83,77.50,78.45,7709220
23,29-Sep-17,78.85,79.00,77.98,78.14,10353361
24,28-Sep-17,79.00,79.08,78.12,78.95,12372825
25,27-Sep-17,79.42,79.57,78.67,79.29,6238543
26,26-Sep-17,79.04,79.54,78.92,79.39,5835332
27,25-Sep-17,78.92,80.10,78.86,79.15,8547808
28,22-Sep-17,79.89,80.08,79.24,79.53,5755262
29,21-Sep-17,80.57,80.57,79.72,80.01,6430256
30,20-Sep-17,80.17,80.56,79.87,80.5,5318194
31,19-Sep-17,80.18,80.46,79.70,80.05,6174358
32,18-Sep-17,80.21,81.12,79.95,80.0,8176067
33,15-Sep-17,79.81,80.75,79.27,80.38,13317757
34,14-Sep-17,79.79,79.82,79.22,79.68,6939333
35,13-Sep-17,79.61,80.68,79.59,79.86,8823746
36,12-Sep-17,79.30,79.91,79.17,79.61,6004985
37,11-Sep-17,79.15,79.35,78.66,79.08,7000240
38,8-Sep-17,79.74,79.88,77.73,78.88,9999593
39,7-Sep-17,80.32,80.76,80.00,80.12,6820752
40,6-Sep-17,79.88,80.40,79.72,80.08,8426125
41,5-Sep-17,77.95,79.89,77.90,79.8,12068490
42,1-Sep-17,78.31,78.50,78.21,78.37,6474360
43,31-Aug-17,78.60,78.75,78.06,78.07,8194750
44,30-Aug-17,78.82,79.10,78.52,78.54,5829829
45,29-Aug-17,77.67,78.98,77.50,78.77,7665191
46,28-Aug-17,78.41,78.46,77.86,78.03,8621494
47,25-Aug-17,78.50,79.09,78.48,78.63,9902189
48,24-Aug-17,80.61,80.88,77.85,78.34,19128041
49,23-Aug-17,80.35,80.56,79.88,79.96,7799306
50,22-Aug-17,79.80,80.16,79.71,80.02,6546099
51,21-Aug-17,79.12,80.07,78.79,79.71,9613928
52,18-Aug-17,79.62,80.35,79.28,79.31,9752957
53,17-Aug-17,78.85,79.80,78.33,79.7,17293701
54,16-Aug-17,81.27,81.44,80.54,80.98,11535953
55,15-Aug-17,80.83,81.40,80.54,80.77,7066058
56,14-Aug-17,80.59,81.24,80.50,80.7,7792028
57,11-Aug-17,80.73,81.25,80.36,80.4,7905495
58,10-Aug-17,81.07,81.40,80.55,80.66,8044995
59,9-Aug-17,81.11,81.99,80.90,81.61,6606508
60,8-Aug-17,81.17,81.86,80.90,81.59,7381407
61,7-Aug-17,80.57,81.45,80.54,81.28,5484512
62,4-Aug-17,81.06,81.40,80.21,80.48,7141805
63,3-Aug-17,81.34,81.76,80.67,80.87,9946948
