,Date,Open,High,Low,Close,Volume
0,1-Nov-17,83.39,83.94,83.26,83.87,9429983
1,31-Oct-17,83.65,83.68,83.17,83.35,9754213
2,30-Oct-17,83.71,83.95,83.41,83.54,7811142
3,27-Oct-17,83.00,84.24,82.01,83.71,14866246
4,26-Oct-17,83.37,83.65,83.11,83.47,9154478
5,25-Oct-17,83.45,83.73,82.95,83.17,9153318
6,24-Oct-17,83.55,83.81,83.31,83.47,7551187
7,23-Oct-17,83.15,83.76,83.04,83.24,9829896
8,20-Oct-17,82.85,83.13,82.62,83.11,9574086
9,19-Oct-17,82.35,83.05,82.33,82.74,7945461
10,18-Oct-17,82.96,83.39,82.54,82.76,6367060
11,17-Oct-17,82.63,82.97,82.54,82.96,6444106
12,16-Oct-17,82.70,82.95,82.54,82.81,5734007
13,13-Oct-17,82.73,83.08,82.36,82.41,7180046
14,12-Oct-17,82.31,82.5,82.17,82.43,6647544
15,11-Oct-17,82.16,82.45,82.14,82.22,460321
16,10-Oct-17,82.34,82.74,82.09,82.26,7218534
17,9-Oct-17,81.84,82.18,81.76,82.03,7489884
18,6-Oct-17,81.77,81.89,81.36,81.71,6070620
19,5-Oct-17,81.72,82.24,81.59,82.02,7375872
20,4-Oct-17,81.80,81.87,81.45,81.79,6357088
21,3-Oct-17,81.41,81.97,81.30,81.76,6081997
22,2-Oct-17,81.30,81.82,81.24,81.63,6777857
23,29-Sep-17,81.94,82.06,81.58,81.98,9943991
24,28-Sep-17,81.63,82.45,81.56,82.19,15581727
25,27-Sep-17,80.89,81.45,80.79,81.43,9575460
26,26-Sep-17,80.71,81.0,80.56,80.89,8755080
27,25-Sep-17,80.03,81.0,79.98,80.98,10496637
28,22-Sep-17,79.72,80.3,79.67,79.92,10205789
29,21-Sep-17,80.49,80.53,79.76,79.89,11984170
30,20-Sep-17,80.28,80.66,80.26,80.55,10606860
31,19-Sep-17,80.06,80.39,79.98,80.22,9277072
32,18-Sep-17,79.79,80.14,79.70,80.09,8594362
33,15-Sep-17,80.12,80.21,79.55,80.07,16043707
34,14-Sep-17,79.85,80.23,79.77,80.09,9072627
35,13-Sep-17,79.50,79.77,79.38,79.77,8369659
36,12-Sep-17,79.40,79.69,79.24,79.5,7644403
37,11-Sep-17,79.41,79.42,78.90,79.25,12955773
38,8-Sep-17,79.01,79.04,78.63,78.82,8436033
39,7-Sep-17,79.02,79.33,78.61,79.03,9836447
40,6-Sep-17,77.89,79.22,77.58,78.78,18574383
41,5-Sep-17,76.64,77.36,76.61,77.18,12784845
42,1-Sep-17,76.37,76.85,76.32,76.57,7361092
43,31-Aug-17,76.27,76.49,76.05,76.33,15641735
44,30-Aug-17,76.24,76.45,76.06,76.1,8217965
45,29-Aug-17,76.21,76.49,76.08,76.45,7060375
46,28-Aug-17,76.90,76.94,76.26,76.47,8229665
47,25-Aug-17,76.56,77.13,76.43,76.72,6844875
48,24-Aug-17,76.50,76.65,76.20,76.33,8678316
49,23-Aug-17,76.70,77.01,76.47,76.61,7054254
50,22-Aug-17,76.55,77.34,76.53,76.74,9503600
51,21-Aug-17,76.47,76.62,76.08,76.38,10084930
52,18-Aug-17,76.18,77.11,76.05,76.64,14324342
53,17-Aug-17,77.26,77.28,76.21,76.26,13400356
54,16-Aug-17,78.04,78.17,77.31,77.47,9117145
55,15-Aug-17,78.12,78.25,77.68,78.04,10350948
56,14-Aug-17,78.62,78.79,78.12,78.23,8862475
57,11-Aug-17,79.21,79.25,78.20,78.21,10192375
58,10-Aug-17,79.76,79.78,78.91,78.97,12580300
59,9-Aug-17,80.25,80.35,79.78,80.21,8087101
60,8-Aug-17,80.02,80.22,79.83,79.96,9028396
61,7-Aug-17,80.17,80.17,79.86,80.16,7893753
62,4-Aug-17,80.44,80.56,80.05,80.21,8292204
63,3-Aug-17,80.34,80.82,80.30,80.49,10136708
64,2-Aug-17,79.90,80.64,79.80,80.6,10410075
65,1-Aug-17,80.16,80.54,79.97,80.17,10421212
66,31-Jul-17,-,80.39,-,80.04,12820175
67,28-Jul-17,79.65,79.92,78.27,79.6,22800785
68,27-Jul-17,80.24,80.88,79.90,80.83,11149690
69,26-Jul-17,80.58,80.9,80.20,80.37,10465120
70,25-Jul-17,80.77,81.05,80.27,80.27,11465272
71,24-Jul-17,80.06,80.22,79.76,79.87,9402997
72,21-Jul-17,80.65,80.84,80.00,80.12,12268605
73,20-Jul-17,80.97,81.49,80.75,80.86,9680965
74,19-Jul-17,80.44,80.87,80.27,80.85,9393178
75,18-Jul-17,81.02,81.08,80.41,80.6,8046119
76,17-Jul-17,81.00,81.43,80.83,80.86,7914701
77,14-Jul-17,81.00,81.41,80.77,81.28,7497160
78,13-Jul-17,80.97,81.09,80.73,80.97,5582349
