,compound,neg,neu,pos,today price,y_price (next day),today-1price,today-2price,today-3price,today-4price,today-5price
0,-0.25,0.083,0.873,0.044,169.87,166.89,166.72,163.05,157.41,156.41,157.1
1,0.296,0.0,0.927,0.073,169.87,166.89,166.72,163.05,157.41,156.41,157.1
2,0.296,0.0,0.932,0.068,169.87,166.89,166.72,163.05,157.41,156.41,157.1
3,0.7717,0.031,0.78,0.189,169.87,166.89,166.72,163.05,157.41,156.41,157.1
4,0.7717,0.029,0.792,0.179,169.87,166.89,166.72,163.05,157.41,156.41,157.1
5,0.296,0.0,0.932,0.068,169.87,166.89,166.72,163.05,157.41,156.41,157.1
6,-0.25,0.08,0.878,0.042,169.87,166.89,166.72,163.05,157.41,156.41,157.1
7,-0.25,0.08,0.878,0.042,169.87,166.89,166.72,163.05,157.41,156.41,157.1
8,0.872,0.035,0.611,0.354,169.87,166.89,166.72,163.05,157.41,156.41,157.1
9,0.6705,0.0,0.835,0.165,169.87,166.89,166.72,163.05,157.41,156.41,157.1
10,0.1779,0.056,0.861,0.082,167.9,169.04,163.05,157.41,156.41,157.1,156.17
11,0.0,0.0,1.0,0.0,167.9,169.04,163.05,157.41,156.41,157.1,156.17
12,0.1779,0.052,0.871,0.077,167.9,169.04,163.05,157.41,156.41,157.1,156.17
13,0.0,0.0,1.0,0.0,167.9,169.04,163.05,157.41,156.41,157.1,156.17
14,0.4215,0.035,0.888,0.077,167.9,169.04,163.05,157.41,156.41,157.1,156.17
15,-0.128,0.053,0.947,0.0,167.9,169.04,163.05,157.41,156.41,157.1,156.17
16,0.7269,0.0,0.827,0.173,167.9,169.04,163.05,157.41,156.41,157.1,156.17
17,0.5574,0.0,0.884,0.116,167.9,169.04,163.05,157.41,156.41,157.1,156.17
18,0.7003,0.0,0.815,0.185,167.9,169.04,163.05,157.41,156.41,157.1,156.17
19,-0.128,0.111,0.889,0.0,163.89,166.72,157.41,156.41,157.1,156.17,156.25
20,0.0516,0.098,0.824,0.077,163.89,166.72,157.41,156.41,157.1,156.17,156.25
21,0.5267,0.086,0.632,0.282,163.89,166.72,157.41,156.41,157.1,156.17,156.25
22,0.1531,0.064,0.856,0.08,163.89,166.72,157.41,156.41,157.1,156.17,156.25
23,0.0,0.0,1.0,0.0,163.89,166.72,157.41,156.41,157.1,156.17,156.25
24,0.0,0.0,1.0,0.0,163.89,166.72,157.41,156.41,157.1,156.17,156.25
25,0.0,0.0,1.0,0.0,159.29,163.05,156.41,157.1,156.17,156.25,155.98
26,-0.0516,0.168,0.671,0.162,159.29,163.05,156.41,157.1,156.17,156.25,155.98
27,0.4019,0.0,0.787,0.213,159.29,163.05,156.41,157.1,156.17,156.25,155.98
28,-0.34,0.074,0.926,0.0,157.23,157.41,157.1,156.17,156.25,155.98,159.76
29,-0.34,0.07,0.93,0.0,157.23,157.41,157.1,156.17,156.25,155.98,159.76
30,-0.2732,0.196,0.694,0.11,157.23,157.41,157.1,156.17,156.25,155.98,159.76
31,-0.4215,0.177,0.823,0.0,157.23,157.41,157.1,156.17,156.25,155.98,159.76
32,0.0,0.0,1.0,0.0,157.23,157.41,157.1,156.17,156.25,155.98,159.76
33,0.0,0.0,1.0,0.0,157.23,157.41,157.1,156.17,156.25,155.98,159.76
34,0.0,0.0,1.0,0.0,157.23,157.41,157.1,156.17,156.25,155.98,159.76
