,compound,neg,neu,pos,today price,y_price (next day),today-1price,today-2price,today-3price,today-4price,today-5price
0,-0.4939,0.127,0.873,0.0,12.45,12.0,14.25,14.1,13.81,13.95,14.07
1,0.0,0.0,1.0,0.0,12.45,12.0,14.25,14.1,13.81,13.95,14.07
2,0.0,0.0,1.0,0.0,12.45,12.0,14.25,14.1,13.81,13.95,14.07
3,-0.2732,0.181,0.702,0.117,12.95,12.33,14.1,13.81,13.95,14.07,14.16
4,0.296,0.0,0.804,0.196,12.95,12.33,14.1,13.81,13.95,14.07,14.16
5,0.4404,0.0,0.905,0.095,12.95,12.33,14.1,13.81,13.95,14.07,14.16
6,-0.2764,0.114,0.831,0.055,13.2,13.3,13.74,13.12,13.08,12.52,12.26
7,-0.2764,0.108,0.84,0.052,13.2,13.3,13.74,13.12,13.08,12.52,12.26
8,-0.5859,0.156,0.844,0.0,13.2,13.3,13.74,13.12,13.08,12.52,12.26
9,-0.3578,0.114,0.836,0.051,13.2,13.3,13.74,13.12,13.08,12.52,12.26
10,0.6369,0.0,0.819,0.181,14.0,13.41,13.12,13.08,12.52,12.26,12.22
11,0.6369,0.0,0.829,0.171,14.0,13.41,13.12,13.08,12.52,12.26,12.22
12,0.0,0.0,1.0,0.0,14.0,13.41,13.12,13.08,12.52,12.26,12.22
13,0.765,0.0,0.767,0.233,12.0,12.15,12.43,12.5,12.48,12.17,12.05
14,0.4404,0.046,0.821,0.134,15.13,14.76,14.16,13.88,13.8,13.55,13.48
15,0.4404,0.043,0.831,0.126,15.13,14.76,14.16,13.88,13.8,13.55,13.48
16,0.4767,0.0,0.86,0.14,15.13,14.76,14.16,13.88,13.8,13.55,13.48
17,0.4588,0.045,0.818,0.136,15.13,14.76,14.16,13.88,13.8,13.55,13.48
18,0.5859,0.0,0.806,0.194,11.66,11.44,11.77,11.96,12.09,12.28,12.9
19,0.0,0.0,1.0,0.0,13.02,13.1,13.52,13.27,14.17,14.16,14.64
20,0.765,0.0,0.725,0.275,13.7,14.1,14.4,13.49,13.65,13.98,14.1
21,0.2732,0.0,0.938,0.062,13.68,14.4,13.65,13.98,14.1,14.28,13.91
22,0.1027,0.0,0.896,0.104,14.0,14.1,13.91,13.33,13.22,13.05,13.04
23,0.0,0.0,1.0,0.0,15.45,14.46,14.12,14.32,14.28,14.0,13.13
24,0.0516,0.117,0.72,0.163,10.9,12.06,10.61,10.67,10.52,10.35,10.44
25,0.6124,0.089,0.728,0.183,10.9,12.06,10.61,10.67,10.52,10.35,10.44
26,0.6124,0.094,0.714,0.192,10.9,12.06,10.61,10.67,10.52,10.35,10.44
27,0.0,0.0,1.0,0.0,10.9,12.06,10.61,10.67,10.52,10.35,10.44
28,0.6124,0.098,0.699,0.202,10.9,12.06,10.61,10.67,10.52,10.35,10.44
29,0.6124,0.094,0.714,0.192,10.9,12.06,10.61,10.67,10.52,10.35,10.44
