,compound,neg,neu,pos,today price,y_price (next day),today-1price,today-2price,today-3price,today-4price,today-5price
0,0.1779,0.0,0.931,0.069,1105.4,1103.68,1110.85,1100.95,972.43,972.91,975.9
1,0.5423,0.044,0.817,0.139,1109.0,1105.28,1100.95,972.43,972.91,975.9,966.3
2,0.5423,0.041,0.827,0.132,1109.0,1105.28,1100.95,972.43,972.91,975.9,966.3
3,0.4588,0.0,0.667,0.333,1109.0,1105.28,1100.95,972.43,972.91,975.9,966.3
4,0.2732,0.0,0.807,0.193,1109.0,1105.28,1100.95,972.43,972.91,975.9,966.3
5,0.7964,0.0,0.776,0.224,1095.01,1110.85,972.43,972.91,975.9,966.3,982.91
6,0.7964,0.0,0.776,0.224,1095.01,1110.85,972.43,972.91,975.9,966.3,982.91
7,0.0,0.0,1.0,0.0,1095.01,1110.85,972.43,972.91,975.9,966.3,982.91
8,-0.4215,0.16,0.84,0.0,1095.01,1110.85,972.43,972.91,975.9,966.3,982.91
9,0.0,0.0,1.0,0.0,1095.01,1110.85,972.43,972.91,975.9,966.3,982.91
10,0.0,0.0,1.0,0.0,1095.01,1110.85,972.43,972.91,975.9,966.3,982.91
11,0.4404,0.0,0.929,0.071,1095.01,1110.85,972.43,972.91,975.9,966.3,982.91
12,0.4404,0.0,0.931,0.069,1095.01,1110.85,972.43,972.91,975.9,966.3,982.91
13,0.5574,0.0,0.787,0.213,1058.14,1100.95,972.91,975.9,966.3,982.91,986.61
14,0.7964,0.038,0.742,0.22,1058.14,1100.95,972.91,975.9,966.3,982.91,986.61
15,0.7184,0.0,0.75,0.25,1058.14,1100.95,972.91,975.9,966.3,982.91,986.61
16,0.3612,0.0,0.906,0.094,1058.14,1100.95,972.91,975.9,966.3,982.91,986.61
17,0.4404,0.059,0.804,0.137,1058.14,1100.95,972.91,975.9,966.3,982.91,986.61
18,0.6808,0.0,0.682,0.318,1058.14,1100.95,972.91,975.9,966.3,982.91,986.61
19,-0.2732,0.149,0.851,0.0,980.33,972.43,975.9,966.3,982.91,986.61,997.0
20,-0.2732,0.139,0.861,0.0,980.33,972.43,975.9,966.3,982.91,986.61,997.0
21,0.6249,0.0,0.825,0.175,980.33,972.43,975.9,966.3,982.91,986.61,997.0
22,0.6249,0.0,0.836,0.164,980.33,972.43,975.9,966.3,982.91,986.61,997.0
23,-0.1027,0.129,0.758,0.114,980.33,972.43,975.9,966.3,982.91,986.61,997.0
