,compound,neg,neu,pos,today price,y_price (next day),today-1price,today-2price,today-3price,today-4price,today-5price
0,0.0,0.0,1.0,0.0,34.41,34.27,34.58,34.35,34.25,33.75,33.55
1,0.3182,0.0,0.916,0.084,34.41,34.27,34.58,34.35,34.25,33.75,33.55
2,0.5994,0.0,0.874,0.126,34.73,34.3,34.35,34.25,33.75,33.55,33.6
3,0.0,0.0,1.0,0.0,34.4,34.58,34.25,33.75,33.55,33.6,33.54
4,0.5994,0.0,0.877,0.123,34.4,34.58,34.25,33.75,33.55,33.6,33.54
5,0.0,0.0,1.0,0.0,34.4,34.58,34.25,33.75,33.55,33.6,33.54
6,0.1779,0.044,0.889,0.067,34.4,34.58,34.25,33.75,33.55,33.6,33.54
7,0.5994,0.0,0.71,0.29,34.4,34.58,34.25,33.75,33.55,33.6,33.54
8,0.1027,0.075,0.838,0.087,34.4,34.58,34.25,33.75,33.55,33.6,33.54
9,0.0258,0.0,0.97,0.03,34.4,34.58,34.25,33.75,33.55,33.6,33.54
10,0.0,0.0,1.0,0.0,32.46,32.49,32.44,32.19,32.18,32.41,32.19
11,0.0,0.0,1.0,0.0,32.46,32.49,32.44,32.19,32.18,32.41,32.19
12,0.4767,0.0,0.914,0.086,32.46,32.49,32.44,32.19,32.18,32.41,32.19
13,0.0,0.0,1.0,0.0,32.46,32.49,32.44,32.19,32.18,32.41,32.19
14,0.4215,0.0,0.823,0.177,32.43,32.52,32.19,32.18,32.41,32.19,31.48
15,0.0,0.0,1.0,0.0,32.43,32.52,32.19,32.18,32.41,32.19,31.48
16,0.296,0.0,0.845,0.155,31.91,32.19,32.41,32.19,31.48,31.76,31.87
17,0.0,0.0,1.0,0.0,31.39,31.44,30.92,31.27,30.68,30.37,31.04
18,0.0,0.0,1.0,0.0,30.85,31.27,30.37,31.04,32.34,32.09,31.84
19,0.0516,0.072,0.85,0.078,31.0,30.37,32.34,32.09,31.84,31.47,31.0
20,0.0516,0.067,0.859,0.074,31.49,31.04,32.09,31.84,31.47,31.0,31.62
21,0.765,0.065,0.765,0.17,32.1,32.34,31.84,31.47,31.0,31.62,31.67
22,0.0,0.0,1.0,0.0,31.45,31.52,31.66,32.12,31.86,31.84,31.86
23,-0.8316,0.253,0.747,0.0,31.86,31.86,31.86,31.9,31.51,31.5,31.42
24,-0.8316,0.24,0.76,0.0,31.86,31.86,31.86,31.9,31.51,31.5,31.42
25,-0.8316,0.253,0.747,0.0,31.86,31.84,31.9,31.51,31.5,31.42,31.27
26,-0.8316,0.24,0.76,0.0,31.86,31.84,31.9,31.51,31.5,31.42,31.27
27,0.4019,0.0,0.924,0.076,32.09,31.76,32.09,31.85,31.84,31.85,31.99
28,0.4019,0.0,0.928,0.072,32.09,31.76,32.09,31.85,31.84,31.85,31.99
