,compound,neg,neu,pos,today price,y_price (next day),today-1price,today-2price,today-3price,today-4price,today-5price
0,-0.7184,0.175,0.825,0.0,1036.32,1042.6,1033.13,1033.67,991.42,991.46,988.49
1,-0.7184,0.167,0.833,0.0,1036.32,1042.6,1033.13,1033.67,991.42,991.46,988.49
2,-0.4019,0.13,0.87,0.0,1029.16,1033.13,991.42,991.46,988.49,985.54,1005.07
3,0.5574,0.0,0.863,0.137,1029.16,1033.13,991.42,991.46,988.49,985.54,1005.07
4,0.0,0.0,1.0,0.0,1029.16,1033.13,991.42,991.46,988.49,985.54,1005.07
5,0.296,0.0,0.804,0.196,1030.99,1033.67,991.46,988.49,985.54,1005.07,1001.84
6,0.34,0.0,0.888,0.112,1030.99,1033.67,991.46,988.49,985.54,1005.07,1001.84
7,-0.4019,0.097,0.903,0.0,1030.99,1033.67,991.46,988.49,985.54,1005.07,1001.84
8,-0.4019,0.091,0.909,0.0,1030.99,1033.67,991.46,988.49,985.54,1005.07,1001.84
9,-0.1027,0.059,0.893,0.048,1005.18,985.54,1001.84,1012.74,1011.0,1009.35,1007.87
10,-0.1027,0.056,0.898,0.046,1005.18,985.54,1001.84,1012.74,1011.0,1009.35,1007.87
11,-0.2263,0.06,0.94,0.0,1005.18,985.54,1001.84,1012.74,1011.0,1009.35,1007.87
12,0.3182,0.0,0.947,0.053,1005.18,985.54,1001.84,1012.74,1011.0,1009.35,1007.87
13,0.2023,0.0,0.938,0.063,1005.18,985.54,1001.84,1012.74,1011.0,1009.35,1007.87
14,0.3182,0.0,0.948,0.052,1007.05,1005.07,1012.74,1011.0,1009.35,1007.87,1005.65
15,0.6124,0.0,0.868,0.132,1007.05,1005.07,1012.74,1011.0,1009.35,1007.87,1005.65
16,0.4019,0.0,0.899,0.101,1011.05,1012.74,1009.35,1007.87,1005.65,1005.65,987.8
17,0.4019,0.0,0.906,0.094,1011.05,1012.74,1009.35,1007.87,1005.65,1005.65,987.8
18,0.5994,0.045,0.807,0.149,1011.05,1012.74,1009.35,1007.87,1005.65,1005.65,987.8
19,0.4215,0.0,0.891,0.109,1009.63,1009.35,1005.65,1005.65,987.8,992.31,993.64
20,0.0,0.0,1.0,0.0,956.25,964.81,937.43,934.28,943.26,947.55,947.54
21,0.0258,0.095,0.807,0.097,939.45,934.28,947.55,947.54,936.86,929.75,935.29
22,0.0,0.0,1.0,0.0,942.77,943.26,947.54,936.86,929.75,935.29,940.13
