,compound,neg,neu,pos,today price,y_price (next day),today-1price,today-2price,today-3price,today-4price,today-5price
0,0.4019,0.0,0.803,0.197,154.10,154.03,154.36,153.68,153.6,153.5,155.88
1,-0.2263,0.058,0.942,0.0,154.10,154.03,154.36,153.68,153.6,153.5,155.88
2,0.0,0.0,1.0,0.0,154.33,154.06,153.68,153.6,153.5,155.88,159.55
3,0.802,0.0,0.796,0.204,156.01,153.5,159.55,162.07,160.9,159.53,146.54
4,0.4019,0.0,0.803,0.197,159.80,160.9,146.54,146.83,147.1,147.03,148.04
5,0.3818,0.0,0.931,0.069,159.80,160.9,146.54,146.83,147.1,147.03,148.04
6,0.0,0.0,1.0,0.0,159.80,160.9,146.54,146.83,147.1,147.03,148.04
7,-0.5719,0.222,0.778,0.0,159.80,160.9,146.54,146.83,147.1,147.03,148.04
8,0.0,0.0,1.0,0.0,159.80,160.9,146.54,146.83,147.1,147.03,148.04
9,0.0,0.0,1.0,0.0,159.80,160.9,146.54,146.83,147.1,147.03,148.04
10,0.6808,0.0,0.849,0.151,159.80,160.9,146.54,146.83,147.1,147.03,148.04
11,0.0,0.0,1.0,0.0,159.80,160.9,146.54,146.83,147.1,147.03,148.04
12,0.5106,0.0,0.87,0.13,159.80,160.9,146.54,146.83,147.1,147.03,148.04
13,0.6124,0.0,0.868,0.132,157.12,159.53,146.83,147.1,147.03,148.04,148.5
14,0.296,0.0,0.879,0.121,157.12,159.53,146.83,147.1,147.03,148.04,148.5
15,0.296,0.0,0.82,0.18,157.12,159.53,146.83,147.1,147.03,148.04,148.5
16,0.1531,0.121,0.742,0.137,157.12,159.53,146.83,147.1,147.03,148.04,148.5
17,0.0,0.0,1.0,0.0,148.40,148.04,147.39,146.48,146.72,146.48,146.78
18,0.0,0.0,1.0,0.0,145.33,145.66,146.56,145.87,145.13,145.26,145.88
19,0.0,0.0,1.0,0.0,145.33,145.66,146.56,145.87,145.13,145.26,145.88
20,0.6249,0.0,0.788,0.212,145.35,145.99,144.86,142.45,142.9,143.82,143.04
21,0.7096,0.0,0.742,0.258,142.10,143.14,143.74,142.94,142.14,141.01,140.33
22,0.0,0.0,1.0,0.0,142.10,143.14,143.74,142.94,142.14,141.01,140.33
23,0.8126,0.0,0.823,0.177,140.70,142.14,140.33,139.7,140.7,142.5,142.07
24,0.8126,0.0,0.83,0.17,140.70,142.14,140.33,139.7,140.7,142.5,142.07
25,0.8126,0.0,0.83,0.17,140.70,142.14,140.33,139.7,140.7,142.5,142.07
26,0.296,0.0,0.804,0.196,142.55,142.07,141.84,141.84,141.77,142.11,143.47
27,0.3182,0.0,0.905,0.095,146.27,145.36,145.99,147.08,147.66,147.53,154.0
28,0.9118,0.0,0.638,0.362,146.27,145.36,145.99,147.08,147.66,147.53,154.0
29,0.296,0.0,0.872,0.128,146.27,145.36,145.99,147.08,147.66,147.53,154.0
30,0.3612,0.046,0.853,0.101,147.53,147.66,154.0,153.01,154.24,153.63,153.7
31,-0.1531,0.151,0.849,0.0,147.53,147.66,154.0,153.01,154.24,153.63,153.7
