,compound,neg,neu,pos,today price,y_price (next day),today-1price,today-2price,today-3price,today-4price,today-5price
0,0.296,0.0,0.927,0.073,45.97,46.71,44.37,44.4,41.35,40.78,40.95
1,0.296,0.0,0.932,0.068,45.97,46.71,44.37,44.4,41.35,40.78,40.95
2,0.296,0.0,0.932,0.068,45.97,46.71,44.37,44.4,41.35,40.78,40.95
3,0.0258,0.0,0.974,0.026,44.48,44.37,41.35,40.78,40.95,40.83,40.43
4,0.0258,0.0,0.975,0.025,44.48,44.37,41.35,40.78,40.95,40.83,40.43
5,0.0,0.0,1.0,0.0,44.48,44.37,41.35,40.78,40.95,40.83,40.43
6,0.0,0.0,1.0,0.0,44.48,44.37,41.35,40.78,40.95,40.83,40.43
7,0.8316,0.0,0.694,0.306,43.3,44.4,40.78,40.95,40.83,40.43,40.09
8,0.0,0.0,1.0,0.0,43.3,44.4,40.78,40.95,40.83,40.43,40.09
9,0.296,0.0,0.855,0.145,43.3,44.4,40.78,40.95,40.83,40.43,40.09
10,0.8316,0.0,0.754,0.246,43.3,44.4,40.78,40.95,40.83,40.43,40.09
11,0.34,0.0,0.876,0.124,41.0,40.95,40.43,40.09,40.25,39.79,39.76
12,0.0,0.0,1.0,0.0,39.8,40.25,39.76,39.67,39.19,39.3,39.65
13,0.0,0.0,1.0,0.0,39.48,39.3,39.86,39.63,39.53,39.34,39.38
14,0.0,0.0,1.0,0.0,39.48,39.3,39.86,39.63,39.53,39.34,39.38
15,0.296,0.0,0.761,0.239,37.84,38.08,37.54,37.47,37.16,37.18,37.2
16,0.4215,0.0,0.912,0.088,37.62,37.54,37.16,37.18,37.2,37.07,37.23
17,0.4215,0.0,0.917,0.083,37.62,37.54,37.16,37.18,37.2,37.07,37.23
18,0.7184,0.09,0.656,0.254,37.62,37.54,37.16,37.18,37.2,37.07,37.23
19,0.0,0.0,1.0,0.0,37.62,37.54,37.16,37.18,37.2,37.07,37.23
20,0.0,0.0,1.0,0.0,36.99,37.2,37.23,37.0,37.0,36.48,36.33
21,0.2732,0.0,0.932,0.068,37.23,37.07,37.0,37.0,36.48,36.33,36.09
22,0.2263,0.0,0.95,0.05,37.2,37.23,37.0,36.48,36.33,36.09,35.77
23,0.2263,0.0,0.952,0.048,37.2,37.23,37.0,36.48,36.33,36.09,35.77
24,0.0,0.0,1.0,0.0,37.2,37.23,37.0,36.48,36.33,36.09,35.77
25,0.2263,0.0,0.952,0.048,37.2,37.23,37.0,36.48,36.33,36.09,35.77
26,0.0,0.0,1.0,0.0,37.2,37.23,37.0,36.48,36.33,36.09,35.77
27,0.0,0.0,1.0,0.0,36.55,37.0,36.33,36.09,35.77,35.19,35.54
28,0.0,0.0,1.0,0.0,36.55,37.0,36.33,36.09,35.77,35.19,35.54
29,0.4854,0.0,0.897,0.103,36.55,37.0,36.33,36.09,35.77,35.19,35.54
30,0.0,0.0,1.0,0.0,36.55,37.0,36.33,36.09,35.77,35.19,35.54
31,0.0,0.0,1.0,0.0,36.55,37.0,36.33,36.09,35.77,35.19,35.54
32,0.8316,0.0,0.718,0.282,35.88,36.09,35.19,35.54,35.76,35.02,35.09
33,0.8316,0.0,0.718,0.282,35.88,36.09,35.19,35.54,35.76,35.02,35.09
34,0.8316,0.0,0.734,0.266,35.88,36.09,35.19,35.54,35.76,35.02,35.09
35,0.2023,0.0,0.927,0.073,34.51,34.73,34.67,34.71,34.66,34.65,34.92
36,0.4767,0.0,0.912,0.088,34.7,34.71,34.65,34.92,35.01,35.17,35.81
37,0.0,0.0,1.0,0.0,34.54,34.66,34.92,35.01,35.17,35.81,36.0
38,0.0,0.0,1.0,0.0,35.02,34.65,35.01,35.17,35.81,36.0,36.34
39,0.0,0.0,1.0,0.0,35.09,34.92,35.17,35.81,36.0,36.34,35.87
40,0.0258,0.125,0.723,0.152,35.09,34.92,35.17,35.81,36.0,36.34,35.87
41,0.0258,0.119,0.736,0.145,35.09,34.92,35.17,35.81,36.0,36.34,35.87
42,0.0,0.0,1.0,0.0,35.6,35.17,36.0,36.34,35.87,36.14,36.59
