,compound,neg,neu,pos,today price,y_price (next day),today-1price,today-2price,today-3price,today-4price,today-5price
0,0.3034,0.0,0.878,0.122,83.68,83.18,83.89,83.81,78.76,78.63,78.86
1,0.4767,0.0,0.909,0.091,83.68,83.18,83.89,83.81,78.76,78.63,78.86
2,-0.4588,0.132,0.868,0.0,83.68,83.18,83.89,83.81,78.76,78.63,78.86
3,0.0,0.0,1.0,0.0,84.36,83.18,83.81,78.76,78.63,78.86,78.83
4,0.0,0.0,1.0,0.0,83.7,83.89,78.76,78.63,78.86,78.83,78.81
5,-0.4215,0.174,0.826,0.0,83.7,83.89,78.76,78.63,78.86,78.83,78.81
6,0.0,0.0,1.0,0.0,83.7,83.89,78.76,78.63,78.86,78.83,78.81
7,0.0,0.0,1.0,0.0,83.7,83.89,78.76,78.63,78.86,78.83,78.81
8,0.4019,0.0,0.891,0.109,84.37,83.81,78.63,78.86,78.83,78.81,77.91
9,0.4588,0.0,0.75,0.25,84.37,83.81,78.63,78.86,78.83,78.81,77.91
10,0.34,0.055,0.839,0.106,84.37,83.81,78.63,78.86,78.83,78.81,77.91
11,0.2732,0.0,0.792,0.208,84.37,83.81,78.63,78.86,78.83,78.81,77.91
12,0.34,0.048,0.86,0.092,84.37,83.81,78.63,78.86,78.83,78.81,77.91
13,0.0,0.0,1.0,0.0,84.37,83.81,78.63,78.86,78.83,78.81,77.91
14,0.0,0.0,1.0,0.0,79.2,78.76,78.86,78.83,78.81,77.91,77.61
15,0.0,0.0,1.0,0.0,78.58,78.63,78.83,78.81,77.91,77.61,77.59
16,0.802,0.0,0.785,0.215,78.58,78.63,78.83,78.81,77.91,77.61,77.59
17,0.802,0.0,0.796,0.204,78.58,78.63,78.83,78.81,77.91,77.61,77.59
18,0.34,0.0,0.918,0.082,78.9,78.86,78.81,77.91,77.61,77.59,77.65
19,0.3818,0.0,0.923,0.077,78.32,78.81,77.61,77.59,77.65,77.49,77.12
20,0.1779,0.0,0.918,0.082,78.32,78.81,77.61,77.59,77.65,77.49,77.12
21,0.0,0.0,1.0,0.0,77.57,77.91,77.59,77.65,77.49,77.12,76.42
22,0.0,0.0,1.0,0.0,77.57,77.91,77.59,77.65,77.49,77.12,76.42
23,0.0,0.0,1.0,0.0,77.57,77.91,77.59,77.65,77.49,77.12,76.42
24,0.2006,0.069,0.845,0.087,77.67,77.61,77.65,77.49,77.12,76.42,76.29
25,0.2006,0.066,0.851,0.083,77.67,77.61,77.65,77.49,77.12,76.42,76.29
26,0.2006,0.066,0.851,0.083,77.67,77.61,77.65,77.49,77.12,76.42,76.29
27,0.0,0.0,1.0,0.0,77.47,77.59,77.49,77.12,76.42,76.29,76.29
28,0.0,0.0,1.0,0.0,77.47,77.59,77.49,77.12,76.42,76.29,76.29
29,0.8402,0.064,0.66,0.276,77.47,77.59,77.49,77.12,76.42,76.29,76.29
30,-0.7579,0.363,0.513,0.125,77.47,77.59,77.49,77.12,76.42,76.29,76.29
31,0.8402,0.061,0.676,0.264,77.47,77.59,77.49,77.12,76.42,76.29,76.29
32,0.4939,0.0,0.775,0.225,77.42,77.65,77.12,76.42,76.29,76.29,76.0
33,0.0,0.0,1.0,0.0,77.59,77.49,76.42,76.29,76.29,76.0,75.97
34,-0.2263,0.033,0.967,0.0,77.59,77.49,76.42,76.29,76.29,76.0,75.97
35,0.5574,0.0,0.904,0.096,76.49,77.12,76.29,76.29,76.0,75.97,74.69
36,0.5574,0.0,0.909,0.091,76.49,77.12,76.29,76.29,76.0,75.97,74.69
37,0.0,0.0,1.0,0.0,76.49,77.12,76.29,76.29,76.0,75.97,74.69
38,0.4215,0.0,0.915,0.085,76.49,77.12,76.29,76.29,76.0,75.97,74.69
39,0.0,0.0,1.0,0.0,76.36,76.42,76.29,76.0,75.97,74.69,74.26
40,0.0,0.0,1.0,0.0,76.36,76.42,76.29,76.0,75.97,74.69,74.26
41,0.0,0.0,1.0,0.0,74.71,74.61,73.87,73.85,73.26,73.26,74.41
