,compound,neg,neu,pos,today price,y_price (next day),today-1price,today-2price,today-3price,today-4price,today-5price
0,0.4767,0.0,0.846,0.154,197.8,201.86,193.66,198.68,196.62,196.9,197.8
1,0.0,0.0,1.0,0.0,189.6,190.94,185.39,181.3,180.77,180.87,179.37
2,0.0,0.0,1.0,0.0,189.6,190.94,185.39,181.3,180.77,180.87,179.37
3,0.0,0.0,1.0,0.0,189.6,190.94,185.39,181.3,180.77,180.87,179.37
4,0.0,0.0,1.0,0.0,189.6,190.94,185.39,181.3,180.77,180.87,179.37
5,0.4215,0.0,0.912,0.088,175.62,175.73,171.0,179.0,180.76,185.84,187.35
6,0.4215,0.0,0.917,0.083,175.62,175.73,171.0,179.0,180.76,185.84,187.35
7,0.0,0.0,1.0,0.0,175.62,175.73,171.0,179.0,180.76,185.84,187.35
8,-0.4767,0.107,0.893,0.0,167.59,165.15,168.4,155.96,164.74,172.11,170.3
9,0.34,0.063,0.805,0.132,159.67,168.4,164.74,172.11,170.3,172.35,167.21
10,0.34,0.06,0.815,0.125,159.67,168.4,164.74,172.11,170.3,172.35,167.21
11,0.0,0.0,1.0,0.0,157.14,155.96,172.11,170.3,172.35,167.21,166.48
12,0.4215,0.042,0.866,0.092,157.14,155.96,172.11,170.3,172.35,167.21,166.48
13,0.0,0.0,1.0,0.0,157.14,155.96,172.11,170.3,172.35,167.21,166.48
14,0.0,0.0,1.0,0.0,162.12,164.49,164.39,161.74,167.26,165.35,166.15
15,0.0258,0.0,0.973,0.027,145.05,139.33,146.68,151.75,146.58,152.15,153.83
16,0.0,0.0,1.0,0.0,149.32,151.75,152.15,153.83,158.37,159.47,157.09
17,0.4215,0.0,0.93,0.07,149.32,151.75,152.15,153.83,158.37,159.47,157.09
18,0.0,0.0,1.0,0.0,149.32,151.75,152.15,153.83,158.37,159.47,157.09
19,0.7906,0.0,0.816,0.184,149.32,151.75,152.15,153.83,158.37,159.47,157.09
20,0.7906,0.0,0.825,0.175,149.32,151.75,152.15,153.83,158.37,159.47,157.09
21,-0.0772,0.219,0.584,0.197,146.96,152.37,151.4,149.97,149.6,159.94,149.12
22,0.0,0.0,1.0,0.0,140.0,138.26,137.03,138.9,136.0,133.07,127.72
23,0.1531,0.0,0.926,0.074,140.96,138.57,138.9,136.0,133.07,127.72,136.81
24,0.4767,0.0,0.914,0.086,120.05,126.5,102.94,102.77,103.86,103.85,104.25
25,0.4767,0.0,0.919,0.081,120.05,126.5,102.94,102.77,103.86,103.85,104.25
26,0.0,0.0,1.0,0.0,120.05,126.5,102.94,102.77,103.86,103.85,104.25
27,0.0,0.0,1.0,0.0,104.52,106.07,102.55,101.78,101.85,99.12,98.54
28,0.0,0.0,1.0,0.0,104.52,106.07,102.55,101.78,101.85,99.12,98.54
29,0.4767,0.0,0.886,0.114,102.98,103.81,101.78,101.85,99.12,98.54,98.56
30,0.2263,0.0,0.944,0.056,99.54,101.85,98.54,98.56,98.74,97.67,98.43
31,0.0,0.0,1.0,0.0,103.07,105.16,101.11,103.43,103.44,105.16,106.47
32,0.6705,0.0,0.56,0.44,88.09,83.64,67.77,69.96,71.16,71.27,67.57
33,0.0,0.0,1.0,0.0,88.09,83.64,67.77,69.96,71.16,71.27,67.57
34,0.0,0.0,1.0,0.0,88.09,83.64,67.77,69.96,71.16,71.27,67.57
35,0.2732,0.053,0.854,0.093,88.09,83.64,67.77,69.96,71.16,71.27,67.57
36,0.0,0.0,1.0,0.0,79.51,87.97,69.96,71.16,71.27,67.57,67.96
37,0.4215,0.049,0.844,0.107,79.51,87.97,69.96,71.16,71.27,67.57,67.96
38,0.4939,0.0,0.789,0.211,66.16,66.47,65.61,65.99,65.35,66.43,66.13
39,0.7003,0.0,0.721,0.279,66.15,65.99,66.43,66.13,67.1,66.85,67.34
40,0.0,0.0,1.0,0.0,66.67,67.4,66.54,64.34,64.95,65.02,64.86
41,0.0,0.0,1.0,0.0,60.5,62.69,59.87,60.75,59.52,62.64,62.19
42,0.7548,0.0,0.801,0.199,60.01,60.4,60.75,59.52,62.64,62.19,63.12
43,0.7548,0.0,0.813,0.187,60.01,60.4,60.75,59.52,62.64,62.19,63.12
44,0.5719,0.0,0.899,0.101,63.11,62.98,59.7,58.51,58.89,58.74,58.2
45,0.5719,0.0,0.904,0.096,63.11,62.98,59.7,58.51,58.89,58.74,58.2
46,0.6597,0.045,0.778,0.177,61.9,63.04,58.51,58.89,58.74,58.2,57.23
47,0.296,0.0,0.855,0.145,61.9,63.04,58.51,58.89,58.74,58.2,57.23
48,0.0,0.0,1.0,0.0,61.9,63.04,58.51,58.89,58.74,58.2,57.23
49,0.6597,0.039,0.807,0.154,61.9,63.04,58.51,58.89,58.74,58.2,57.23
50,0.0,0.0,1.0,0.0,47.37,47.23,47.56,46.72,47.55,47.36,46.88
51,0.2263,0.063,0.837,0.1,39.19,40.98,36.06,35.96,35.28,35.33,34.97
52,0.2263,0.058,0.849,0.093,39.19,40.98,36.06,35.96,35.28,35.33,34.97
53,0.6597,0.0,0.69,0.31,34.12,34.48,33.85,33.91,33.81,32.82,33.1
54,0.0,0.0,1.0,0.0,31.61,31.36,31.89,31.82,31.6,31.52,30.44
55,0.4215,0.054,0.827,0.119,29.93,30.04,26.99,25.73,25.3,25.43,25.49
56,-0.4939,0.113,0.887,0.0,28.62,28.67,28.46,28.59,28.4,27.41,27.77
57,-0.4939,0.118,0.882,0.0,28.62,28.67,28.46,28.59,28.4,27.41,27.77
