,compound,neg,neu,pos,today price,y_price (next day),today-1price,today-2price,today-3price,today-4price,today-5price
0,-0.25,0.083,0.873,0.044,51.47,53.46,54.66,54.57,53.8,53.84,54.25
1,0.296,0.0,0.927,0.073,51.47,53.46,54.66,54.57,53.8,53.84,54.25
2,0.296,0.0,0.932,0.068,51.47,53.46,54.66,54.57,53.8,53.84,54.25
3,0.296,0.0,0.932,0.068,51.47,53.46,54.66,54.57,53.8,53.84,54.25
4,-0.25,0.08,0.878,0.042,51.47,53.46,54.66,54.57,53.8,53.84,54.25
5,-0.25,0.08,0.878,0.042,51.47,53.46,54.66,54.57,53.8,53.84,54.25
6,-0.2732,0.149,0.851,0.0,51.47,53.46,54.66,54.57,53.8,53.84,54.25
7,0.0,0.0,1.0,0.0,53.7,54.57,53.84,54.25,53.39,52.02,52.29
8,0.7717,0.0,0.51,0.49,52.3,53.39,52.29,52.21,52.41,52.38,52.82
9,0.1779,0.0,0.892,0.108,52.3,53.39,52.29,52.21,52.41,52.38,52.82
10,0.0,0.0,1.0,0.0,52.03,52.29,52.41,52.38,52.82,53.0,54.12
11,-0.3477,0.095,0.855,0.051,52.54,52.21,52.38,52.82,53.0,54.12,53.87
12,-0.1531,0.056,0.944,0.0,52.98,52.38,53.0,54.12,53.87,52.88,52.49
13,-0.1531,0.052,0.948,0.0,52.98,52.38,53.0,54.12,53.87,52.88,52.49
14,-0.1531,0.06,0.94,0.0,52.98,52.38,53.0,54.12,53.87,52.88,52.49
15,0.0,0.0,1.0,0.0,52.98,52.38,53.0,54.12,53.87,52.88,52.49
16,0.6808,0.0,0.577,0.423,53.38,52.82,54.12,53.87,52.88,52.49,52.35
17,-0.1027,0.057,0.872,0.07,53.88,53.0,53.87,52.88,52.49,52.35,51.96
18,-0.1027,0.055,0.878,0.067,53.88,53.0,53.87,52.88,52.49,52.35,51.96
19,0.0,0.112,0.777,0.112,53.88,53.0,53.87,52.88,52.49,52.35,51.96
20,-0.5267,0.185,0.815,0.0,53.88,53.0,53.87,52.88,52.49,52.35,51.96
21,0.296,0.0,0.855,0.145,53.79,54.12,52.88,52.49,52.35,51.96,52.02
22,0.0,0.0,1.0,0.0,53.79,54.12,52.88,52.49,52.35,51.96,52.02
23,0.0,0.0,1.0,0.0,53.79,54.12,52.88,52.49,52.35,51.96,52.02
24,0.0,0.0,1.0,0.0,53.79,54.12,52.88,52.49,52.35,51.96,52.02
25,0.0,0.0,1.0,0.0,51.38,51.75,51.13,51.62,52.09,52.03,51.98
26,0.7717,0.0,0.51,0.49,51.9,51.62,52.03,51.98,52.3,52.25,52.19
27,0.6486,0.0,0.878,0.122,51.95,52.19,51.01,50.9,50.57,49.64,50.38
28,0.6486,0.0,0.88,0.12,51.95,52.19,51.01,50.9,50.57,49.64,50.38
29,0.8481,0.0,0.733,0.267,51.95,52.19,51.01,50.9,50.57,49.64,50.38
30,0.0516,0.082,0.824,0.093,50.6,50.9,49.64,50.38,50.45,50.03,52.05
31,0.0,0.0,1.0,0.0,50.6,50.9,49.64,50.38,50.45,50.03,52.05
32,0.3182,0.0,0.827,0.173,52.26,52.27,51.81,51.81,52.03,52.49,52.23
33,-0.0516,0.091,0.909,0.0,52.78,52.03,52.23,52.35,51.98,51.92,52.27
34,0.0,0.0,1.0,0.0,52.78,52.03,52.23,52.35,51.98,51.92,52.27
35,0.7717,0.0,0.51,0.49,52.78,52.03,52.23,52.35,51.98,51.92,52.27
36,-0.128,0.087,0.841,0.071,53.66,53.87,52.72,52.34,52.77,52.29,52.7
37,-0.128,0.082,0.851,0.067,53.66,53.87,52.72,52.34,52.77,52.29,52.7
38,-0.128,0.055,0.945,0.0,53.66,53.87,52.72,52.34,52.77,52.29,52.7
39,0.0,0.0,1.0,0.0,53.04,53.55,52.34,52.77,52.29,52.7,52.62
40,-0.128,0.059,0.941,0.0,53.04,53.55,52.34,52.77,52.29,52.7,52.62
41,0.7717,0.0,0.51,0.49,52.27,52.88,53.14,53.27,53.22,53.84,53.97
42,0.4939,0.0,0.758,0.242,53.29,53.14,53.22,53.84,53.97,56.78,56.29
43,0.0,0.0,1.0,0.0,53.29,53.14,53.22,53.84,53.97,56.78,56.29
44,-0.25,0.063,0.938,0.0,53.75,53.22,53.97,56.78,56.29,56.46,56.81
45,0.0516,0.063,0.868,0.069,53.75,53.22,53.97,56.78,56.29,56.46,56.81
46,-0.8176,0.234,0.727,0.039,53.75,53.22,53.97,56.78,56.29,56.46,56.81
47,-0.8176,0.222,0.741,0.037,53.66,53.84,56.78,56.29,56.46,56.81,56.23
48,-0.8176,0.234,0.727,0.039,53.66,53.84,56.78,56.29,56.46,56.81,56.23
49,-0.8176,0.222,0.741,0.037,53.66,53.84,56.78,56.29,56.46,56.81,56.23
50,0.0,0.0,1.0,0.0,53.66,53.84,56.78,56.29,56.46,56.81,56.23
51,0.0,0.0,1.0,0.0,55.11,53.97,56.29,56.46,56.81,56.23,56.2
52,0.0772,0.091,0.807,0.102,55.11,53.97,56.29,56.46,56.81,56.23,56.2
53,0.0772,0.085,0.82,0.095,55.11,53.97,56.29,56.46,56.81,56.23,56.2
54,0.0,0.0,1.0,0.0,55.11,53.97,56.29,56.46,56.81,56.23,56.2
55,0.0,0.0,1.0,0.0,55.11,53.97,56.29,56.46,56.81,56.23,56.2
56,0.296,0.0,0.855,0.145,55.11,53.97,56.29,56.46,56.81,56.23,56.2
57,-0.4767,0.215,0.681,0.104,55.11,53.97,56.29,56.46,56.81,56.23,56.2
58,0.25,0.0,0.875,0.125,55.11,53.97,56.29,56.46,56.81,56.23,56.2
59,0.3182,0.0,0.927,0.073,55.11,53.97,56.29,56.46,56.81,56.23,56.2
60,-0.9274,0.204,0.773,0.022,56.34,56.29,56.81,56.23,56.2,55.33,55.64
