,Date,Open,High,Low,Close,Volume
0,1-Nov-17,11.25,11.29,10.72,10.8,66875483
1,31-Oct-17,10.76,11.31,10.69,10.98,78600023
2,30-Oct-17,11.26,11.42,10.65,10.89,137785101
3,27-Oct-17,12.17,12.19,11.35,11.84,115650373
4,26-Oct-17,12.45,12.46,12.0,12.0,87625437
5,25-Oct-17,12.95,13.13,12.29,12.33,166762120
6,24-Oct-17,14.2,14.36,14.15,14.25,84891583
7,23-Oct-17,13.94,14.19,13.9,14.1,49838009
8,20-Oct-17,14.03,14.09,13.8,13.81,32538937
9,19-Oct-17,13.85,14.04,13.69,13.95,33795708
10,18-Oct-17,14.2,14.28,13.76,14.07,39020286
11,17-Oct-17,14.24,14.34,14.14,14.16,28995567
12,16-Oct-17,14.25,14.35,14.12,14.26,34136783
13,13-Oct-17,14.32,14.41,14.12,14.22,37515843
14,12-Oct-17,13.85,14.37,13.81,14.2,69874095
15,11-Oct-17,13.62,13.96,13.61,13.88,38746553
16,10-Oct-17,13.72,13.79,13.44,13.7,43303955
17,9-Oct-17,13.26,13.83,13.26,13.47,54032528
18,6-Oct-17,13.22,13.39,13.18,13.23,28258656
19,5-Oct-17,13.38,13.46,13.21,13.34,34758604
20,4-Oct-17,13.31,13.5,13.15,13.31,42303159
21,3-Oct-17,12.73,13.48,12.7,13.42,85174031
22,2-Oct-17,12.8,12.85,12.62,12.71,34461080
23,29-Sep-17,12.76,12.82,12.6,12.75,33926900
24,28-Sep-17,12.76,12.84,12.55,12.74,35812311
25,27-Sep-17,12.65,12.87,12.5,12.74,59651021
26,26-Sep-17,12.85,12.93,12.43,12.45,68302025
27,25-Sep-17,13.25,13.28,12.49,12.61,84172237
28,22-Sep-17,13.2,13.4,13.12,13.3,50546957
29,21-Sep-17,14.0,14.24,13.32,13.41,166821947
30,20-Sep-17,13.07,13.8,12.8,13.74,102682437
31,19-Sep-17,13.25,13.29,12.88,13.12,65455230
32,18-Sep-17,12.77,13.3,12.74,13.08,83517385
33,15-Sep-17,12.33,12.66,12.31,12.52,50337411
34,14-Sep-17,12.15,12.46,12.11,12.26,37220155
35,13-Sep-17,12.22,12.36,12.12,12.22,37210654
36,12-Sep-17,12.66,12.68,12.21,12.3,54413148
37,11-Sep-17,12.46,12.74,12.4,12.55,43346052
38,8-Sep-17,12.57,12.61,12.04,12.25,60886232
39,7-Sep-17,12.84,12.94,12.6,12.63,35816911
