,Date,Open,High,Low,Close,Volume
0,1-Nov-17,154.10,154.9,153.83,154.03,3240246
1,31-Oct-17,154.33,154.93,152.93,154.06,4328258
2,30-Oct-17,153.76,154.59,152.71,154.36,4210402
3,27-Oct-17,154.54,154.63,152.91,153.68,4895186
4,26-Oct-17,154.31,155.12,153.54,153.6,4300543
5,25-Oct-17,156.01,156.37,153.06,153.5,6921137
6,24-Oct-17,159.65,159.7,155.17,155.88,8194690
7,23-Oct-17,162.05,162.51,159.54,159.55,5779378
8,20-Oct-17,161.07,162.48,159.77,162.07,7868803
9,19-Oct-17,159.80,160.96,159.08,160.9,9914169
10,18-Oct-17,157.12,161.23,156.95,159.53,30490192
11,17-Oct-17,146.63,147.12,146.18,146.54,6372393
12,16-Oct-17,147.22,147.67,146.51,146.83,3052091
13,13-Oct-17,147.48,147.85,146.94,147.1,2506584
14,12-Oct-17,147.56,147.89,146.77,147.03,3264344
15,11-Oct-17,148.40,148.47,148.01,148.04,254256
16,10-Oct-17,147.71,148.95,147.65,148.5,4032601
17,9-Oct-17,146.50,147.79,146.35,147.39,2682556
18,6-Oct-17,146.64,146.85,146.32,146.48,2623184
19,5-Oct-17,146.68,147.54,146.48,146.72,2686539
20,4-Oct-17,147.00,147.02,146.11,146.48,2244433
21,3-Oct-17,146.69,147.2,146.34,146.78,2302724
22,2-Oct-17,145.35,146.86,145.21,146.66,2973224
23,29-Sep-17,145.45,145.69,144.92,145.08,2654731
24,28-Sep-17,145.33,145.86,144.21,145.66,2774788
25,27-Sep-17,146.68,146.9,145.03,145.66,3486610
26,26-Sep-17,146.36,147.42,145.94,146.56,4488620
27,25-Sep-17,145.12,146.03,144.91,145.87,5213144
28,22-Sep-17,145.59,145.59,144.59,145.13,2792323
29,21-Sep-17,145.65,145.89,145.10,145.26,2555596
30,20-Sep-17,144.93,145.88,144.42,145.88,5447519
31,19-Sep-17,144.79,144.98,144.22,144.39,3464383
32,18-Sep-17,144.81,145.48,144.27,144.55,3019514
33,15-Sep-17,144.82,145.17,144.08,144.82,7397233
34,14-Sep-17,145.86,146.38,145.51,145.54,3756861
35,13-Sep-17,145.35,146.29,145.34,145.99,4100980
36,12-Sep-17,145.11,146.37,144.51,145.76,5238148
37,11-Sep-17,143.54,145.13,143.01,144.86,4613381
38,8-Sep-17,143.15,143.15,141.64,142.45,3366169
39,7-Sep-17,144.10,144.64,142.41,142.9,4188158
40,6-Sep-17,143.88,144.47,143.50,143.82,3273344
41,5-Sep-17,143.50,144.36,142.70,143.04,3098735
42,1-Sep-17,142.98,144.5,142.98,144.08,3351733
43,31-Aug-17,143.02,143.66,142.63,143.03,3656428
44,30-Aug-17,143.26,143.28,142.41,142.56,2735966
