,Date,Open,High,Low,Close,Volume
0,1-Nov-17,45.97,46.71,45.59,46.71,47813724
1,31-Oct-17,45.2,45.8,44.65,45.49,47000920
2,30-Oct-17,44.48,45.19,43.88,44.37,48161518
3,27-Oct-17,43.3,45.0,43.1,44.4,90028300
4,26-Oct-17,40.91,41.58,40.71,41.35,38247395
5,25-Oct-17,40.89,41.06,40.49,40.78,24031660
6,24-Oct-17,41.0,41.05,40.72,40.95,19652417
7,23-Oct-17,40.55,41.04,40.4,40.83,28646966
8,20-Oct-17,40.33,40.45,40.1,40.43,18335672
9,19-Oct-17,39.88,40.33,39.83,40.09,19222705
10,18-Oct-17,39.8,40.29,39.6,40.25,21424554
11,17-Oct-17,39.56,39.86,39.37,39.79,15532818
12,16-Oct-17,39.71,39.79,39.44,39.76,12489135
13,13-Oct-17,39.44,39.81,39.28,39.67,16829366
14,12-Oct-17,39.35,39.39,38.98,39.19,18286944
15,11-Oct-17,39.48,39.67,39.06,39.3,30754708
16,10-Oct-17,39.93,39.95,39.38,39.65,29890017
17,9-Oct-17,39.68,39.88,39.52,39.86,18494080
18,6-Oct-17,39.6,39.89,39.42,39.63,18887536
19,5-Oct-17,39.5,39.65,39.21,39.53,17710277
20,4-Oct-17,39.39,39.4,38.86,39.34,28368824
21,3-Oct-17,38.95,39.7,38.95,39.38,34002193
22,2-Oct-17,38.12,39.09,38.08,39.04,37394514
23,29-Sep-17,37.84,38.15,37.7,38.08,23217336
24,28-Sep-17,37.32,37.88,37.29,37.83,21171441
25,27-Sep-17,37.62,37.69,37.1,37.54,25727062
26,26-Sep-17,37.21,37.64,37.0,37.47,29790369
27,25-Sep-17,37.05,37.23,36.85,37.16,23180838
28,22-Sep-17,36.95,37.22,36.95,37.18,21631754
29,21-Sep-17,36.99,37.27,36.85,37.2,22954158
30,20-Sep-17,37.23,37.29,36.66,37.07,23957476
31,19-Sep-17,37.2,37.3,37.02,37.23,23850525
32,18-Sep-17,37.0,37.33,36.8,37.0,19393834
33,15-Sep-17,36.55,37.08,36.22,37.0,33596072
34,14-Sep-17,36.19,36.7,36.16,36.48,18093946
35,13-Sep-17,36.0,36.4,35.97,36.33,15509787
36,12-Sep-17,35.88,36.34,35.74,36.09,19489892
37,11-Sep-17,35.49,36.0,35.14,35.77,20037575
38,8-Sep-17,35.19,35.54,35.08,35.19,14125018
39,7-Sep-17,35.88,35.95,35.33,35.54,16297077
