,Date,Open,High,Low,Close,Volume
0,1-Nov-17,209.35,209.97,204.6,207.2,12564446
1,31-Oct-17,205.13,207.89,204.9,206.81,10297707
2,30-Oct-17,201.86,206.09,201.22,203.84,12601417
3,27-Oct-17,197.8,201.87,196.75,201.86,14304835
4,26-Oct-17,194.78,196.16,193.81,195.69,8068563
5,25-Oct-17,197.08,199.22,191.17,193.66,20704030
6,24-Oct-17,196.99,198.75,195.94,198.68,10181132
7,23-Oct-17,197.78,198.85,195.8,196.62,10717376
8,20-Oct-17,198.49,199.59,196.54,196.9,11290462
9,19-Oct-17,194.44,198.0,192.45,197.8,14269253
10,18-Oct-17,198.11,198.14,193.32,197.58,14182907
11,17-Oct-17,197.09,198.9,196.35,197.75,11964867
12,16-Oct-17,195.8,198.05,193.24,197.93,14415958
13,13-Oct-17,193.55,195.0,191.65,194.59,15718233
14,12-Oct-17,191.08,193.09,189.93,191.03,13207315
15,11-Oct-17,189.6,191.0,187.74,190.94,13237734
16,10-Oct-17,191.43,192.95,187.26,188.93,24371902
17,9-Oct-17,182.79,186.73,182.03,185.39,14087272
18,6-Oct-17,179.65,181.84,179.0,181.3,7969957
19,5-Oct-17,181.86,182.0,179.56,180.77,10934105
20,4-Oct-17,179.62,181.77,178.14,180.87,10696220
21,3-Oct-17,179.25,180.58,177.58,179.37,9758268
22,2-Oct-17,180.8,181.98,177.0,179.0,12586960
23,29-Sep-17,179.08,179.73,177.25,178.77,15477293
24,28-Sep-17,176.02,176.18,173.76,175.68,10881065
25,27-Sep-17,175.62,176.27,172.75,175.73,17648071
26,26-Sep-17,176.45,178.68,170.35,171.96,28140511
27,25-Sep-17,177.75,177.8,170.16,171.0,21864476
28,22-Sep-17,180.3,182.31,178.6,179.0,12280771
29,21-Sep-17,181.64,182.7,177.61,180.76,26889994
30,20-Sep-17,187.5,189.42,184.21,185.84,18122991
31,19-Sep-17,185.51,189.85,184.62,187.35,21856994
