,Date,Open,High,Low,Close,Volume
0,1-Nov-17,51.47,53.49,50.51,53.46,15624403
1,31-Oct-17,52.26,52.49,50.02,51.01,29914093
2,30-Oct-17,54.16,54.77,54.08,54.66,7081470
3,27-Oct-17,53.7,54.7,53.36,54.57,8962396
4,26-Oct-17,54.1,54.39,53.66,53.8,5270765
5,25-Oct-17,53.98,54.43,53.48,53.84,7581466
6,24-Oct-17,53.44,54.44,53.4,54.25,11415673
7,23-Oct-17,52.3,53.78,52.13,53.39,9775440
8,20-Oct-17,52.51,52.59,51.94,52.02,8844998
9,19-Oct-17,52.03,52.4,52.01,52.29,6825185
10,18-Oct-17,52.54,52.67,52.02,52.21,6032632
11,17-Oct-17,52.32,52.44,51.85,52.41,7662867
12,16-Oct-17,52.98,53.0,52.31,52.38,5930922
13,13-Oct-17,53.38,53.38,52.74,52.82,7005613
14,12-Oct-17,53.88,54.18,52.96,53.0,7062303
15,11-Oct-17,53.79,54.38,53.66,54.12,9427307
16,10-Oct-17,52.95,53.9,52.9,53.87,8761742
17,9-Oct-17,52.68,52.98,52.38,52.88,5817480
18,6-Oct-17,52.16,52.63,52.16,52.49,4795348
19,5-Oct-17,52.17,52.43,51.96,52.35,5179080
20,4-Oct-17,51.93,52.12,51.67,51.96,4587680
21,3-Oct-17,51.99,52.22,51.65,52.02,4378005
22,2-Oct-17,52.09,52.16,51.7,51.88,4439208
23,29-Sep-17,51.91,52.04,51.62,51.84,5371196
24,28-Sep-17,51.38,52.04,51.31,51.75,5732907
25,27-Sep-17,51.43,51.61,51.15,51.55,8177274
26,26-Sep-17,51.75,51.87,50.85,51.13,9378772
27,25-Sep-17,51.9,52.28,51.61,51.62,8178372
28,22-Sep-17,51.82,52.23,51.78,52.09,4105088
29,21-Sep-17,51.86,52.2,51.71,52.03,5750606
30,20-Sep-17,52.43,52.52,51.48,51.98,8400332
31,19-Sep-17,52.4,52.5,52.06,52.3,5825213
32,18-Sep-17,52.24,52.37,51.96,52.25,6002685
33,15-Sep-17,51.95,52.29,51.44,52.19,13177887
34,14-Sep-17,50.97,51.59,50.67,51.48,7741321
35,13-Sep-17,50.8,51.11,50.72,51.01,6191443
36,12-Sep-17,50.6,51.07,50.52,50.9,4526796
37,11-Sep-17,49.94,50.67,49.91,50.57,7473451
38,8-Sep-17,50.35,50.45,48.92,49.64,12809377
39,7-Sep-17,50.56,50.69,50.25,50.38,10035542
40,6-Sep-17,50.19,50.77,49.83,50.45,16206924
41,5-Sep-17,51.86,51.9,49.83,50.03,17932021
42,1-Sep-17,52.53,52.77,51.92,52.05,5301763
43,31-Aug-17,52.26,52.59,52.12,52.27,8215791
44,30-Aug-17,52.23,52.29,51.56,52.12,4876156
45,29-Aug-17,51.31,51.86,51.28,51.81,4980898
46,28-Aug-17,51.77,51.81,51.46,51.81,4519020
47,25-Aug-17,52.78,52.85,52.02,52.03,8684669
48,24-Aug-17,52.37,52.71,52.26,52.49,6198617
49,23-Aug-17,52.3,52.4,51.78,52.23,5259274
50,22-Aug-17,52.21,52.62,52.21,52.35,4443289
51,21-Aug-17,52.0,52.08,51.5,51.98,5205669
52,18-Aug-17,52.26,52.42,51.9,51.92,6696408
53,17-Aug-17,53.19,53.41,52.27,52.27,6589381
54,16-Aug-17,54.06,54.1,53.26,53.31,7414862
55,15-Aug-17,53.66,54.08,53.35,53.87,7876275
56,14-Aug-17,53.04,53.64,52.91,53.55,8118208
57,11-Aug-17,52.39,53.13,52.29,52.72,5894208
58,10-Aug-17,52.54,52.75,52.11,52.34,10767995
59,9-Aug-17,52.05,52.8,52.0,52.77,8085282
60,8-Aug-17,52.55,53.33,52.21,52.29,10462154
61,7-Aug-17,52.5,52.84,52.49,52.7,6561768
62,4-Aug-17,53.0,53.0,52.51,52.62,8677902
63,3-Aug-17,53.16,53.34,52.75,52.95,8643537
64,2-Aug-17,53.3,53.39,52.78,53.17,23084022
65,1-Aug-17,53.3,53.43,52.91,53.41,9372128
66,31-Jul-17,53.1,53.3,52.75,53.19,11302681
67,28-Jul-17,52.27,52.99,52.27,52.88,6644302
68,27-Jul-17,53.08,53.37,52.23,52.49,14069183
69,26-Jul-17,53.29,53.35,52.74,53.14,7581480
70,25-Jul-17,53.2,53.65,53.07,53.27,7112089
71,24-Jul-17,53.75,53.88,53.09,53.22,8832174
72,21-Jul-17,53.66,54.0,53.37,53.84,12113142
73,20-Jul-17,55.11,55.43,53.46,53.97,35943882
74,19-Jul-17,56.46,56.94,56.01,56.78,8783691
